Register Output,Fraction,Guess for r,guess1,guess2,iterations
100110100101(bin) = 2469(dec),32/53,53,1,5,1
111100111011(bin) = 3899(dec),20/21,21,11,5,1
111000110011(bin) = 3635(dec),47/53,53,1,5,1
011001100001(bin) = 1633(dec),2/5,5,1,5,1
101001010000(bin) = 2640(dec),29/45,45,1,5,1
100011010010(bin) = 2258(dec),27/49,49,5,1,1
010110000011(bin) = 1411(dec),10/29,29,1,5,1
011001110010(bin) = 1650(dec),21/52,52,1,5,1
101100101100(bin) = 2860(dec),37/53,53,1,5,1
001001000010(bin) = 578(dec),7/50,50,1,11,1
011001100010(bin) = 1634(dec),2/5,5,1,5,2
001100101011(bin) = 811(dec),10/51,51,1,11,1
000101110001(bin) = 369(dec),1/11,11,1,11,1
111001101101(bin) = 3693(dec),46/51,51,1,11,1
001100111001(bin) = 825(dec),1/5,5,1,5,1
101111011110(bin) = 3038(dec),23/31,31,1,11,1
000110100001(bin) = 417(dec),5/49,49,5,1,2
101001100001(bin) = 2657(dec),24/37,37,1,5,1
010110101110(bin) = 1454(dec),11/31,31,1,11,1
111001011110(bin) = 3678(dec),44/49,49,5,1,2
100011000110(bin) = 2246(dec),17/31,31,1,11,1
000110000000(bin) = 384(dec),3/32,32,5,1,1
100110001111(bin) = 2447(dec),31/52,52,1,5,1
110010101001(bin) = 3241(dec),19/24,24,5,1,1
110011010110(bin) = 3286(dec),41/51,51,1,11,2
010101100011(bin) = 1379(dec),18/53,53,1,5,1
101001010011(bin) = 2643(dec),20/31,31,1,11,1
111001101110(bin) = 3694(dec),46/51,51,1,11,1
001011010110(bin) = 726(dec),8/45,45,1,5,1
111100111100(bin) = 3900(dec),20/21,21,11,5,1
010101101111(bin) = 1391(dec),18/53,53,1,5,1
111110101011(bin) = 4011(dec),47/48,48,5,1,1
011001001000(bin) = 1608(dec),11/28,28,1,5,1
100110100000(bin) = 2464(dec),3/5,5,1,5,1
001011011101(bin) = 733(dec),5/28,28,1,5,1
011001110001(bin) = 1649(dec),21/52,52,1,5,1
011000011001(bin) = 1561(dec),8/21,21,11,5,1
010011010101(bin) = 1237(dec),16/53,53,1,5,1
000010101010(bin) = 170(dec),1/24,24,5,1,1
010111100010(bin) = 1506(dec),18/49,49,5,1,1
010101101100(bin) = 1388(dec),18/53,53,1,5,1
001001110110(bin) = 630(dec),2/13,13,1,5,1
000011001111(bin) = 207(dec),1/20,20,11,5,3
111110001101(bin) = 3981(dec),35/36,36,1,5,1
000010101011(bin) = 171(dec),1/24,24,5,1,1
111001101111(bin) = 3695(dec),46/51,51,1,11,1
100010111001(bin) = 2233(dec),6/11,11,1,11,1
110110000111(bin) = 3463(dec),11/13,13,1,5,1
011100111001(bin) = 1849(dec),14/31,31,1,11,2
001010000011(bin) = 643(dec),8/51,51,1,11,1
001001101101(bin) = 621(dec),5/33,33,5,1,2
