Register Output,Fraction,Guess for r,guess1,guess2,iterations
110011010001(bin) = 3281(dec),4/5,5,1,5,1
100011000001(bin) = 2241(dec),29/53,53,1,5,2
000110100110(bin) = 422(dec),3/29,29,1,5,1
001100111000(bin) = 824(dec),1/5,5,1,5,2
100110011110(bin) = 2462(dec),3/5,5,1,5,6
100010011111(bin) = 2207(dec),7/13,13,1,5,1
010111011001(bin) = 1497(dec),19/52,52,1,5,1
011001011011(bin) = 1627(dec),21/53,53,1,5,1
111010001010(bin) = 3722(dec),10/11,11,1,11,1
001011100010(bin) = 738(dec),9/50,50,1,11,1
011001001011(bin) = 1611(dec),11/28,28,1,5,1
010110011101(bin) = 1437(dec),13/37,37,1,5,3
100011001010(bin) = 2250(dec),28/51,51,1,11,5
110110001010(bin) = 3466(dec),11/13,13,1,5,1
011001001010(bin) = 1610(dec),11/28,28,1,5,1
011001101111(bin) = 1647(dec),21/52,52,1,5,3
111010101000(bin) = 3752(dec),11/12,12,1,5,1
011001100000(bin) = 1632(dec),2/5,5,1,5,1
100110000000(bin) = 2432(dec),19/32,32,5,1,1
010110011110(bin) = 1438(dec),13/37,37,1,5,2
101000101001(bin) = 2601(dec),33/52,52,1,5,1
001100110011(bin) = 819(dec),1/5,5,1,5,732
011001001110(bin) = 1614(dec),13/33,33,5,1,1
111100110101(bin) = 3893(dec),19/20,20,11,5,14
000110100011(bin) = 419(dec),5/49,49,5,1,1
001001101010(bin) = 618(dec),8/53,53,1,5,9
000011001011(bin) = 203(dec),1/20,20,11,5,7
101001110010(bin) = 2674(dec),32/49,49,5,1,1
101100110000(bin) = 2864(dec),7/10,10,1,11,2
101101110100(bin) = 2932(dec),38/53,53,1,5,1
011001001111(bin) = 1615(dec),13/33,33,5,1,2
010011001100(bin) = 1228(dec),3/10,10,1,11,42
010110100101(bin) = 1445(dec),6/17,17,5,1,1
100110010100(bin) = 2452(dec),3/5,5,1,5,2
111001100100(bin) = 3684(dec),9/10,10,1,11,15
001100101111(bin) = 815(dec),1/5,5,1,5,3
011001110101(bin) = 1653(dec),21/52,52,1,5,1
011001011100(bin) = 1628(dec),21/53,53,1,5,1
010110011111(bin) = 1439(dec),13/37,37,1,5,3
000011000011(bin) = 195(dec),1/21,21,11,5,2
111001111010(bin) = 3706(dec),19/21,21,11,5,1
111100110010(bin) = 3890(dec),19/20,20,11,5,15
011001101100(bin) = 1644(dec),2/5,5,1,5,2
010011001011(bin) = 1227(dec),3/10,10,1,11,9
101100110001(bin) = 2865(dec),7/10,10,1,11,4
100011010001(bin) = 2257(dec),27/49,49,5,1,2
011001101101(bin) = 1645(dec),2/5,5,1,5,3
101001100011(bin) = 2659(dec),24/37,37,1,5,4
001001111011(bin) = 635(dec),7/45,45,1,5,1
000011100110(bin) = 230(dec),3/53,53,1,5,1
111001101011(bin) = 3691(dec),46/51,51,1,11,2
000110001010(bin) = 394(dec),5/52,52,1,5,1
110011100011(bin) = 3299(dec),29/36,36,1,5,1
101100110101(bin) = 2869(dec),7/10,10,1,11,13
100110011100(bin) = 2460(dec),3/5,5,1,5,10
011100111000(bin) = 1848(dec),23/51,51,1,11,3
111001100010(bin) = 3682(dec),44/49,49,5,1,3
110110010100(bin) = 3476(dec),28/33,33,5,1,1
011100101110(bin) = 1838(dec),22/49,49,5,1,1
011100110001(bin) = 1841(dec),22/49,49,5,1,5
010110110010(bin) = 1458(dec),16/45,45,1,5,1
100110010010(bin) = 2450(dec),3/5,5,1,5,2
011001100100(bin) = 1636(dec),2/5,5,1,5,23
010110101101(bin) = 1453(dec),11/31,31,1,11,1
110110010111(bin) = 3479(dec),45/53,53,1,5,9
110011001011(bin) = 3275(dec),4/5,5,1,5,16
011001011111(bin) = 1631(dec),2/5,5,1,5,1
100110011111(bin) = 2463(dec),3/5,5,1,5,4
011001011001(bin) = 1625(dec),21/53,53,1,5,2
011100110000(bin) = 1840(dec),22/49,49,5,1,2
110110011001(bin) = 3481(dec),17/20,20,11,5,195
101001100010(bin) = 2658(dec),24/37,37,1,5,5
011100110010(bin) = 1842(dec),9/20,20,11,5,28
001001101001(bin) = 617(dec),8/53,53,1,5,13
011001101001(bin) = 1641(dec),2/5,5,1,5,13
001100110101(bin) = 821(dec),1/5,5,1,5,5
111100110001(bin) = 3889(dec),19/20,20,11,5,2
100110010101(bin) = 2453(dec),3/5,5,1,5,3
010111000100(bin) = 1476(dec),9/25,25,5,1,2
001100110010(bin) = 818(dec),1/5,5,1,5,20
111001011001(bin) = 3673(dec),26/29,29,1,5,2
000110010100(bin) = 404(dec),5/51,51,1,11,2
001100110000(bin) = 816(dec),1/5,5,1,5,3
100110011000(bin) = 2456(dec),3/5,5,1,5,26
011100111111(bin) = 1855(dec),24/53,53,1,5,1
001001100101(bin) = 613(dec),3/20,20,11,5,39
100011000111(bin) = 2247(dec),17/31,31,1,11,1
110110010101(bin) = 3477(dec),45/53,53,1,5,2
000011001100(bin) = 204(dec),1/20,20,11,5,42
001001101011(bin) = 619(dec),8/53,53,1,5,5
100110100010(bin) = 2466(dec),32/53,53,1,5,1
010110011000(bin) = 1432(dec),7/20,20,11,5,42
100011001110(bin) = 2254(dec),11/20,20,11,5,16
000110010001(bin) = 401(dec),5/51,51,1,11,2
000110011110(bin) = 414(dec),5/49,49,5,1,1
000011001101(bin) = 205(dec),1/20,20,11,5,738
111001101000(bin) = 3688(dec),9/10,10,1,11,29
001001100110(bin) = 614(dec),3/20,20,11,5,490
110011001010(bin) = 3274(dec),4/5,5,1,5,7
111001101010(bin) = 3690(dec),9/10,10,1,11,5
011001101011(bin) = 1643(dec),2/5,5,1,5,5
011001101010(bin) = 1642(dec),2/5,5,1,5,7
001100101000(bin) = 808(dec),10/51,51,1,11,1
111100110100(bin) = 3892(dec),19/20,20,11,5,38
010011001110(bin) = 1230(dec),3/10,10,1,11,18
000110100000(bin) = 416(dec),5/49,49,5,1,2
110011001111(bin) = 3279(dec),4/5,5,1,5,6
100011001111(bin) = 2255(dec),27/49,49,5,1,4
011100110111(bin) = 1847(dec),23/51,51,1,11,4
100110100011(bin) = 2467(dec),32/53,53,1,5,2
010011001010(bin) = 1226(dec),3/10,10,1,11,8
010110011001(bin) = 1433(dec),7/20,20,11,5,201
001110011101(bin) = 925(dec),7/31,31,1,11,1
010011010001(bin) = 1233(dec),16/53,53,1,5,2
100011001011(bin) = 2251(dec),11/20,20,11,5,11
100011001001(bin) = 2249(dec),28/51,51,1,11,2
101001101000(bin) = 2664(dec),13/20,20,11,5,35
100011001000(bin) = 2248(dec),28/51,51,1,11,3
111001100000(bin) = 3680(dec),44/49,49,5,1,2
011100110101(bin) = 1845(dec),9/20,20,11,5,13
111001100101(bin) = 3685(dec),9/10,10,1,11,31
000110101011(bin) = 427(dec),5/48,48,5,1,1
110011001110(bin) = 3278(dec),4/5,5,1,5,14
111001001001(bin) = 3657(dec),25/28,28,1,5,1
001001101100(bin) = 620(dec),5/33,33,5,1,1
110110010011(bin) = 3475(dec),28/33,33,5,1,1
101001100101(bin) = 2661(dec),13/20,20,11,5,46
111001101001(bin) = 3689(dec),9/10,10,1,11,15
000110010110(bin) = 406(dec),1/10,10,1,11,9
000011001110(bin) = 206(dec),1/20,20,11,5,20
000111001011(bin) = 459(dec),1/9,9,5,1,1
010011000001(bin) = 1217(dec),11/37,37,1,5,1
000110011000(bin) = 408(dec),1/10,10,1,11,29
110011001001(bin) = 3273(dec),4/5,5,1,5,1
001100110111(bin) = 823(dec),1/5,5,1,5,2
011001101000(bin) = 1640(dec),2/5,5,1,5,27
111001100110(bin) = 3686(dec),9/10,10,1,11,494
101100110100(bin) = 2868(dec),7/10,10,1,11,39
010011001111(bin) = 1231(dec),3/10,10,1,11,2
111110100101(bin) = 4005(dec),44/45,45,1,5,1
001100110001(bin) = 817(dec),1/5,5,1,5,7
110010101100(bin) = 3244(dec),19/24,24,5,1,1
011100110110(bin) = 1846(dec),23/51,51,1,11,3
011001101110(bin) = 1646(dec),2/5,5,1,5,1
101100110111(bin) = 2871(dec),7/10,10,1,11,3
011100011111(bin) = 1823(dec),4/9,9,5,1,1
110011010010(bin) = 3282(dec),4/5,5,1,5,2
101100110010(bin) = 2866(dec),7/10,10,1,11,19
100111111111(bin) = 2559(dec),5/8,8,5,1,1
111100111110(bin) = 3902(dec),20/21,21,11,5,1
000110010101(bin) = 405(dec),5/51,51,1,11,4
111001011111(bin) = 3679(dec),44/49,49,5,1,2
000110011100(bin) = 412(dec),1/10,10,1,11,19
001001101000(bin) = 616(dec),3/20,20,11,5,26
001100110100(bin) = 820(dec),1/5,5,1,5,44
101001100100(bin) = 2660(dec),13/20,20,11,5,13
001010010010(bin) = 658(dec),4/25,25,5,1,2
010000000000(bin) = 1024(dec),1/4,4,1,5,829
111001100001(bin) = 3681(dec),44/49,49,5,1,6
110110011011(bin) = 3483(dec),17/20,20,11,5,47
110011101000(bin) = 3304(dec),25/31,31,1,11,1
000011000001(bin) = 193(dec),1/21,21,11,5,1
011001100011(bin) = 1635(dec),2/5,5,1,5,4
100110110100(bin) = 2484(dec),20/33,33,5,1,1
101001100111(bin) = 2663(dec),13/20,20,11,5,226
110011010011(bin) = 3283(dec),4/5,5,1,5,2
011100101011(bin) = 1835(dec),13/29,29,1,5,1
011001010101(bin) = 1621(dec),19/48,48,5,1,1
010110011010(bin) = 1434(dec),7/20,20,11,5,480
010011001101(bin) = 1229(dec),3/10,10,1,11,692
000110101001(bin) = 425(dec),3/29,29,1,5,1
110011010101(bin) = 3285(dec),41/51,51,1,11,1
100110010110(bin) = 2454(dec),3/5,5,1,5,3
110010110010(bin) = 3250(dec),23/29,29,1,5,1
000110010111(bin) = 407(dec),1/10,10,1,11,16
001001100111(bin) = 615(dec),3/20,20,11,5,210
101100110110(bin) = 2870(dec),7/10,10,1,11,3
100011001100(bin) = 2252(dec),11/20,20,11,5,39
111001100111(bin) = 3687(dec),9/10,10,1,11,240
111001011000(bin) = 3672(dec),26/29,29,1,5,1
000110001101(bin) = 397(dec),3/31,31,1,11,1
100110011001(bin) = 2457(dec),3/5,5,1,5,173
111100110011(bin) = 3891(dec),19/20,20,11,5,683
110000100000(bin) = 3104(dec),25/33,33,5,1,1
101001000100(bin) = 2628(dec),34/53,53,1,5,1
110011001101(bin) = 3277(dec),4/5,5,1,5,762
011001100111(bin) = 1639(dec),2/5,5,1,5,212
100110010011(bin) = 2451(dec),3/5,5,1,5,2
100110001110(bin) = 2446(dec),31/52,52,1,5,1
100011001101(bin) = 2253(dec),11/20,20,11,5,682
010110011011(bin) = 1435(dec),7/20,20,11,5,38
100011010000(bin) = 2256(dec),27/49,49,5,1,6
001100111010(bin) = 826(dec),1/5,5,1,5,2
110011001100(bin) = 3276(dec),4/5,5,1,5,50
010011010000(bin) = 1232(dec),3/10,10,1,11,4
000110011001(bin) = 409(dec),1/10,10,1,11,205
110011010000(bin) = 3280(dec),4/5,5,1,5,3
000110011010(bin) = 410(dec),1/10,10,1,11,472
011001100101(bin) = 1637(dec),2/5,5,1,5,37
101100101110(bin) = 2862(dec),37/53,53,1,5,1
110101110010(bin) = 3442(dec),21/25,25,5,1,1
010011001001(bin) = 1225(dec),3/10,10,1,11,2
000110100010(bin) = 418(dec),5/49,49,5,1,2
110110010110(bin) = 3478(dec),45/53,53,1,5,9
000110011101(bin) = 413(dec),1/10,10,1,11,9
100110011010(bin) = 2458(dec),3/5,5,1,5,457
101100110011(bin) = 2867(dec),7/10,10,1,11,711
011100011010(bin) = 1818(dec),4/9,9,5,1,1
100110011101(bin) = 2461(dec),3/5,5,1,5,10
011100110011(bin) = 1843(dec),9/20,20,11,5,722
011100110100(bin) = 1844(dec),9/20,20,11,5,52
110000000000(bin) = 3072(dec),3/4,4,1,5,829
100110011011(bin) = 2459(dec),3/5,5,1,5,41
101001100110(bin) = 2662(dec),13/20,20,11,5,470
010110101001(bin) = 1449(dec),17/48,48,5,1,1
100110010111(bin) = 2455(dec),3/5,5,1,5,15
101100101111(bin) = 2863(dec),37/53,53,1,5,1
111001100011(bin) = 3683(dec),9/10,10,1,11,9
110110011000(bin) = 3480(dec),17/20,20,11,5,33
001001110011(bin) = 627(dec),2/13,13,1,5,2
110110011010(bin) = 3482(dec),17/20,20,11,5,477
111000000100(bin) = 3588(dec),7/8,8,5,1,1
010110011100(bin) = 1436(dec),7/20,20,11,5,19
011001100110(bin) = 1638(dec),2/5,5,1,5,463
000110011011(bin) = 411(dec),1/10,10,1,11,37
000110010011(bin) = 403(dec),5/51,51,1,11,3
111001101100(bin) = 3692(dec),46/51,51,1,11,2
000001001101(bin) =  77(dec),1/53,53,1,5,0
000001001110(bin) =  78(dec),1/53,53,1,5,0
000001001111(bin) =  79(dec),1/52,52,1,5,0
000001010000(bin) =  80(dec),1/51,51,1,11,0
000001010001(bin) =  81(dec),1/51,51,1,11,0
000001010010(bin) =  82(dec),1/50,50,1,11,0
000001010011(bin) =  83(dec),1/49,49,5,1,0
000001010100(bin) =  84(dec),1/49,49,5,1,0
000001010101(bin) =  85(dec),1/48,48,5,1,0
000001010110(bin) =  86(dec),1/48,48,5,1,0
000001011011(bin) =  91(dec),1/45,45,1,5,0
000001011100(bin) =  92(dec),1/45,45,1,5,0
000001011101(bin) =  93(dec),1/44,44,1,5,0
000001011110(bin) =  94(dec),1/44,44,1,5,0
000001101110(bin) = 110(dec),1/37,37,1,5,0
000001101111(bin) = 111(dec),1/37,37,1,5,0
000001110000(bin) = 112(dec),1/37,37,1,5,0
000001110001(bin) = 113(dec),1/36,36,1,5,0
000001110010(bin) = 114(dec),1/36,36,1,5,0
000001110011(bin) = 115(dec),1/36,36,1,5,0
000001111011(bin) = 123(dec),1/33,33,5,1,0
000001111100(bin) = 124(dec),1/33,33,5,1,0
000001111101(bin) = 125(dec),1/33,33,5,1,0
000001111110(bin) = 126(dec),1/33,33,5,1,0
000001111111(bin) = 127(dec),1/32,32,5,1,0
000010000000(bin) = 128(dec),1/32,32,5,1,0
000010000001(bin) = 129(dec),1/32,32,5,1,0
000010000010(bin) = 130(dec),1/32,32,5,1,0
000010000011(bin) = 131(dec),1/31,31,1,11,0
000010000100(bin) = 132(dec),1/31,31,1,11,0
000010000101(bin) = 133(dec),1/31,31,1,11,0
000010000110(bin) = 134(dec),1/31,31,1,11,0
000010000111(bin) = 135(dec),1/30,30,1,11,0
000010001000(bin) = 136(dec),1/30,30,1,11,0
000010001001(bin) = 137(dec),1/30,30,1,11,0
000010001010(bin) = 138(dec),1/30,30,1,11,0
000010001011(bin) = 139(dec),1/29,29,1,5,0
000010001100(bin) = 140(dec),1/29,29,1,5,0
000010001101(bin) = 141(dec),1/29,29,1,5,0
000010001110(bin) = 142(dec),1/29,29,1,5,0
000010001111(bin) = 143(dec),1/29,29,1,5,0
000010010000(bin) = 144(dec),1/28,28,1,5,0
000010010001(bin) = 145(dec),1/28,28,1,5,0
000010010010(bin) = 146(dec),1/28,28,1,5,0
000010010011(bin) = 147(dec),1/28,28,1,5,0
000010011010(bin) = 154(dec),2/53,53,1,5,0
000010011011(bin) = 155(dec),2/53,53,1,5,0
000010011100(bin) = 156(dec),2/53,53,1,5,0
000010100000(bin) = 160(dec),2/51,51,1,11,0
000010100001(bin) = 161(dec),2/51,51,1,11,0
000010100010(bin) = 162(dec),2/51,51,1,11,0
000010100011(bin) = 163(dec),1/25,25,5,1,0
000010100100(bin) = 164(dec),1/25,25,5,1,0
000010100101(bin) = 165(dec),1/25,25,5,1,0
000010100110(bin) = 166(dec),2/49,49,5,1,0
000010100111(bin) = 167(dec),2/49,49,5,1,0
000010101000(bin) = 168(dec),2/49,49,5,1,0
000010101001(bin) = 169(dec),1/24,24,5,1,0
000010101100(bin) = 172(dec),1/24,24,5,1,0
000010110101(bin) = 181(dec),2/45,45,1,5,0
000010110110(bin) = 182(dec),2/45,45,1,5,0
000010110111(bin) = 183(dec),2/45,45,1,5,0
000010111000(bin) = 184(dec),2/45,45,1,5,0
000011000010(bin) = 194(dec),1/21,21,11,5,0
000011000100(bin) = 196(dec),1/21,21,11,5,0
000011000101(bin) = 197(dec),1/21,21,11,5,0
000011011011(bin) = 219(dec),2/37,37,1,5,0
000011011100(bin) = 220(dec),2/37,37,1,5,0
000011011101(bin) = 221(dec),2/37,37,1,5,0
000011011110(bin) = 222(dec),2/37,37,1,5,0
000011100111(bin) = 231(dec),3/53,53,1,5,0
000011101000(bin) = 232(dec),3/53,53,1,5,0
000011101100(bin) = 236(dec),3/52,52,1,5,0
000011101101(bin) = 237(dec),3/52,52,1,5,0
000011101110(bin) = 238(dec),3/52,52,1,5,0
000011101111(bin) = 239(dec),1/17,17,5,1,0
000011110000(bin) = 240(dec),1/17,17,5,1,0
000011110001(bin) = 241(dec),1/17,17,5,1,0
000011110010(bin) = 242(dec),1/17,17,5,1,0
000011110011(bin) = 243(dec),1/17,17,5,1,0
000011110100(bin) = 244(dec),3/50,50,1,11,0
000011110101(bin) = 245(dec),3/50,50,1,11,0
000011110110(bin) = 246(dec),3/50,50,1,11,0
000011110111(bin) = 247(dec),3/50,50,1,11,0
000011111000(bin) = 248(dec),2/33,33,5,1,0
000011111001(bin) = 249(dec),2/33,33,5,1,0
000011111010(bin) = 250(dec),3/49,49,5,1,0
000011111011(bin) = 251(dec),3/49,49,5,1,0
000011111100(bin) = 252(dec),3/49,49,5,1,0
000011111101(bin) = 253(dec),3/49,49,5,1,0
000011111110(bin) = 254(dec),1/16,16,5,1,0
000011111111(bin) = 255(dec),1/16,16,5,1,0
000100000000(bin) = 256(dec),1/16,16,5,1,0
000100000001(bin) = 257(dec),1/16,16,5,1,0
000100000010(bin) = 258(dec),1/16,16,5,1,0
000100000111(bin) = 263(dec),2/31,31,1,11,0
000100001000(bin) = 264(dec),2/31,31,1,11,0
000100001001(bin) = 265(dec),2/31,31,1,11,0
000100010101(bin) = 277(dec),3/44,44,1,5,0
000100010110(bin) = 278(dec),3/44,44,1,5,0
000100010111(bin) = 279(dec),3/44,44,1,5,0
000100011000(bin) = 280(dec),3/44,44,1,5,0
000100011001(bin) = 281(dec),2/29,29,1,5,0
000100011010(bin) = 282(dec),2/29,29,1,5,0
000100011011(bin) = 283(dec),2/29,29,1,5,0
000100011100(bin) = 284(dec),2/29,29,1,5,0
000100110101(bin) = 309(dec),4/53,53,1,5,0
000100110110(bin) = 310(dec),4/53,53,1,5,0
000100110111(bin) = 311(dec),4/53,53,1,5,0
000100111000(bin) = 312(dec),4/53,53,1,5,0
000100111001(bin) = 313(dec),1/13,13,1,5,0
000100111010(bin) = 314(dec),1/13,13,1,5,0
000100111011(bin) = 315(dec),1/13,13,1,5,0
000100111100(bin) = 316(dec),1/13,13,1,5,0
000100111101(bin) = 317(dec),1/13,13,1,5,0
000100111110(bin) = 318(dec),1/13,13,1,5,0
000100111111(bin) = 319(dec),4/51,51,1,11,0
000101000000(bin) = 320(dec),4/51,51,1,11,0
000101000001(bin) = 321(dec),4/51,51,1,11,0
000101000010(bin) = 322(dec),4/51,51,1,11,0
000101000110(bin) = 326(dec),2/25,25,5,1,0
000101000111(bin) = 327(dec),2/25,25,5,1,0
000101001000(bin) = 328(dec),2/25,25,5,1,0
000101001001(bin) = 329(dec),2/25,25,5,1,0
000101001010(bin) = 330(dec),3/37,37,1,5,0
000101001011(bin) = 331(dec),3/37,37,1,5,0
000101001100(bin) = 332(dec),3/37,37,1,5,0
000101001101(bin) = 333(dec),3/37,37,1,5,0
000101001110(bin) = 334(dec),4/49,49,5,1,0
000101001111(bin) = 335(dec),4/49,49,5,1,0
000101010000(bin) = 336(dec),4/49,49,5,1,0
000101010001(bin) = 337(dec),4/49,49,5,1,0
000101010010(bin) = 338(dec),1/12,12,1,5,0
000101010011(bin) = 339(dec),1/12,12,1,5,0
000101010100(bin) = 340(dec),1/12,12,1,5,0
000101010101(bin) = 341(dec),1/12,12,1,5,0
000101010110(bin) = 342(dec),1/12,12,1,5,0
000101010111(bin) = 343(dec),1/12,12,1,5,0
000101011000(bin) = 344(dec),1/12,12,1,5,0
000101101011(bin) = 363(dec),4/45,45,1,5,0
000101101100(bin) = 364(dec),4/45,45,1,5,0
000101101101(bin) = 365(dec),4/45,45,1,5,0
000101101110(bin) = 366(dec),4/45,45,1,5,0
000101101111(bin) = 367(dec),4/45,45,1,5,0
000101110000(bin) = 368(dec),4/45,45,1,5,0
000101110010(bin) = 370(dec),1/11,11,1,11,0
000101110011(bin) = 371(dec),1/11,11,1,11,0
000101110100(bin) = 372(dec),1/11,11,1,11,0
000101110101(bin) = 373(dec),1/11,11,1,11,0
000101110110(bin) = 374(dec),1/11,11,1,11,0
000101110111(bin) = 375(dec),1/11,11,1,11,0
000101111111(bin) = 383(dec),3/32,32,5,1,0
000110000001(bin) = 385(dec),3/32,32,5,1,0
000110000010(bin) = 386(dec),5/53,53,1,5,0
000110000011(bin) = 387(dec),5/53,53,1,5,0
000110000100(bin) = 388(dec),5/53,53,1,5,0
000110000101(bin) = 389(dec),2/21,21,11,5,0
000110000110(bin) = 390(dec),2/21,21,11,5,0
000110000111(bin) = 391(dec),2/21,21,11,5,0
000110001000(bin) = 392(dec),5/52,52,1,5,0
000110001001(bin) = 393(dec),5/52,52,1,5,0
000110001011(bin) = 395(dec),5/52,52,1,5,0
000110001100(bin) = 396(dec),3/31,31,1,11,0
000110010010(bin) = 402(dec),5/51,51,1,11,0
000110011111(bin) = 415(dec),5/49,49,5,1,0
000110100111(bin) = 423(dec),3/29,29,1,5,0
000110101000(bin) = 424(dec),3/29,29,1,5,0
000110101010(bin) = 426(dec),5/48,48,5,1,0
000110101100(bin) = 428(dec),5/48,48,5,1,0
000110110110(bin) = 438(dec),3/28,28,1,5,0
000110110111(bin) = 439(dec),3/28,28,1,5,0
000110111000(bin) = 440(dec),3/28,28,1,5,0
000110111001(bin) = 441(dec),4/37,37,1,5,0
000110111010(bin) = 442(dec),4/37,37,1,5,0
000110111011(bin) = 443(dec),4/37,37,1,5,0
000110111100(bin) = 444(dec),4/37,37,1,5,0
000111000011(bin) = 451(dec),1/9,9,5,1,0
000111000100(bin) = 452(dec),1/9,9,5,1,0
000111000101(bin) = 453(dec),1/9,9,5,1,0
000111000110(bin) = 454(dec),1/9,9,5,1,0
000111000111(bin) = 455(dec),1/9,9,5,1,0
000111001000(bin) = 456(dec),1/9,9,5,1,0
000111001001(bin) = 457(dec),1/9,9,5,1,0
000111001010(bin) = 458(dec),1/9,9,5,1,0
000111001100(bin) = 460(dec),6/53,53,1,5,0
000111001101(bin) = 461(dec),6/53,53,1,5,0
000111001110(bin) = 462(dec),6/53,53,1,5,0
000111001111(bin) = 463(dec),6/53,53,1,5,0
000111010000(bin) = 464(dec),6/53,53,1,5,0
000111010001(bin) = 465(dec),5/44,44,1,5,0
000111010010(bin) = 466(dec),5/44,44,1,5,0
000111100000(bin) = 480(dec),2/17,17,5,1,0
000111100001(bin) = 481(dec),2/17,17,5,1,0
000111100010(bin) = 482(dec),2/17,17,5,1,0
000111100011(bin) = 483(dec),2/17,17,5,1,0
000111100100(bin) = 484(dec),2/17,17,5,1,0
000111101010(bin) = 490(dec),3/25,25,5,1,0
000111101011(bin) = 491(dec),3/25,25,5,1,0
000111101100(bin) = 492(dec),3/25,25,5,1,0
000111101101(bin) = 493(dec),3/25,25,5,1,0
000111101110(bin) = 494(dec),3/25,25,5,1,0
000111101111(bin) = 495(dec),4/33,33,5,1,0
000111110000(bin) = 496(dec),4/33,33,5,1,0
000111110001(bin) = 497(dec),4/33,33,5,1,0
000111110101(bin) = 501(dec),6/49,49,5,1,0
000111110110(bin) = 502(dec),6/49,49,5,1,0
000111110111(bin) = 503(dec),6/49,49,5,1,0
000111111000(bin) = 504(dec),6/49,49,5,1,0
000111111001(bin) = 505(dec),6/49,49,5,1,0
000111111010(bin) = 506(dec),6/49,49,5,1,0
000111111011(bin) = 507(dec),1/8,8,5,1,0
000111111100(bin) = 508(dec),1/8,8,5,1,0
000111111101(bin) = 509(dec),1/8,8,5,1,0
000111111110(bin) = 510(dec),1/8,8,5,1,0
000111111111(bin) = 511(dec),1/8,8,5,1,0
001000000000(bin) = 512(dec),1/8,8,5,1,0
001000000001(bin) = 513(dec),1/8,8,5,1,0
001000000010(bin) = 514(dec),1/8,8,5,1,0
001000000011(bin) = 515(dec),1/8,8,5,1,0
001000000100(bin) = 516(dec),1/8,8,5,1,0
001000001111(bin) = 527(dec),4/31,31,1,11,0
001000010000(bin) = 528(dec),4/31,31,1,11,0
001000010001(bin) = 529(dec),4/31,31,1,11,0
001000011100(bin) = 540(dec),7/53,53,1,5,0
001000011101(bin) = 541(dec),7/53,53,1,5,0
001000011110(bin) = 542(dec),7/53,53,1,5,0
001000011111(bin) = 543(dec),7/53,53,1,5,0
001000100101(bin) = 549(dec),7/52,52,1,5,0
001000100110(bin) = 550(dec),7/52,52,1,5,0
001000100111(bin) = 551(dec),7/52,52,1,5,0
