Register Output,Fraction,Guess for r,guess1,guess2
01001101010(bin) = 618(dec),16/53,53,1,5
00100110100(bin) = 308(dec),3/20,20,11,5
11110011001(bin) = 1945(dec),19/20,20,11,5
00111000100(bin) = 452(dec),11/50,50,1,11
01011001100(bin) = 716(dec),7/20,20,11,5
11001100100(bin) = 1636(dec),4/5,5,1,5
10001100110(bin) = 1126(dec),11/20,20,11,5
11001101011(bin) = 1643(dec),41/51,51,1,11
11100110001(bin) = 1841(dec),44/49,49,5,1
00100110011(bin) = 307(dec),3/20,20,11,5
01100110000(bin) = 816(dec),2/5,5,1,5
10100110100(bin) = 1332(dec),13/20,20,11,5
10001110001(bin) = 1137(dec),5/9,9,5,1
01001100101(bin) = 613(dec),3/10,10,1,11
10100110011(bin) = 1331(dec),13/20,20,11,5
00110010010(bin) = 402(dec),10/51,51,1,11
01110011111(bin) = 927(dec),24/53,53,1,5
11100110010(bin) = 1842(dec),9/10,10,1,11
00110011000(bin) = 408(dec),1/5,5,1,5
10001100100(bin) = 1124(dec),28/51,51,1,11
01100110100(bin) = 820(dec),2/5,5,1,5
10110010110(bin) = 1430(dec),37/53,53,1,5
11001110011(bin) = 1651(dec),25/31,31,1,11
11100111101(bin) = 1853(dec),19/21,21,11,5
10001100101(bin) = 1125(dec),28/51,51,1,11
10011001101(bin) = 1229(dec),3/5,5,1,5
10011001000(bin) = 1224(dec),31/52,52,1,5
10110011011(bin) = 1435(dec),7/10,10,1,11
01011001110(bin) = 718(dec),7/20,20,11,5
10100110010(bin) = 1330(dec),13/20,20,11,5
00011010000(bin) = 208(dec),5/49,49,5,1
11110011010(bin) = 1946(dec),19/20,20,11,5
10001100111(bin) = 1127(dec),11/20,20,11,5
10001101001(bin) = 1129(dec),27/49,49,5,1
00001100111(bin) = 103(dec),1/20,20,11,5
11000000000(bin) = 1536(dec),3/4,4,1,5
10110011001(bin) = 1433(dec),7/10,10,1,11
11100111011(bin) = 1851(dec),47/52,52,1,5
11011001101(bin) = 1741(dec),17/20,20,11,5
10011001010(bin) = 1226(dec),3/5,5,1,5
11011001100(bin) = 1740(dec),17/20,20,11,5
01001100111(bin) = 615(dec),3/10,10,1,11
10011001100(bin) = 1228(dec),3/5,5,1,5
11001101001(bin) = 1641(dec),4/5,5,1,5
00110011010(bin) = 410(dec),1/5,5,1,5
11001100101(bin) = 1637(dec),4/5,5,1,5
11100110111(bin) = 1847(dec),46/51,51,1,11
01110011001(bin) = 921(dec),9/20,20,11,5
10100110001(bin) = 1329(dec),24/37,37,1,5
01110011010(bin) = 922(dec),9/20,20,11,5
01000000000(bin) = 512(dec),1/4,4,1,5
10011001011(bin) = 1227(dec),3/5,5,1,5
10110011010(bin) = 1434(dec),7/10,10,1,11
01100110110(bin) = 822(dec),2/5,5,1,5
11001100111(bin) = 1639(dec),4/5,5,1,5
00011001010(bin) = 202(dec),5/51,51,1,11
01001100110(bin) = 614(dec),3/10,10,1,11
00011001101(bin) = 205(dec),1/10,10,1,11
00001100110(bin) = 102(dec),1/20,20,11,5
11001100110(bin) = 1638(dec),4/5,5,1,5
00011001100(bin) = 204(dec),1/10,10,1,11
00110011001(bin) = 409(dec),1/5,5,1,5
01110100100(bin) = 932(dec),5/11,11,1,11
00110011011(bin) = 411(dec),1/5,5,1,5
11110011110(bin) = 1950(dec),20/21,21,11,5
11011001011(bin) = 1739(dec),45/53,53,1,5
01110011000(bin) = 920(dec),22/49,49,5,1
01001101001(bin) = 617(dec),16/53,53,1,5
01110001100(bin) = 908(dec),23/52,52,1,5
01100110011(bin) = 819(dec),2/5,5,1,5
11100110011(bin) = 1843(dec),9/10,10,1,11
01011001101(bin) = 717(dec),7/20,20,11,5
