Register Output,Fraction,Guess for r,guess1,guess2
1111001100110(bin) = 7782(dec),19/20,20,11,5
1001100110110(bin) = 4918(dec),3/5,5,1,5
1001100110100(bin) = 4916(dec),3/5,5,1,5
0011001100111(bin) = 1639(dec),1/5,5,1,5
0110011001101(bin) = 3277(dec),2/5,5,1,5
1110011001010(bin) = 7370(dec),9/10,10,1,11
0001100110011(bin) = 819(dec),1/10,10,1,11
1001100110010(bin) = 4914(dec),3/5,5,1,5
0001100111110(bin) = 830(dec),5/49,49,5,1
0101100111100(bin) = 2876(dec),13/37,37,1,5
0110011001010(bin) = 3274(dec),2/5,5,1,5
0110011010101(bin) = 3285(dec),2/5,5,1,5
0101100000001(bin) = 2817(dec),11/32,32,5,1
0100110010110(bin) = 2454(dec),3/10,10,1,11
1110011001101(bin) = 7373(dec),9/10,10,1,11
1101100110110(bin) = 6966(dec),17/20,20,11,5
1001100110111(bin) = 4919(dec),3/5,5,1,5
0101100110011(bin) = 2867(dec),7/20,20,11,5
1010011000100(bin) = 5316(dec),24/37,37,1,5
1000110100110(bin) = 4518(dec),16/29,29,1,5
1010011001100(bin) = 5324(dec),13/20,20,11,5
0000010011010(bin) = 154(dec),1/53,53,1,5
0000010011011(bin) = 155(dec),1/53,53,1,5
0000010011100(bin) = 156(dec),1/53,53,1,5
0000010011101(bin) = 157(dec),1/52,52,1,5
0000010011110(bin) = 158(dec),1/52,52,1,5
0000010011111(bin) = 159(dec),1/52,52,1,5
0000010100000(bin) = 160(dec),1/51,51,1,11
0000010100001(bin) = 161(dec),1/51,51,1,11
0000010100010(bin) = 162(dec),1/51,51,1,11
0000010100011(bin) = 163(dec),1/50,50,1,11
0000010100100(bin) = 164(dec),1/50,50,1,11
0000010100101(bin) = 165(dec),1/50,50,1,11
0000010100110(bin) = 166(dec),1/49,49,5,1
0000010100111(bin) = 167(dec),1/49,49,5,1
0000010101000(bin) = 168(dec),1/49,49,5,1
0000010101001(bin) = 169(dec),1/48,48,5,1
0000010101010(bin) = 170(dec),1/48,48,5,1
0000010101011(bin) = 171(dec),1/48,48,5,1
0000010101100(bin) = 172(dec),1/48,48,5,1
0000010110101(bin) = 181(dec),1/45,45,1,5
0000010110110(bin) = 182(dec),1/45,45,1,5
0000010110111(bin) = 183(dec),1/45,45,1,5
0000010111000(bin) = 184(dec),1/45,45,1,5
0000010111001(bin) = 185(dec),1/44,44,1,5
0000010111010(bin) = 186(dec),1/44,44,1,5
0000010111011(bin) = 187(dec),1/44,44,1,5
0000010111100(bin) = 188(dec),1/44,44,1,5
0000011011011(bin) = 219(dec),1/37,37,1,5
0000011011100(bin) = 220(dec),1/37,37,1,5
0000011011101(bin) = 221(dec),1/37,37,1,5
0000011011110(bin) = 222(dec),1/37,37,1,5
0000011011111(bin) = 223(dec),1/37,37,1,5
0000011100000(bin) = 224(dec),1/37,37,1,5
0000011100001(bin) = 225(dec),1/36,36,1,5
0000011100010(bin) = 226(dec),1/36,36,1,5
0000011100011(bin) = 227(dec),1/36,36,1,5
0000011100100(bin) = 228(dec),1/36,36,1,5
0000011100101(bin) = 229(dec),1/36,36,1,5
0000011100110(bin) = 230(dec),1/36,36,1,5
0000011110101(bin) = 245(dec),1/33,33,5,1
0000011110110(bin) = 246(dec),1/33,33,5,1
0000011110111(bin) = 247(dec),1/33,33,5,1
0000011111000(bin) = 248(dec),1/33,33,5,1
0000011111001(bin) = 249(dec),1/33,33,5,1
0000011111010(bin) = 250(dec),1/33,33,5,1
0000011111011(bin) = 251(dec),1/33,33,5,1
0000011111100(bin) = 252(dec),1/33,33,5,1
0000011111101(bin) = 253(dec),1/32,32,5,1
0000011111110(bin) = 254(dec),1/32,32,5,1
0000011111111(bin) = 255(dec),1/32,32,5,1
0000100000000(bin) = 256(dec),1/32,32,5,1
0000100000001(bin) = 257(dec),1/32,32,5,1
0000100000010(bin) = 258(dec),1/32,32,5,1
0000100000011(bin) = 259(dec),1/32,32,5,1
0000100000100(bin) = 260(dec),1/32,32,5,1
0000100000101(bin) = 261(dec),1/31,31,1,11
0000100000110(bin) = 262(dec),1/31,31,1,11
0000100000111(bin) = 263(dec),1/31,31,1,11
0000100001001(bin) = 265(dec),1/31,31,1,11
0000100001010(bin) = 266(dec),1/31,31,1,11
0000100001011(bin) = 267(dec),1/31,31,1,11
0000100001100(bin) = 268(dec),1/31,31,1,11
0000100001101(bin) = 269(dec),1/30,30,1,11
0000100001110(bin) = 270(dec),1/30,30,1,11
0000100001111(bin) = 271(dec),1/30,30,1,11
0000100010000(bin) = 272(dec),1/30,30,1,11
0000100010001(bin) = 273(dec),1/30,30,1,11
0000100010010(bin) = 274(dec),1/30,30,1,11
0000100010011(bin) = 275(dec),1/30,30,1,11
0000100010100(bin) = 276(dec),1/30,30,1,11
0000100010101(bin) = 277(dec),1/30,30,1,11
0000100010110(bin) = 278(dec),1/29,29,1,5
0000100010111(bin) = 279(dec),1/29,29,1,5
0000100011000(bin) = 280(dec),1/29,29,1,5
0000100011001(bin) = 281(dec),1/29,29,1,5
0000100011010(bin) = 282(dec),1/29,29,1,5
0000100011011(bin) = 283(dec),1/29,29,1,5
0000100011100(bin) = 284(dec),1/29,29,1,5
0000100011101(bin) = 285(dec),1/29,29,1,5
0000100011110(bin) = 286(dec),1/29,29,1,5
0000100011111(bin) = 287(dec),1/29,29,1,5
0000100100000(bin) = 288(dec),1/28,28,1,5
0000100100001(bin) = 289(dec),1/28,28,1,5
0000100100010(bin) = 290(dec),1/28,28,1,5
0000100100011(bin) = 291(dec),1/28,28,1,5
0000100100100(bin) = 292(dec),1/28,28,1,5
0000100100101(bin) = 293(dec),1/28,28,1,5
0000100100110(bin) = 294(dec),1/28,28,1,5
0000100100111(bin) = 295(dec),1/28,28,1,5
0000100110011(bin) = 307(dec),2/53,53,1,5
0000100110100(bin) = 308(dec),2/53,53,1,5
0000100110101(bin) = 309(dec),2/53,53,1,5
0000100110110(bin) = 310(dec),2/53,53,1,5
0000100110111(bin) = 311(dec),2/53,53,1,5
0000100111000(bin) = 312(dec),2/53,53,1,5
0000100111111(bin) = 319(dec),2/51,51,1,11
0000101000000(bin) = 320(dec),2/51,51,1,11
0000101000001(bin) = 321(dec),2/51,51,1,11
0000101000010(bin) = 322(dec),2/51,51,1,11
0000101000011(bin) = 323(dec),2/51,51,1,11
0000101000100(bin) = 324(dec),2/51,51,1,11
0000101000101(bin) = 325(dec),1/25,25,5,1
0000101000110(bin) = 326(dec),1/25,25,5,1
0000101000111(bin) = 327(dec),1/25,25,5,1
0000101001000(bin) = 328(dec),1/25,25,5,1
0000101001001(bin) = 329(dec),1/25,25,5,1
0000101001010(bin) = 330(dec),1/25,25,5,1
0000101001011(bin) = 331(dec),1/25,25,5,1
0000101001100(bin) = 332(dec),2/49,49,5,1
0000101001110(bin) = 334(dec),2/49,49,5,1
0000101001111(bin) = 335(dec),2/49,49,5,1
0000101010000(bin) = 336(dec),2/49,49,5,1
0000101010001(bin) = 337(dec),2/49,49,5,1
0000101010011(bin) = 339(dec),1/24,24,5,1
0000101010100(bin) = 340(dec),1/24,24,5,1
0000101010101(bin) = 341(dec),1/24,24,5,1
0000101010110(bin) = 342(dec),1/24,24,5,1
0000101010111(bin) = 343(dec),1/24,24,5,1
0000101011000(bin) = 344(dec),1/24,24,5,1
0000101101001(bin) = 361(dec),2/45,45,1,5
0000101101010(bin) = 362(dec),2/45,45,1,5
0000101101011(bin) = 363(dec),2/45,45,1,5
0000101101100(bin) = 364(dec),2/45,45,1,5
0000101101101(bin) = 365(dec),2/45,45,1,5
0000101101110(bin) = 366(dec),2/45,45,1,5
0000101101111(bin) = 367(dec),2/45,45,1,5
0000101110000(bin) = 368(dec),2/45,45,1,5
0000110000010(bin) = 386(dec),1/21,21,11,5
0000110000011(bin) = 387(dec),1/21,21,11,5
0000110000100(bin) = 388(dec),1/21,21,11,5
0000110000101(bin) = 389(dec),1/21,21,11,5
0000110000110(bin) = 390(dec),1/21,21,11,5
0000110000111(bin) = 391(dec),1/21,21,11,5
0000110001000(bin) = 392(dec),1/21,21,11,5
0000110001001(bin) = 393(dec),1/21,21,11,5
0000110001010(bin) = 394(dec),1/21,21,11,5
0000110110101(bin) = 437(dec),2/37,37,1,5
0000110110110(bin) = 438(dec),2/37,37,1,5
0000110110111(bin) = 439(dec),2/37,37,1,5
0000110111000(bin) = 440(dec),2/37,37,1,5
0000110111010(bin) = 442(dec),2/37,37,1,5
0000110111011(bin) = 443(dec),2/37,37,1,5
0000110111100(bin) = 444(dec),2/37,37,1,5
0000111001101(bin) = 461(dec),3/53,53,1,5
0000111001110(bin) = 462(dec),3/53,53,1,5
0000111001111(bin) = 463(dec),3/53,53,1,5
0000111010000(bin) = 464(dec),3/53,53,1,5
0000111010001(bin) = 465(dec),3/53,53,1,5
0000111010111(bin) = 471(dec),3/52,52,1,5
0000111011000(bin) = 472(dec),3/52,52,1,5
0000111011001(bin) = 473(dec),3/52,52,1,5
0000111011010(bin) = 474(dec),3/52,52,1,5
0000111011011(bin) = 475(dec),3/52,52,1,5
0000111011100(bin) = 476(dec),3/52,52,1,5
0000111011101(bin) = 477(dec),3/52,52,1,5
0000111011110(bin) = 478(dec),1/17,17,5,1
0000111011111(bin) = 479(dec),1/17,17,5,1
0000111100000(bin) = 480(dec),1/17,17,5,1
0000111100001(bin) = 481(dec),1/17,17,5,1
0000111100010(bin) = 482(dec),1/17,17,5,1
0000111100011(bin) = 483(dec),1/17,17,5,1
0000111100100(bin) = 484(dec),1/17,17,5,1
0000111100101(bin) = 485(dec),1/17,17,5,1
0000111100110(bin) = 486(dec),1/17,17,5,1
0000111100111(bin) = 487(dec),3/50,50,1,11
0000111101000(bin) = 488(dec),3/50,50,1,11
0000111101001(bin) = 489(dec),3/50,50,1,11
0000111101010(bin) = 490(dec),3/50,50,1,11
0000111101011(bin) = 491(dec),3/50,50,1,11
0000111101100(bin) = 492(dec),3/50,50,1,11
0000111101101(bin) = 493(dec),3/50,50,1,11
0000111101110(bin) = 494(dec),3/50,50,1,11
0000111101111(bin) = 495(dec),2/33,33,5,1
0000111110000(bin) = 496(dec),2/33,33,5,1
0000111110001(bin) = 497(dec),2/33,33,5,1
0000111110010(bin) = 498(dec),2/33,33,5,1
0000111110011(bin) = 499(dec),2/33,33,5,1
0000111110100(bin) = 500(dec),3/49,49,5,1
0000111110101(bin) = 501(dec),3/49,49,5,1
0000111110110(bin) = 502(dec),3/49,49,5,1
0000111110111(bin) = 503(dec),3/49,49,5,1
0000111111000(bin) = 504(dec),3/49,49,5,1
0000111111001(bin) = 505(dec),3/49,49,5,1
0000111111010(bin) = 506(dec),3/49,49,5,1
0000111111011(bin) = 507(dec),1/16,16,5,1
0000111111100(bin) = 508(dec),1/16,16,5,1
0000111111101(bin) = 509(dec),1/16,16,5,1
0000111111110(bin) = 510(dec),1/16,16,5,1
0000111111111(bin) = 511(dec),1/16,16,5,1
0001000000000(bin) = 512(dec),1/16,16,5,1
0001000000001(bin) = 513(dec),1/16,16,5,1
0001000000010(bin) = 514(dec),1/16,16,5,1
0001000000011(bin) = 515(dec),1/16,16,5,1
0001000000100(bin) = 516(dec),1/16,16,5,1
0001000000101(bin) = 517(dec),1/16,16,5,1
0001000001110(bin) = 526(dec),2/31,31,1,11
0001000001111(bin) = 527(dec),2/31,31,1,11
0001000010000(bin) = 528(dec),2/31,31,1,11
0001000010001(bin) = 529(dec),2/31,31,1,11
0001000010010(bin) = 530(dec),2/31,31,1,11
0001000010011(bin) = 531(dec),2/31,31,1,11
0001000101001(bin) = 553(dec),3/44,44,1,5
0001000101010(bin) = 554(dec),3/44,44,1,5
0001000101011(bin) = 555(dec),3/44,44,1,5
0001000101100(bin) = 556(dec),3/44,44,1,5
0001000101101(bin) = 557(dec),3/44,44,1,5
0001000101110(bin) = 558(dec),3/44,44,1,5
0001000101111(bin) = 559(dec),3/44,44,1,5
0001000110000(bin) = 560(dec),3/44,44,1,5
0001000110001(bin) = 561(dec),3/44,44,1,5
0001000110010(bin) = 562(dec),2/29,29,1,5
0001000110011(bin) = 563(dec),2/29,29,1,5
0001000110100(bin) = 564(dec),2/29,29,1,5
0001000110101(bin) = 565(dec),2/29,29,1,5
0001000110110(bin) = 566(dec),2/29,29,1,5
0001000110111(bin) = 567(dec),2/29,29,1,5
0001000111000(bin) = 568(dec),2/29,29,1,5
0001001101001(bin) = 617(dec),4/53,53,1,5
0001001101010(bin) = 618(dec),4/53,53,1,5
0001001101011(bin) = 619(dec),4/53,53,1,5
0001001101100(bin) = 620(dec),4/53,53,1,5
0001001101101(bin) = 621(dec),4/53,53,1,5
0001001101110(bin) = 622(dec),4/53,53,1,5
0001001101111(bin) = 623(dec),4/53,53,1,5
0001001110000(bin) = 624(dec),4/53,53,1,5
0001001110001(bin) = 625(dec),1/13,13,1,5
0001001110010(bin) = 626(dec),1/13,13,1,5
0001001110011(bin) = 627(dec),1/13,13,1,5
0001001110100(bin) = 628(dec),1/13,13,1,5
0001001110101(bin) = 629(dec),1/13,13,1,5
0001001110110(bin) = 630(dec),1/13,13,1,5
0001001110111(bin) = 631(dec),1/13,13,1,5
