Register Output,Fraction,Guess for r,guess1,guess2
1101000000010(bin) = 6658(dec),13/16,16,5,1
0110011000101(bin) = 3269(dec),2/5,5,1,5
1110011001000(bin) = 7368(dec),9/10,10,1,11
1011001111110(bin) = 5758(dec),26/37,37,1,5
0100110100100(bin) = 2468(dec),16/53,53,1,5
0111001110101(bin) = 3701(dec),14/31,31,1,11
1100110010000(bin) = 6544(dec),4/5,5,1,5
0001100101101(bin) = 813(dec),1/10,10,1,11
0111001010111(bin) = 3671(dec),13/29,29,1,5
1100101100011(bin) = 6499(dec),23/29,29,1,5
0110011001001(bin) = 3273(dec),2/5,5,1,5
0100110010101(bin) = 2453(dec),3/10,10,1,11
1100110001100(bin) = 6540(dec),4/5,5,1,5
0100110010100(bin) = 2452(dec),3/10,10,1,11
1111010111101(bin) = 7869(dec),49/51,51,1,11
1110011001001(bin) = 7369(dec),9/10,10,1,11
1110010111100(bin) = 7356(dec),44/49,49,5,1
0110010111101(bin) = 3261(dec),21/53,53,1,5
1100111001011(bin) = 6603(dec),25/31,31,1,11
1110011010000(bin) = 7376(dec),9/10,10,1,11
0110011010011(bin) = 3283(dec),2/5,5,1,5
0011001010101(bin) = 1621(dec),10/51,51,1,11
1110011010100(bin) = 7380(dec),9/10,10,1,11
0001010011100(bin) = 668(dec),4/49,49,5,1
0001100101110(bin) = 814(dec),1/10,10,1,11
0101011010101(bin) = 2773(dec),18/53,53,1,5
0110011001111(bin) = 3279(dec),2/5,5,1,5
1011001101100(bin) = 5740(dec),7/10,10,1,11
1011001101101(bin) = 5741(dec),7/10,10,1,11
1001100110000(bin) = 4912(dec),3/5,5,1,5
1111001111100(bin) = 7804(dec),20/21,21,11,5
0111001110110(bin) = 3702(dec),14/31,31,1,11
1111000110001(bin) = 7729(dec),50/53,53,1,5
1000110100011(bin) = 4515(dec),27/49,49,5,1
0100110010011(bin) = 2451(dec),3/10,10,1,11
0011001101111(bin) = 1647(dec),1/5,5,1,5
1001100101101(bin) = 4909(dec),3/5,5,1,5
0110011001000(bin) = 3272(dec),2/5,5,1,5
0111001101111(bin) = 3695(dec),23/51,51,1,11
1100110010011(bin) = 6547(dec),4/5,5,1,5
1001101101101(bin) = 4973(dec),17/28,28,1,5
1100110010010(bin) = 6546(dec),4/5,5,1,5
1110011000111(bin) = 7367(dec),9/10,10,1,11
1011001101111(bin) = 5743(dec),7/10,10,1,11
1100110010100(bin) = 6548(dec),4/5,5,1,5
0011001110101(bin) = 1653(dec),1/5,5,1,5
0011001011100(bin) = 1628(dec),1/5,5,1,5
0100110101010(bin) = 2474(dec),16/53,53,1,5
1000110010010(bin) = 4498(dec),28/51,51,1,11
1000110010111(bin) = 4503(dec),11/20,20,11,5
0111001100010(bin) = 3682(dec),22/49,49,5,1
1000110000011(bin) = 4483(dec),29/53,53,1,5
0000111001100(bin) = 460(dec),3/53,53,1,5
0010011010001(bin) = 1233(dec),8/53,53,1,5
1100110001110(bin) = 6542(dec),4/5,5,1,5
1001100101111(bin) = 4911(dec),3/5,5,1,5
1000110100100(bin) = 4516(dec),27/49,49,5,1
1001100110001(bin) = 4913(dec),3/5,5,1,5
1100110100100(bin) = 6564(dec),4/5,5,1,5
0111001110010(bin) = 3698(dec),14/31,31,1,11
0000110010101(bin) = 405(dec),1/20,20,11,5
0010011010100(bin) = 1236(dec),8/53,53,1,5
0111010000001(bin) = 3713(dec),24/53,53,1,5
1101100101111(bin) = 6959(dec),45/53,53,1,5
1100110011101(bin) = 6557(dec),4/5,5,1,5
0110011010001(bin) = 3281(dec),2/5,5,1,5
1010011000011(bin) = 5315(dec),24/37,37,1,5
0111001100011(bin) = 3683(dec),9/20,20,11,5
1100111010011(bin) = 6611(dec),25/31,31,1,11
1000110010101(bin) = 4501(dec),28/51,51,1,11
0111001011000(bin) = 3672(dec),13/29,29,1,5
0011010100110(bin) = 1702(dec),11/53,53,1,5
1110011010110(bin) = 7382(dec),46/51,51,1,11
1001100010111(bin) = 4887(dec),31/52,52,1,5
0101100111111(bin) = 2879(dec),13/37,37,1,5
1100110011011(bin) = 6555(dec),4/5,5,1,5
1010100000001(bin) = 5377(dec),21/32,32,5,1
0001100110000(bin) = 816(dec),1/10,10,1,11
0001100111000(bin) = 824(dec),1/10,10,1,11
0100110011100(bin) = 2460(dec),3/10,10,1,11
1110011001011(bin) = 7371(dec),9/10,10,1,11
0101100110101(bin) = 2869(dec),7/20,20,11,5
0101101001000(bin) = 2888(dec),6/17,17,5,1
1000110011100(bin) = 4508(dec),11/20,20,11,5
0110011001011(bin) = 3275(dec),2/5,5,1,5
1011001100011(bin) = 5731(dec),7/10,10,1,11
1100110010111(bin) = 6551(dec),4/5,5,1,5
1011001100001(bin) = 5729(dec),7/10,10,1,11
1110011101010(bin) = 7402(dec),47/52,52,1,5
1101100110010(bin) = 6962(dec),17/20,20,11,5
0011001101110(bin) = 1646(dec),1/5,5,1,5
0101100110111(bin) = 2871(dec),7/20,20,11,5
1010011001111(bin) = 5327(dec),13/20,20,11,5
1111001100010(bin) = 7778(dec),19/20,20,11,5
1010011001001(bin) = 5321(dec),13/20,20,11,5
1100110100011(bin) = 6563(dec),4/5,5,1,5
1001100110011(bin) = 4915(dec),3/5,5,1,5
1011001100010(bin) = 5730(dec),7/10,10,1,11
1011001101011(bin) = 5739(dec),7/10,10,1,11
0011001101001(bin) = 1641(dec),1/5,5,1,5
0001100110101(bin) = 821(dec),1/10,10,1,11
0011001011110(bin) = 1630(dec),1/5,5,1,5
1000110001100(bin) = 4492(dec),17/31,31,1,11
1011001101001(bin) = 5737(dec),7/10,10,1,11
0011010101011(bin) = 1707(dec),5/24,24,5,1
0110011100000(bin) = 3296(dec),21/52,52,1,5
0000101001101(bin) = 333(dec),2/49,49,5,1
1001100110101(bin) = 4917(dec),3/5,5,1,5
1101100110001(bin) = 6961(dec),17/20,20,11,5
0101100110110(bin) = 2870(dec),7/20,20,11,5
0010001011000(bin) = 1112(dec),5/37,37,1,5
1101100110011(bin) = 6963(dec),17/20,20,11,5
0010011001010(bin) = 1226(dec),3/20,20,11,5
1000110010011(bin) = 4499(dec),28/51,51,1,11
1101100110101(bin) = 6965(dec),17/20,20,11,5
1110010111101(bin) = 7357(dec),44/49,49,5,1
1010011000111(bin) = 5319(dec),24/37,37,1,5
0010011001011(bin) = 1227(dec),3/20,20,11,5
0011001101100(bin) = 1644(dec),1/5,5,1,5
0111000111101(bin) = 3645(dec),4/9,9,5,1
0101100110001(bin) = 2865(dec),7/20,20,11,5
1100110011111(bin) = 6559(dec),4/5,5,1,5
0111001101100(bin) = 3692(dec),23/51,51,1,11
1100110001101(bin) = 6541(dec),4/5,5,1,5
1100110010001(bin) = 6545(dec),4/5,5,1,5
0100110011111(bin) = 2463(dec),3/10,10,1,11
0110011001110(bin) = 3278(dec),2/5,5,1,5
0010011001111(bin) = 1231(dec),3/20,20,11,5
0001100110001(bin) = 817(dec),1/10,10,1,11
0011001101011(bin) = 1643(dec),1/5,5,1,5
0111001101010(bin) = 3690(dec),9/20,20,11,5
0011001101010(bin) = 1642(dec),1/5,5,1,5
1111001111001(bin) = 7801(dec),20/21,21,11,5
0011001100100(bin) = 1636(dec),1/5,5,1,5
1011001001001(bin) = 5705(dec),23/33,33,5,1
0111001011111(bin) = 3679(dec),22/49,49,5,1
0000110011100(bin) = 412(dec),1/20,20,11,5
0000101010010(bin) = 338(dec),1/24,24,5,1
0011001101101(bin) = 1645(dec),1/5,5,1,5
0000100001000(bin) = 264(dec),1/31,31,1,11
1001100011100(bin) = 4892(dec),31/52,52,1,5
1111001101010(bin) = 7786(dec),19/20,20,11,5
0100110010111(bin) = 2455(dec),3/10,10,1,11
1001100111000(bin) = 4920(dec),3/5,5,1,5
0011001100010(bin) = 1634(dec),1/5,5,1,5
1010011001011(bin) = 5323(dec),13/20,20,11,5
1110011000110(bin) = 7366(dec),9/10,10,1,11
0101100111010(bin) = 2874(dec),13/37,37,1,5
0011001100000(bin) = 1632(dec),1/5,5,1,5
0111010000100(bin) = 3716(dec),24/53,53,1,5
0010011011000(bin) = 1240(dec),5/33,33,5,1
0001100101100(bin) = 812(dec),1/10,10,1,11
1110011001100(bin) = 7372(dec),9/10,10,1,11
1001100101100(bin) = 4908(dec),3/5,5,1,5
1000110011000(bin) = 4504(dec),11/20,20,11,5
1000110010110(bin) = 4502(dec),11/20,20,11,5
1101011111110(bin) = 6910(dec),27/32,32,5,1
0000110011110(bin) = 414(dec),1/20,20,11,5
1001100101001(bin) = 4905(dec),3/5,5,1,5
1011001011100(bin) = 5724(dec),37/53,53,1,5
1000110100010(bin) = 4514(dec),27/49,49,5,1
0111001100101(bin) = 3685(dec),9/20,20,11,5
1000110010100(bin) = 4500(dec),28/51,51,1,11
0111001011101(bin) = 3677(dec),22/49,49,5,1
0100110011101(bin) = 2461(dec),3/10,10,1,11
0000110011011(bin) = 411(dec),1/20,20,11,5
0000110010111(bin) = 407(dec),1/20,20,11,5
0111001101000(bin) = 3688(dec),9/20,20,11,5
0000110011101(bin) = 413(dec),1/20,20,11,5
0100110011010(bin) = 2458(dec),3/10,10,1,11
1111001101001(bin) = 7785(dec),19/20,20,11,5
0100000000100(bin) = 2052(dec),1/4,4,1,5
1011001100111(bin) = 5735(dec),7/10,10,1,11
0010011010010(bin) = 1234(dec),8/53,53,1,5
1100110011100(bin) = 6556(dec),4/5,5,1,5
1110011000100(bin) = 7364(dec),44/49,49,5,1
1001100101010(bin) = 4906(dec),3/5,5,1,5
1000110011101(bin) = 4509(dec),11/20,20,11,5
1000110011111(bin) = 4511(dec),27/49,49,5,1
0100000000000(bin) = 2048(dec),1/4,4,1,5
1000110000000(bin) = 4480(dec),29/53,53,1,5
1000110011110(bin) = 4510(dec),27/49,49,5,1
0001100111010(bin) = 826(dec),1/10,10,1,11
0110011001100(bin) = 3276(dec),2/5,5,1,5
1011001101010(bin) = 5738(dec),7/10,10,1,11
1111001101000(bin) = 7784(dec),19/20,20,11,5
0100110011110(bin) = 2462(dec),3/10,10,1,11
1101100110000(bin) = 6960(dec),17/20,20,11,5
0001100110100(bin) = 820(dec),1/10,10,1,11
0001100110110(bin) = 822(dec),1/10,10,1,11
0100110010001(bin) = 2449(dec),3/10,10,1,11
0111001101011(bin) = 3691(dec),23/51,51,1,11
0011001100001(bin) = 1633(dec),1/5,5,1,5
0111001100001(bin) = 3681(dec),22/49,49,5,1
1011010010100(bin) = 5780(dec),12/17,17,5,1
1010011001010(bin) = 5322(dec),13/20,20,11,5
1000101110011(bin) = 4467(dec),6/11,11,1,11
0101100110000(bin) = 2864(dec),7/20,20,11,5
1111001100101(bin) = 7781(dec),19/20,20,11,5
0111001101001(bin) = 3689(dec),9/20,20,11,5
1111001100011(bin) = 7779(dec),19/20,20,11,5
0000110010110(bin) = 406(dec),1/20,20,11,5
0001100101111(bin) = 815(dec),1/10,10,1,11
0111001100100(bin) = 3684(dec),9/20,20,11,5
0011001110001(bin) = 1649(dec),1/5,5,1,5
1100000000000(bin) = 6144(dec),3/4,4,1,5
1011001100101(bin) = 5733(dec),7/10,10,1,11
0100110011011(bin) = 2459(dec),3/10,10,1,11
1100110100111(bin) = 6567(dec),4/5,5,1,5
0010011001100(bin) = 1228(dec),3/20,20,11,5
1000110101010(bin) = 4522(dec),16/29,29,1,5
1010011001110(bin) = 5326(dec),13/20,20,11,5
0100110100010(bin) = 2466(dec),16/53,53,1,5
1111001101011(bin) = 7787(dec),19/20,20,11,5
1110011010011(bin) = 7379(dec),9/10,10,1,11
0010011001110(bin) = 1230(dec),3/20,20,11,5
1010011001101(bin) = 5325(dec),13/20,20,11,5
1101100100111(bin) = 6951(dec),28/33,33,5,1
1000110011011(bin) = 4507(dec),11/20,20,11,5
1110011001110(bin) = 7374(dec),9/10,10,1,11
1011001101000(bin) = 5736(dec),7/10,10,1,11
0001100111001(bin) = 825(dec),1/10,10,1,11
1110010111111(bin) = 7359(dec),44/49,49,5,1
1011001100000(bin) = 5728(dec),7/10,10,1,11
1111001100111(bin) = 7783(dec),19/20,20,11,5
1100110011110(bin) = 6558(dec),4/5,5,1,5
1100110100110(bin) = 6566(dec),4/5,5,1,5
1110011001111(bin) = 7375(dec),9/10,10,1,11
1011001100100(bin) = 5732(dec),7/10,10,1,11
1000110011010(bin) = 4506(dec),11/20,20,11,5
1100110011000(bin) = 6552(dec),4/5,5,1,5
0101101011000(bin) = 2904(dec),17/48,48,5,1
1000110011001(bin) = 4505(dec),11/20,20,11,5
0010011010000(bin) = 1232(dec),3/20,20,11,5
0000110011001(bin) = 409(dec),1/20,20,11,5
0100110110000(bin) = 2480(dec),10/33,33,5,1
0100110011000(bin) = 2456(dec),3/10,10,1,11
0011001100110(bin) = 1638(dec),1/5,5,1,5
0001100110010(bin) = 818(dec),1/10,10,1,11
1000111000111(bin) = 4551(dec),5/9,9,5,1
1111001100100(bin) = 7780(dec),19/20,20,11,5
1101100110111(bin) = 6967(dec),17/20,20,11,5
0111001100111(bin) = 3687(dec),9/20,20,11,5
1010011001000(bin) = 5320(dec),13/20,20,11,5
1100110101011(bin) = 6571(dec),41/51,51,1,11
0011001100101(bin) = 1637(dec),1/5,5,1,5
1101100101101(bin) = 6957(dec),45/53,53,1,5
0110011010000(bin) = 3280(dec),2/5,5,1,5
0000110011010(bin) = 410(dec),1/20,20,11,5
1010011010001(bin) = 5329(dec),13/20,20,11,5
0111010001001(bin) = 3721(dec),5/11,11,1,11
1000110010001(bin) = 4497(dec),28/51,51,1,11
0110011010010(bin) = 3282(dec),2/5,5,1,5
0000110111001(bin) = 441(dec),2/37,37,1,5
0101100110010(bin) = 2866(dec),7/20,20,11,5
0101100110100(bin) = 2868(dec),7/20,20,11,5
0111001100110(bin) = 3686(dec),9/20,20,11,5
0100110011001(bin) = 2457(dec),3/10,10,1,11
0010011001101(bin) = 1229(dec),3/20,20,11,5
1011001011010(bin) = 5722(dec),37/53,53,1,5
0011001100011(bin) = 1635(dec),1/5,5,1,5
0000110011000(bin) = 408(dec),1/20,20,11,5
1100110011010(bin) = 6554(dec),4/5,5,1,5
1100110010110(bin) = 6550(dec),4/5,5,1,5
1100110011001(bin) = 6553(dec),4/5,5,1,5
1010011010000(bin) = 5328(dec),13/20,20,11,5
1100110100010(bin) = 6562(dec),4/5,5,1,5
1011001100110(bin) = 5734(dec),7/10,10,1,11
0101100111000(bin) = 2872(dec),7/20,20,11,5
1101100110100(bin) = 6964(dec),17/20,20,11,5
0001100110111(bin) = 823(dec),1/10,10,1,11
0011001101000(bin) = 1640(dec),1/5,5,1,5
0111010111000(bin) = 3768(dec),23/50,50,1,11
