Register Output,Fraction,Guess for r,guess1,guess2
111101011(bin) = 491(dec),47/49,49,5,1
110011111(bin) = 415(dec),30/37,37,1,5
100110111(bin) = 311(dec),17/28,28,1,5
010110110(bin) = 182(dec),16/45,45,1,5
111001100(bin) = 460(dec),44/49,49,5,1
110111000(bin) = 440(dec),43/50,50,1,11
011010000(bin) = 208(dec),13/32,32,5,1
111011001(bin) = 473(dec),49/53,53,1,5
101000101(bin) = 325(dec),33/52,52,1,5
101011100(bin) = 348(dec),17/25,25,5,1
100000111(bin) = 263(dec),19/37,37,1,5
111000010(bin) = 450(dec),29/33,33,5,1
010101110(bin) = 174(dec),17/50,50,1,11
100010111(bin) = 279(dec),6/11,11,1,11
111010000(bin) = 464(dec),29/32,32,5,1
001101010(bin) = 106(dec),6/29,29,1,5
001110100(bin) = 116(dec),12/53,53,1,5
001101111(bin) = 111(dec),8/37,37,1,5
110011101(bin) = 413(dec),25/31,31,1,11
000100000(bin) =  32(dec),1/16,16,5,1
011111000(bin) = 248(dec),16/33,33,5,1
011100011(bin) = 227(dec),23/52,52,1,5
101000110(bin) = 326(dec),7/11,11,1,11
101100011(bin) = 355(dec),34/49,49,5,1
011001110(bin) = 206(dec),21/52,52,1,5
000100111(bin) =  39(dec),4/53,53,1,5
101100000(bin) = 352(dec),11/16,16,5,1
100110011(bin) = 307(dec),3/5,5,1,5
001001101(bin) =  77(dec),3/20,20,11,5
001100011(bin) =  99(dec),6/31,31,1,11
011110100(bin) = 244(dec),10/21,21,11,5
111101111(bin) = 495(dec),29/30,30,1,11
000110001(bin) =  49(dec),5/52,52,1,5
001100101(bin) = 101(dec),10/51,51,1,11
010110000(bin) = 176(dec),11/32,32,5,1
000010111(bin) =  23(dec),2/45,45,1,5
101001100(bin) = 332(dec),24/37,37,1,5
101010000(bin) = 336(dec),21/32,32,5,1
010010111(bin) = 151(dec),13/44,44,1,5
000111001(bin) =  57(dec),1/9,9,5,1
000010101(bin) =  21(dec),2/49,49,5,1
101001101(bin) = 333(dec),13/20,20,11,5
000101001(bin) =  41(dec),2/25,25,5,1
001001111(bin) =  79(dec),2/13,13,1,5
100111101(bin) = 317(dec),13/21,21,11,5
001100111(bin) = 103(dec),1/5,5,1,5
010110100(bin) = 180(dec),13/37,37,1,5
000101010(bin) =  42(dec),4/49,49,5,1
000011110(bin) =  30(dec),1/17,17,5,1
011010001(bin) = 209(dec),20/49,49,5,1
010011000(bin) = 152(dec),11/37,37,1,5
000110101(bin) =  53(dec),3/29,29,1,5
001010010(bin) =  82(dec),4/25,25,5,1
100110101(bin) = 309(dec),32/53,53,1,5
100010100(bin) = 276(dec),7/13,13,1,5
101101111(bin) = 367(dec),38/53,53,1,5
111101001(bin) = 489(dec),43/45,45,1,5
011100100(bin) = 228(dec),4/9,9,5,1
110110000(bin) = 432(dec),27/32,32,5,1
100011100(bin) = 284(dec),5/9,9,5,1
110110001(bin) = 433(dec),11/13,13,1,5
010011101(bin) = 157(dec),15/49,49,5,1
000010100(bin) =  20(dec),2/51,51,1,11
001011110(bin) =  94(dec),9/49,49,5,1
000111010(bin) =  58(dec),6/53,53,1,5
111100000(bin) = 480(dec),15/16,16,5,1
011100111(bin) = 231(dec),23/51,51,1,11
110011011(bin) = 411(dec),41/51,51,1,11
011000101(bin) = 197(dec),5/13,13,1,5
110000000(bin) = 384(dec),3/4,4,1,5
100011101(bin) = 285(dec),29/52,52,1,5
011001101(bin) = 205(dec),2/5,5,1,5
010110011(bin) = 179(dec),7/20,20,11,5
101100110(bin) = 358(dec),7/10,10,1,11
001100110(bin) = 102(dec),1/5,5,1,5
001110010(bin) = 114(dec),2/9,9,5,1
100111010(bin) = 314(dec),27/44,44,1,5
001001000(bin) =  72(dec),7/50,50,1,11
110101001(bin) = 425(dec),44/53,53,1,5
000110100(bin) =  52(dec),5/49,49,5,1
000110111(bin) =  55(dec),3/28,28,1,5
000110011(bin) =  51(dec),1/10,10,1,11
110011010(bin) = 410(dec),4/5,5,1,5
100011010(bin) = 282(dec),27/49,49,5,1
000011101(bin) =  29(dec),3/53,53,1,5
001100000(bin) =  96(dec),3/16,16,5,1
011101001(bin) = 233(dec),5/11,11,1,11
011101000(bin) = 232(dec),24/53,53,1,5
010000000(bin) = 128(dec),1/4,4,1,5
010011011(bin) = 155(dec),10/33,33,5,1
100100000(bin) = 288(dec),9/16,16,5,1
110100101(bin) = 421(dec),37/45,45,1,5
011101011(bin) = 235(dec),17/37,37,1,5
101100101(bin) = 357(dec),23/33,33,5,1
111001111(bin) = 463(dec),47/52,52,1,5
010011010(bin) = 154(dec),3/10,10,1,11
010010011(bin) = 147(dec),15/52,52,1,5
110011001(bin) = 409(dec),4/5,5,1,5
011001011(bin) = 203(dec),21/53,53,1,5
011001100(bin) = 204(dec),2/5,5,1,5
100011000(bin) = 280(dec),29/53,53,1,5
111001101(bin) = 461(dec),9/10,10,1,11
100101101(bin) = 301(dec),10/17,17,5,1
100100010(bin) = 290(dec),17/30,30,1,11
011100110(bin) = 230(dec),22/49,49,5,1
110110011(bin) = 435(dec),17/20,20,11,5
100110010(bin) = 306(dec),31/52,52,1,5
111001011(bin) = 459(dec),26/29,29,1,5
100011001(bin) = 281(dec),28/51,51,1,11
010010100(bin) = 148(dec),13/45,45,1,5
101101000(bin) = 360(dec),26/37,37,1,5
000111110(bin) =  62(dec),4/33,33,5,1
101001010(bin) = 330(dec),29/45,45,1,5
100110100(bin) = 308(dec),3/5,5,1,5
111100001(bin) = 481(dec),31/33,33,5,1
110101110(bin) = 430(dec),21/25,25,5,1
000001010(bin) =  10(dec),1/51,51,1,11
000001110(bin) =  14(dec),1/37,37,1,5
000010001(bin) =  17(dec),1/30,30,1,11
000100011(bin) =  35(dec),3/44,44,1,5
000101110(bin) =  46(dec),4/45,45,1,5
000111100(bin) =  60(dec),2/17,17,5,1
000111111(bin) =  63(dec),6/49,49,5,1
001000010(bin) =  66(dec),4/31,31,1,11
001000101(bin) =  69(dec),7/52,52,1,5
001000111(bin) =  71(dec),5/36,36,1,5
001010111(bin) =  87(dec),9/53,53,1,5
001011011(bin) =  91(dec),8/45,45,1,5
001011101(bin) =  93(dec),2/11,11,1,11
001110000(bin) = 112(dec),7/32,32,5,1
001110001(bin) = 113(dec),11/50,50,1,11
001110011(bin) = 115(dec),11/49,49,5,1
001110110(bin) = 118(dec),3/13,13,1,5
001111010(bin) = 122(dec),5/21,21,11,5
001111011(bin) = 123(dec),6/25,25,5,1
001111100(bin) = 124(dec),8/33,33,5,1
001111110(bin) = 126(dec),13/53,53,1,5
001111111(bin) = 127(dec),1/4,4,1,5
010000001(bin) = 129(dec),1/4,4,1,5
010000100(bin) = 132(dec),8/31,31,1,11
010000101(bin) = 133(dec),13/50,50,1,11
010000111(bin) = 135(dec),14/53,53,1,5
010001000(bin) = 136(dec),13/49,49,5,1
010001011(bin) = 139(dec),13/48,48,5,1
010001100(bin) = 140(dec),3/11,11,1,11
010010000(bin) = 144(dec),9/32,32,5,1
010100100(bin) = 164(dec),8/25,25,5,1
010100101(bin) = 165(dec),10/31,31,1,11
010101101(bin) = 173(dec),18/53,53,1,5
010111001(bin) = 185(dec),13/36,36,1,5
010111010(bin) = 186(dec),4/11,11,1,11
010111100(bin) = 188(dec),18/49,49,5,1
010111111(bin) = 191(dec),19/51,51,1,11
011000001(bin) = 193(dec),20/53,53,1,5
011000010(bin) = 194(dec),11/29,29,1,5
011000011(bin) = 195(dec),8/21,21,11,5
011000110(bin) = 198(dec),17/44,44,1,5
011001001(bin) = 201(dec),11/28,28,1,5
011010011(bin) = 211(dec),7/17,17,5,1
011010101(bin) = 213(dec),5/12,12,1,5
011011000(bin) = 216(dec),19/45,45,1,5
011011001(bin) = 217(dec),14/33,33,5,1
011011101(bin) = 221(dec),19/44,44,1,5
011011110(bin) = 222(dec),13/30,30,1,11
011100000(bin) = 224(dec),7/16,16,5,1
011110000(bin) = 240(dec),15/32,32,5,1
011110110(bin) = 246(dec),25/52,52,1,5
011110111(bin) = 247(dec),14/29,29,1,5
011111001(bin) = 249(dec),18/37,37,1,5
011111011(bin) = 251(dec),25/51,51,1,11
100000101(bin) = 261(dec),26/51,51,1,11
100001000(bin) = 264(dec),17/33,33,5,1
100001001(bin) = 265(dec),15/29,29,1,5
100001010(bin) = 266(dec),27/52,52,1,5
100001100(bin) = 268(dec),11/21,21,11,5
100101000(bin) = 296(dec),26/45,45,1,5
100101001(bin) = 297(dec),29/50,50,1,11
100101011(bin) = 299(dec),7/12,12,1,5
100101111(bin) = 303(dec),29/49,49,5,1
100111011(bin) = 315(dec),8/13,13,1,5
100111111(bin) = 319(dec),33/53,53,1,5
101000001(bin) = 321(dec),32/51,51,1,11
101000100(bin) = 324(dec),31/49,49,5,1
101010010(bin) = 338(dec),33/50,50,1,11
101010011(bin) = 339(dec),35/53,53,1,5
101011010(bin) = 346(dec),25/37,37,1,5
101011011(bin) = 347(dec),21/31,31,1,11
101100001(bin) = 353(dec),20/29,29,1,5
101101100(bin) = 364(dec),32/45,45,1,5
101101101(bin) = 365(dec),37/52,52,1,5
101110000(bin) = 368(dec),23/32,32,5,1
101110100(bin) = 372(dec),8/11,11,1,11
101111000(bin) = 376(dec),36/49,49,5,1
101111001(bin) = 377(dec),39/53,53,1,5
101111011(bin) = 379(dec),37/50,50,1,11
101111111(bin) = 383(dec),3/4,4,1,5
110000001(bin) = 385(dec),3/4,4,1,5
110000010(bin) = 386(dec),40/53,53,1,5
110000100(bin) = 388(dec),25/33,33,5,1
110000101(bin) = 389(dec),19/25,25,5,1
110000110(bin) = 390(dec),16/21,21,11,5
110001010(bin) = 394(dec),10/13,13,1,5
110001101(bin) = 397(dec),38/49,49,5,1
110001110(bin) = 398(dec),7/9,9,5,1
110001111(bin) = 399(dec),39/50,50,1,11
110010000(bin) = 400(dec),25/32,32,5,1
110100000(bin) = 416(dec),13/16,16,5,1
110100010(bin) = 418(dec),40/49,49,5,1
110100110(bin) = 422(dec),14/17,17,5,1
110111011(bin) = 443(dec),45/52,52,1,5
110111110(bin) = 446(dec),27/31,31,1,11
111000001(bin) = 449(dec),43/49,49,5,1
111000100(bin) = 452(dec),15/17,17,5,1
111000110(bin) = 454(dec),47/53,53,1,5
111010101(bin) = 469(dec),11/12,12,1,5
111010110(bin) = 470(dec),45/49,49,5,1
111010111(bin) = 471(dec),23/25,25,5,1
111011000(bin) = 472(dec),47/51,51,1,11
111011101(bin) = 477(dec),41/44,44,1,5
111011111(bin) = 479(dec),29/31,31,1,11
111110010(bin) = 498(dec),36/37,37,1,5
