Register Output,Fraction,Guess for r,guess1,guess2
110111001(bin) = 441(dec),31/36,36,1,5
110010001(bin) = 401(dec),29/37,37,1,5
100101100(bin) = 300(dec),17/29,29,1,5
111000000(bin) = 448(dec),7/8,8,5,1
000010010(bin) =  18(dec),1/28,28,1,5
001100001(bin) =  97(dec),7/37,37,1,5
011110001(bin) = 241(dec),8/17,17,5,1
000011111(bin) =  31(dec),2/33,33,5,1
001010011(bin) =  83(dec),6/37,37,1,5
011010111(bin) = 215(dec),21/50,50,1,11
101000111(bin) = 327(dec),23/36,36,1,5
100111110(bin) = 318(dec),18/29,29,1,5
010011111(bin) = 159(dec),9/29,29,1,5
000101000(bin) =  40(dec),4/51,51,1,11
100100111(bin) = 295(dec),19/33,33,5,1
101111100(bin) = 380(dec),23/31,31,1,11
111110000(bin) = 496(dec),31/32,32,5,1
000101011(bin) =  43(dec),1/12,12,1,5
011000000(bin) = 192(dec),3/8,8,5,1
111100010(bin) = 482(dec),16/17,17,5,1
001011010(bin) =  90(dec),3/17,17,5,1
001000000(bin) =  64(dec),1/8,8,5,1
001010000(bin) =  80(dec),5/32,32,5,1
111110110(bin) = 502(dec),50/51,51,1,11
111101110(bin) = 494(dec),27/28,28,1,5
110100011(bin) = 419(dec),9/11,11,1,11
100010000(bin) = 272(dec),17/32,32,5,1
110001100(bin) = 396(dec),41/53,53,1,5
111001001(bin) = 457(dec),25/28,28,1,5
100100011(bin) = 291(dec),25/44,44,1,5
111101100(bin) = 492(dec),49/51,51,1,11
010111011(bin) = 187(dec),19/52,52,1,5
110010110(bin) = 406(dec),23/29,29,1,5
100001111(bin) = 271(dec),9/17,17,5,1
111000111(bin) = 455(dec),8/9,9,5,1
110101101(bin) = 429(dec),31/37,37,1,5
000010000(bin) =  16(dec),1/32,32,5,1
011101100(bin) = 236(dec),6/13,13,1,5
101001011(bin) = 331(dec),11/17,17,5,1
111010010(bin) = 466(dec),41/45,45,1,5
100010101(bin) = 277(dec),20/37,37,1,5
111100011(bin) = 483(dec),50/53,53,1,5
011010100(bin) = 212(dec),12/29,29,1,5
101000000(bin) = 320(dec),5/8,8,5,1
010110101(bin) = 181(dec),6/17,17,5,1
010100110(bin) = 166(dec),12/37,37,1,5
101110101(bin) = 373(dec),35/48,48,5,1
000110000(bin) =  48(dec),3/32,32,5,1
100110000(bin) = 304(dec),19/32,32,5,1
000100001(bin) =  33(dec),2/31,31,1,11
010100000(bin) = 160(dec),5/16,16,5,1
101101001(bin) = 361(dec),31/44,44,1,5
010010001(bin) = 145(dec),15/53,53,1,5
