Register Output,Fraction,Guess for r,guess1,guess2
01100(bin) =  12(dec),3/8,8,5,1
10001(bin) =  17(dec),17/32,32,5,1
00100(bin) =   4(dec),1/8,8,5,1
01001(bin) =   9(dec),9/32,32,5,1
11111(bin) =  31(dec),31/32,32,5,1
11100(bin) =  28(dec),7/8,8,5,1
10010(bin) =  18(dec),9/16,16,5,1
00101(bin) =   5(dec),5/32,32,5,1
10101(bin) =  21(dec),21/32,32,5,1
10100(bin) =  20(dec),5/8,8,5,1
00111(bin) =   7(dec),7/32,32,5,1
11110(bin) =  30(dec),15/16,16,5,1
11000(bin) =  24(dec),3/4,4,1,5
01000(bin) =   8(dec),1/4,4,1,5
00001(bin) =   1(dec),1/32,32,5,1
11010(bin) =  26(dec),13/16,16,5,1
01011(bin) =  11(dec),11/32,32,5,1
10110(bin) =  22(dec),11/16,16,5,1
11101(bin) =  29(dec),29/32,32,5,1
00110(bin) =   6(dec),3/16,16,5,1
11001(bin) =  25(dec),25/32,32,5,1
11011(bin) =  27(dec),27/32,32,5,1
01010(bin) =  10(dec),5/16,16,5,1
00010(bin) =   2(dec),1/16,16,5,1
01111(bin) =  15(dec),15/32,32,5,1
10111(bin) =  23(dec),23/32,32,5,1
01101(bin) =  13(dec),13/32,32,5,1
01110(bin) =  14(dec),7/16,16,5,1
10011(bin) =  19(dec),19/32,32,5,1
00011(bin) =   3(dec),3/32,32,5,1
