Register Output,Fraction,Guess for r,guess1,guess2
1010(bin) =  10(dec),5/8,8,5,1
0110(bin) =   6(dec),3/8,8,5,1
1111(bin) =  15(dec),15/16,16,5,1
1101(bin) =  13(dec),13/16,16,5,1
0111(bin) =   7(dec),7/16,16,5,1
0011(bin) =   3(dec),3/16,16,5,1
0001(bin) =   1(dec),1/16,16,5,1
1100(bin) =  12(dec),3/4,4,1,5
0100(bin) =   4(dec),1/4,4,1,5
1001(bin) =   9(dec),9/16,16,5,1
1011(bin) =  11(dec),11/16,16,5,1
1110(bin) =  14(dec),7/8,8,5,1
0101(bin) =   5(dec),5/16,16,5,1
0010(bin) =   2(dec),1/8,8,5,1
