Register Output,Fraction,Guess for r,guess1,guess2
00011110(bin) =  30(dec),2/17,17,5,1
00011111(bin) =  31(dec),4/33,33,5,1
00100000(bin) =  32(dec),1/8,8,5,1
00100001(bin) =  33(dec),4/31,31,1,11
00101101(bin) =  45(dec),3/17,17,5,1
00101111(bin) =  47(dec),9/49,49,5,1
00110000(bin) =  48(dec),3/16,16,5,1
00110101(bin) =  53(dec),6/29,29,1,5
00111000(bin) =  56(dec),7/32,32,5,1
00111001(bin) =  57(dec),2/9,9,5,1
00111010(bin) =  58(dec),12/53,53,1,5
00111011(bin) =  59(dec),3/13,13,1,5
00111101(bin) =  61(dec),5/21,21,11,5
00111110(bin) =  62(dec),8/33,33,5,1
00111111(bin) =  63(dec),13/53,53,1,5
01000010(bin) =  66(dec),8/31,31,1,11
01000100(bin) =  68(dec),13/49,49,5,1
01000110(bin) =  70(dec),3/11,11,1,11
01001000(bin) =  72(dec),9/32,32,5,1
01001010(bin) =  74(dec),13/45,45,1,5
01010000(bin) =  80(dec),5/16,16,5,1
01010010(bin) =  82(dec),8/25,25,5,1
01010011(bin) =  83(dec),12/37,37,1,5
01010111(bin) =  87(dec),17/50,50,1,11
01011110(bin) =  94(dec),18/49,49,5,1
01100000(bin) =  96(dec),3/8,8,5,1
01100001(bin) =  97(dec),11/29,29,1,5
01100011(bin) =  99(dec),17/44,44,1,5
01101010(bin) = 106(dec),12/29,29,1,5
01101100(bin) = 108(dec),19/45,45,1,5
01110000(bin) = 112(dec),7/16,16,5,1
01110110(bin) = 118(dec),6/13,13,1,5
01111000(bin) = 120(dec),15/32,32,5,1
01111010(bin) = 122(dec),10/21,21,11,5
01111011(bin) = 123(dec),25/52,52,1,5
01111100(bin) = 124(dec),16/33,33,5,1
10000100(bin) = 132(dec),17/33,33,5,1
10000101(bin) = 133(dec),27/52,52,1,5
10000110(bin) = 134(dec),11/21,21,11,5
10001000(bin) = 136(dec),17/32,32,5,1
10001010(bin) = 138(dec),7/13,13,1,5
10010000(bin) = 144(dec),9/16,16,5,1
10010001(bin) = 145(dec),17/30,30,1,11
10010100(bin) = 148(dec),26/45,45,1,5
10010110(bin) = 150(dec),17/29,29,1,5
10011000(bin) = 152(dec),19/32,32,5,1
10011111(bin) = 159(dec),18/29,29,1,5
10100000(bin) = 160(dec),5/8,8,5,1
10100010(bin) = 162(dec),31/49,49,5,1
10100011(bin) = 163(dec),7/11,11,1,11
10101000(bin) = 168(dec),21/32,32,5,1
10101110(bin) = 174(dec),17/25,25,5,1
10110000(bin) = 176(dec),11/16,16,5,1
10110110(bin) = 182(dec),32/45,45,1,5
10111000(bin) = 184(dec),23/32,32,5,1
10111010(bin) = 186(dec),8/11,11,1,11
10111100(bin) = 188(dec),36/49,49,5,1
10111110(bin) = 190(dec),23/31,31,1,11
11000001(bin) = 193(dec),40/53,53,1,5
11000010(bin) = 194(dec),25/33,33,5,1
11000011(bin) = 195(dec),16/21,21,11,5
11000101(bin) = 197(dec),10/13,13,1,5
11000110(bin) = 198(dec),41/53,53,1,5
11000111(bin) = 199(dec),7/9,9,5,1
11001000(bin) = 200(dec),25/32,32,5,1
11001011(bin) = 203(dec),23/29,29,1,5
11010000(bin) = 208(dec),13/16,16,5,1
11010001(bin) = 209(dec),40/49,49,5,1
11010011(bin) = 211(dec),14/17,17,5,1
11011100(bin) = 220(dec),43/50,50,1,11
11011111(bin) = 223(dec),27/31,31,1,11
11100000(bin) = 224(dec),7/8,8,5,1
11100001(bin) = 225(dec),29/33,33,5,1
11100011(bin) = 227(dec),47/53,53,1,5
11101001(bin) = 233(dec),41/45,45,1,5
11101011(bin) = 235(dec),45/49,49,5,1
11101100(bin) = 236(dec),47/51,51,1,11
11110110(bin) = 246(dec),49/51,51,1,11
11110111(bin) = 247(dec),27/28,28,1,5
11111000(bin) = 248(dec),31/32,32,5,1
11111001(bin) = 249(dec),36/37,37,1,5
11111011(bin) = 251(dec),50/51,51,1,11
