Register Output,Fraction,Guess for r,guess1,guess2
01110011(bin) = 115(dec),22/49,49,5,1
10101001(bin) = 169(dec),33/50,50,1,11
00101000(bin) =  40(dec),5/32,32,5,1
01110010(bin) = 114(dec),4/9,9,5,1
10001110(bin) = 142(dec),5/9,9,5,1
01101111(bin) = 111(dec),13/30,30,1,11
10110100(bin) = 180(dec),26/37,37,1,5
10011001(bin) = 153(dec),31/52,52,1,5
10011010(bin) = 154(dec),3/5,5,1,5
01101000(bin) = 104(dec),13/32,32,5,1
00010111(bin) =  23(dec),4/45,45,1,5
01011101(bin) =  93(dec),4/11,11,1,11
00011000(bin) =  24(dec),3/32,32,5,1
01110100(bin) = 116(dec),24/53,53,1,5
10100101(bin) = 165(dec),29/45,45,1,5
10101101(bin) = 173(dec),25/37,37,1,5
01000000(bin) =  64(dec),1/4,4,1,5
00110011(bin) =  51(dec),1/5,5,1,5
11110001(bin) = 241(dec),16/17,17,5,1
01011000(bin) =  88(dec),11/32,32,5,1
01001100(bin) =  76(dec),11/37,37,1,5
01011011(bin) =  91(dec),16/45,45,1,5
00100100(bin) =  36(dec),7/50,50,1,11
10011101(bin) = 157(dec),27/44,44,1,5
11110000(bin) = 240(dec),15/16,16,5,1
11010111(bin) = 215(dec),21/25,25,5,1
10001101(bin) = 141(dec),27/49,49,5,1
00010101(bin) =  21(dec),4/49,49,5,1
11101000(bin) = 232(dec),29/32,32,5,1
00011010(bin) =  26(dec),5/49,49,5,1
11001101(bin) = 205(dec),4/5,5,1,5
01100110(bin) = 102(dec),2/5,5,1,5
01011010(bin) =  90(dec),13/37,37,1,5
00101001(bin) =  41(dec),4/25,25,5,1
01001101(bin) =  77(dec),3/10,10,1,11
11100010(bin) = 226(dec),15/17,17,5,1
10100110(bin) = 166(dec),24/37,37,1,5
10001100(bin) = 140(dec),29/53,53,1,5
11000000(bin) = 192(dec),3/4,4,1,5
11011000(bin) = 216(dec),27/32,32,5,1
11100110(bin) = 230(dec),44/49,49,5,1
01100111(bin) = 103(dec),21/52,52,1,5
00011101(bin) =  29(dec),6/53,53,1,5
10110011(bin) = 179(dec),7/10,10,1,11
00000101(bin) =   5(dec),1/51,51,1,11
00000111(bin) =   7(dec),1/37,37,1,5
00001000(bin) =   8(dec),1/32,32,5,1
00001001(bin) =   9(dec),1/28,28,1,5
00001010(bin) =  10(dec),2/51,51,1,11
00001111(bin) =  15(dec),1/17,17,5,1
00010000(bin) =  16(dec),1/16,16,5,1
00010100(bin) =  20(dec),4/51,51,1,11
