Register Output,Fraction,Guess for r,guess1,guess2
1010011000010010(bin) = 42514(dec),24/37,37,1,5
1010011001011001(bin) = 42585(dec),13/20,20,11,5
0100110010100010(bin) = 19618(dec),3/10,10,1,11
1011001100100110(bin) = 45862(dec),7/10,10,1,11
0111001100111011(bin) = 29499(dec),9/20,20,11,5
0001100110010001(bin) = 6545(dec),1/10,10,1,11
1100110011010000(bin) = 52432(dec),4/5,5,1,5
0110011001101111(bin) = 26223(dec),2/5,5,1,5
0000110011001001(bin) = 3273(dec),1/20,20,11,5
0101100110001000(bin) = 22920(dec),7/20,20,11,5
0111001100111111(bin) = 29503(dec),9/20,20,11,5
1000110011010011(bin) = 36051(dec),11/20,20,11,5
1001100110010100(bin) = 39316(dec),3/5,5,1,5
0111001100101101(bin) = 29485(dec),9/20,20,11,5
1010010110111001(bin) = 42425(dec),11/17,17,5,1
0010011001010101(bin) = 9813(dec),3/20,20,11,5
1100110011100110(bin) = 52454(dec),4/5,5,1,5
0110011001010011(bin) = 26195(dec),2/5,5,1,5
0101100110011110(bin) = 22942(dec),7/20,20,11,5
0110011001011111(bin) = 26207(dec),2/5,5,1,5
1001100110010001(bin) = 39313(dec),3/5,5,1,5
1001100110110011(bin) = 39347(dec),3/5,5,1,5
0001100110011101(bin) = 6557(dec),1/10,10,1,11
1001100100111100(bin) = 39228(dec),3/5,5,1,5
1011001100110111(bin) = 45879(dec),7/10,10,1,11
0110011001101100(bin) = 26220(dec),2/5,5,1,5
0011001100110111(bin) = 13111(dec),1/5,5,1,5
1000110011010110(bin) = 36054(dec),11/20,20,11,5
1001100110100010(bin) = 39330(dec),3/5,5,1,5
1011001100111101(bin) = 45885(dec),7/10,10,1,11
1100110011000100(bin) = 52420(dec),4/5,5,1,5
1010011001011101(bin) = 42589(dec),13/20,20,11,5
1001100110100100(bin) = 39332(dec),3/5,5,1,5
1100110011001010(bin) = 52426(dec),4/5,5,1,5
1000110011100100(bin) = 36068(dec),11/20,20,11,5
0110011010001011(bin) = 26251(dec),2/5,5,1,5
0011001100111001(bin) = 13113(dec),1/5,5,1,5
0001100111001000(bin) = 6600(dec),1/10,10,1,11
0101100101111000(bin) = 22904(dec),7/20,20,11,5
0000110011010010(bin) = 3282(dec),1/20,20,11,5
0010011001101011(bin) = 9835(dec),3/20,20,11,5
0000110011000110(bin) = 3270(dec),1/20,20,11,5
1001100110101110(bin) = 39342(dec),3/5,5,1,5
0010011001100011(bin) = 9827(dec),3/20,20,11,5
1010011001110100(bin) = 42612(dec),13/20,20,11,5
1010011001101100(bin) = 42604(dec),13/20,20,11,5
1010011001111100(bin) = 42620(dec),13/20,20,11,5
0110011000011010(bin) = 26138(dec),2/5,5,1,5
1111001100101111(bin) = 62255(dec),19/20,20,11,5
0101100110010011(bin) = 22931(dec),7/20,20,11,5
1101100110110011(bin) = 55731(dec),17/20,20,11,5
1111001100110000(bin) = 62256(dec),19/20,20,11,5
0001100110010000(bin) = 6544(dec),1/10,10,1,11
1001100110010000(bin) = 39312(dec),3/5,5,1,5
0010011010101010(bin) = 9898(dec),8/53,53,1,5
0010011001110110(bin) = 9846(dec),3/20,20,11,5
0110011001011101(bin) = 26205(dec),2/5,5,1,5
1110011001011111(bin) = 58975(dec),9/10,10,1,11
0010011001101100(bin) = 9836(dec),3/20,20,11,5
0010011001011001(bin) = 9817(dec),3/20,20,11,5
0101100111010001(bin) = 22993(dec),13/37,37,1,5
1101100110011111(bin) = 55711(dec),17/20,20,11,5
1010011001100010(bin) = 42594(dec),13/20,20,11,5
0101100110010110(bin) = 22934(dec),7/20,20,11,5
0101100110101000(bin) = 22952(dec),7/20,20,11,5
0011001101010110(bin) = 13142(dec),1/5,5,1,5
0101100110000101(bin) = 22917(dec),7/20,20,11,5
1110011010100100(bin) = 59044(dec),9/10,10,1,11
0101100110001110(bin) = 22926(dec),7/20,20,11,5
0101100110010010(bin) = 22930(dec),7/20,20,11,5
0001100110101001(bin) = 6569(dec),1/10,10,1,11
0100110011000111(bin) = 19655(dec),3/10,10,1,11
0101100110001011(bin) = 22923(dec),7/20,20,11,5
0111001100011110(bin) = 29470(dec),9/20,20,11,5
1000110100001110(bin) = 36110(dec),27/49,49,5,1
0010011001110111(bin) = 9847(dec),3/20,20,11,5
1111001100111000(bin) = 62264(dec),19/20,20,11,5
1101100110010101(bin) = 55701(dec),17/20,20,11,5
1010011001011010(bin) = 42586(dec),13/20,20,11,5
1101100110011100(bin) = 55708(dec),17/20,20,11,5
1001100110010101(bin) = 39317(dec),3/5,5,1,5
1001100110001000(bin) = 39304(dec),3/5,5,1,5
1111001100110111(bin) = 62263(dec),19/20,20,11,5
1101100110010111(bin) = 55703(dec),17/20,20,11,5
1010011001011011(bin) = 42587(dec),13/20,20,11,5
0111001011100111(bin) = 29415(dec),22/49,49,5,1
0011001100110000(bin) = 13104(dec),1/5,5,1,5
1010011001100000(bin) = 42592(dec),13/20,20,11,5
1001100101111111(bin) = 39295(dec),3/5,5,1,5
0111001100110001(bin) = 29489(dec),9/20,20,11,5
0110011001100000(bin) = 26208(dec),2/5,5,1,5
1001100110000010(bin) = 39298(dec),3/5,5,1,5
0010011001101001(bin) = 9833(dec),3/20,20,11,5
1011001100111011(bin) = 45883(dec),7/10,10,1,11
0001100110010111(bin) = 6551(dec),1/10,10,1,11
1000110011010010(bin) = 36050(dec),11/20,20,11,5
1101100110111000(bin) = 55736(dec),17/20,20,11,5
0000110011010000(bin) = 3280(dec),1/20,20,11,5
0110011001010100(bin) = 26196(dec),2/5,5,1,5
1001100101001100(bin) = 39244(dec),3/5,5,1,5
1110011001101010(bin) = 58986(dec),9/10,10,1,11
0111001100101111(bin) = 29487(dec),9/20,20,11,5
1101100110010001(bin) = 55697(dec),17/20,20,11,5
1001100110010010(bin) = 39314(dec),3/5,5,1,5
0011001100101101(bin) = 13101(dec),1/5,5,1,5
1100110011101001(bin) = 52457(dec),4/5,5,1,5
1000110011001101(bin) = 36045(dec),11/20,20,11,5
0110011001101001(bin) = 26217(dec),2/5,5,1,5
0001100110011100(bin) = 6556(dec),1/10,10,1,11
1011001100110001(bin) = 45873(dec),7/10,10,1,11
1100110011010001(bin) = 52433(dec),4/5,5,1,5
0011001001001000(bin) = 12872(dec),10/51,51,1,11
0011001100110110(bin) = 13110(dec),1/5,5,1,5
0001100101111111(bin) = 6527(dec),1/10,10,1,11
1111001100100001(bin) = 62241(dec),19/20,20,11,5
1001100110011110(bin) = 39326(dec),3/5,5,1,5
1111001100110001(bin) = 62257(dec),19/20,20,11,5
1000110010111011(bin) = 36027(dec),11/20,20,11,5
0110011001101011(bin) = 26219(dec),2/5,5,1,5
1001100110011101(bin) = 39325(dec),3/5,5,1,5
0101100110100000(bin) = 22944(dec),7/20,20,11,5
0100110011010011(bin) = 19667(dec),3/10,10,1,11
1110011001101100(bin) = 58988(dec),9/10,10,1,11
1110011001011000(bin) = 58968(dec),9/10,10,1,11
1011001011110100(bin) = 45812(dec),37/53,53,1,5
0100110011010111(bin) = 19671(dec),3/10,10,1,11
0010011001010111(bin) = 9815(dec),3/20,20,11,5
1111001100110110(bin) = 62262(dec),19/20,20,11,5
1011001100101100(bin) = 45868(dec),7/10,10,1,11
0010011001101111(bin) = 9839(dec),3/20,20,11,5
1001100110100001(bin) = 39329(dec),3/5,5,1,5
1011001100110101(bin) = 45877(dec),7/10,10,1,11
1101100110110001(bin) = 55729(dec),17/20,20,11,5
1010011001100111(bin) = 42599(dec),13/20,20,11,5
1011001100101010(bin) = 45866(dec),7/10,10,1,11
0001100110010010(bin) = 6546(dec),1/10,10,1,11
0110011001101000(bin) = 26216(dec),2/5,5,1,5
1111001100011010(bin) = 62234(dec),19/20,20,11,5
1101100110000110(bin) = 55686(dec),17/20,20,11,5
1000110011001011(bin) = 36043(dec),11/20,20,11,5
0001100110100011(bin) = 6563(dec),1/10,10,1,11
0111001100110101(bin) = 29493(dec),9/20,20,11,5
0110011100000011(bin) = 26371(dec),21/52,52,1,5
1101100110011110(bin) = 55710(dec),17/20,20,11,5
0110011001101010(bin) = 26218(dec),2/5,5,1,5
0110011001100001(bin) = 26209(dec),2/5,5,1,5
1001100110011100(bin) = 39324(dec),3/5,5,1,5
1101100110011101(bin) = 55709(dec),17/20,20,11,5
1000110011001010(bin) = 36042(dec),11/20,20,11,5
1000110011010001(bin) = 36049(dec),11/20,20,11,5
1101100110010110(bin) = 55702(dec),17/20,20,11,5
0101100110100011(bin) = 22947(dec),7/20,20,11,5
0101100110011100(bin) = 22940(dec),7/20,20,11,5
0001100110011000(bin) = 6552(dec),1/10,10,1,11
0101100110101010(bin) = 22954(dec),7/20,20,11,5
0010011001010110(bin) = 9814(dec),3/20,20,11,5
0101100110010101(bin) = 22933(dec),7/20,20,11,5
1001100110100110(bin) = 39334(dec),3/5,5,1,5
1010011001100100(bin) = 42596(dec),13/20,20,11,5
1100110010111111(bin) = 52415(dec),4/5,5,1,5
1011001100101111(bin) = 45871(dec),7/10,10,1,11
0000110011001011(bin) = 3275(dec),1/20,20,11,5
0111001100110110(bin) = 29494(dec),9/20,20,11,5
1100110011001011(bin) = 52427(dec),4/5,5,1,5
1110011001101110(bin) = 58990(dec),9/10,10,1,11
1101100110101101(bin) = 55725(dec),17/20,20,11,5
1101100110100001(bin) = 55713(dec),17/20,20,11,5
0010011001101010(bin) = 9834(dec),3/20,20,11,5
1101100010101100(bin) = 55468(dec),11/13,13,1,5
0100110010111011(bin) = 19643(dec),3/10,10,1,11
0001100110010011(bin) = 6547(dec),1/10,10,1,11
0110011001100011(bin) = 26211(dec),2/5,5,1,5
0111001100110100(bin) = 29492(dec),9/20,20,11,5
0010011001100000(bin) = 9824(dec),3/20,20,11,5
1001100110010111(bin) = 39319(dec),3/5,5,1,5
0011001100110001(bin) = 13105(dec),1/5,5,1,5
0000110011011011(bin) = 3291(dec),1/20,20,11,5
1001100110101000(bin) = 39336(dec),3/5,5,1,5
1110011001100001(bin) = 58977(dec),9/10,10,1,11
0100110011001111(bin) = 19663(dec),3/10,10,1,11
1100110011001101(bin) = 52429(dec),4/5,5,1,5
1111001100111010(bin) = 62266(dec),19/20,20,11,5
0010011001011111(bin) = 9823(dec),3/20,20,11,5
0101100110010111(bin) = 22935(dec),7/20,20,11,5
0110011001011100(bin) = 26204(dec),2/5,5,1,5
1000110011010000(bin) = 36048(dec),11/20,20,11,5
0111001100110111(bin) = 29495(dec),9/20,20,11,5
0110011010111111(bin) = 26303(dec),2/5,5,1,5
1110011000100011(bin) = 58915(dec),44/49,49,5,1
0101100110011000(bin) = 22936(dec),7/20,20,11,5
1010011001110011(bin) = 42611(dec),13/20,20,11,5
1010011001101001(bin) = 42601(dec),13/20,20,11,5
0101100110011101(bin) = 22941(dec),7/20,20,11,5
0111001100110011(bin) = 29491(dec),9/20,20,11,5
1110011001100100(bin) = 58980(dec),9/10,10,1,11
1011001100110100(bin) = 45876(dec),7/10,10,1,11
1001100110011011(bin) = 39323(dec),3/5,5,1,5
1101100110100000(bin) = 55712(dec),17/20,20,11,5
0000110010111110(bin) = 3262(dec),1/20,20,11,5
1100110011001001(bin) = 52425(dec),4/5,5,1,5
1100110011001111(bin) = 52431(dec),4/5,5,1,5
0000110011011111(bin) = 3295(dec),1/20,20,11,5
1110011001100010(bin) = 58978(dec),9/10,10,1,11
0100110011001100(bin) = 19660(dec),3/10,10,1,11
0100110011101001(bin) = 19689(dec),3/10,10,1,11
0111001100110010(bin) = 29490(dec),9/20,20,11,5
1000110100011010(bin) = 36122(dec),27/49,49,5,1
1000110011001100(bin) = 36044(dec),11/20,20,11,5
1110011001101101(bin) = 58989(dec),9/10,10,1,11
0010011001101000(bin) = 9832(dec),3/20,20,11,5
0100110011001010(bin) = 19658(dec),3/10,10,1,11
1101100110001000(bin) = 55688(dec),17/20,20,11,5
0101100110010001(bin) = 22929(dec),7/20,20,11,5
0111001100111000(bin) = 29496(dec),9/20,20,11,5
1001100110011111(bin) = 39327(dec),3/5,5,1,5
0101100110010000(bin) = 22928(dec),7/20,20,11,5
0101100110011001(bin) = 22937(dec),7/20,20,11,5
1100110011001100(bin) = 52428(dec),4/5,5,1,5
1100110011001110(bin) = 52430(dec),4/5,5,1,5
0101100110010100(bin) = 22932(dec),7/20,20,11,5
0110011001100101(bin) = 26213(dec),2/5,5,1,5
1010011001111011(bin) = 42619(dec),13/20,20,11,5
0001100110001110(bin) = 6542(dec),1/10,10,1,11
1101100110010100(bin) = 55700(dec),17/20,20,11,5
1010011001101111(bin) = 42607(dec),13/20,20,11,5
1011001100110110(bin) = 45878(dec),7/10,10,1,11
0110011001010101(bin) = 26197(dec),2/5,5,1,5
1110011001100011(bin) = 58979(dec),9/10,10,1,11
1110011001111001(bin) = 59001(dec),9/10,10,1,11
1110011001100000(bin) = 58976(dec),9/10,10,1,11
1000110011001000(bin) = 36040(dec),11/20,20,11,5
0101100110111000(bin) = 22968(dec),7/20,20,11,5
0101100110011010(bin) = 22938(dec),7/20,20,11,5
0110011010100010(bin) = 26274(dec),2/5,5,1,5
0011001100101111(bin) = 13103(dec),1/5,5,1,5
1101100110110000(bin) = 55728(dec),17/20,20,11,5
0000110011001111(bin) = 3279(dec),1/20,20,11,5
0100110011000001(bin) = 19649(dec),3/10,10,1,11
1010011001111001(bin) = 42617(dec),13/20,20,11,5
1000110010101111(bin) = 36015(dec),11/20,20,11,5
1101100110011011(bin) = 55707(dec),17/20,20,11,5
0001100110011110(bin) = 6558(dec),1/10,10,1,11
1001100110001110(bin) = 39310(dec),3/5,5,1,5
1010011001101101(bin) = 42605(dec),13/20,20,11,5
0001100110011011(bin) = 6555(dec),1/10,10,1,11
1110011001101001(bin) = 58985(dec),9/10,10,1,11
0001100110010101(bin) = 6549(dec),1/10,10,1,11
1011001101000100(bin) = 45892(dec),7/10,10,1,11
0011001100111101(bin) = 13117(dec),1/5,5,1,5
0100110011001001(bin) = 19657(dec),3/10,10,1,11
0000110011010011(bin) = 3283(dec),1/20,20,11,5
0001100110011111(bin) = 6559(dec),1/10,10,1,11
1110011001100101(bin) = 58981(dec),9/10,10,1,11
1111001100110010(bin) = 62258(dec),19/20,20,11,5
0001100110010100(bin) = 6548(dec),1/10,10,1,11
1011001100101110(bin) = 45870(dec),7/10,10,1,11
0100110011001110(bin) = 19662(dec),3/10,10,1,11
1101100110011000(bin) = 55704(dec),17/20,20,11,5
1111011110001001(bin) = 63369(dec),29/30,30,1,11
1100110011010010(bin) = 52434(dec),4/5,5,1,5
1110011001011101(bin) = 58973(dec),9/10,10,1,11
1101100110000000(bin) = 55680(dec),17/20,20,11,5
0110011001100111(bin) = 26215(dec),2/5,5,1,5
0100110000001111(bin) = 19471(dec),11/37,37,1,5
0101100110110111(bin) = 22967(dec),7/20,20,11,5
1010011001101000(bin) = 42600(dec),13/20,20,11,5
0111001100110000(bin) = 29488(dec),9/20,20,11,5
1111001100110011(bin) = 62259(dec),19/20,20,11,5
0010011001100111(bin) = 9831(dec),3/20,20,11,5
1000110011001110(bin) = 36046(dec),11/20,20,11,5
0101100110011011(bin) = 22939(dec),7/20,20,11,5
0000110011000101(bin) = 3269(dec),1/20,20,11,5
1010011001101010(bin) = 42602(dec),13/20,20,11,5
0011001100110100(bin) = 13108(dec),1/5,5,1,5
1010011001100101(bin) = 42597(dec),13/20,20,11,5
0010011001101101(bin) = 9837(dec),3/20,20,11,5
0011001100110010(bin) = 13106(dec),1/5,5,1,5
1001100110011000(bin) = 39320(dec),3/5,5,1,5
1100110011011000(bin) = 52440(dec),4/5,5,1,5
0100110011010101(bin) = 19669(dec),3/10,10,1,11
1101100110011010(bin) = 55706(dec),17/20,20,11,5
1110011001011110(bin) = 58974(dec),9/10,10,1,11
0100110011001101(bin) = 19661(dec),3/10,10,1,11
1110011001101000(bin) = 58984(dec),9/10,10,1,11
0000110011001100(bin) = 3276(dec),1/20,20,11,5
1010011001100001(bin) = 42593(dec),13/20,20,11,5
0010011001100010(bin) = 9826(dec),3/20,20,11,5
1001100110100011(bin) = 39331(dec),3/5,5,1,5
0011001100101110(bin) = 13102(dec),1/5,5,1,5
1011001011110110(bin) = 45814(dec),7/10,10,1,11
0110011001100100(bin) = 26212(dec),2/5,5,1,5
1111001100110100(bin) = 62260(dec),19/20,20,11,5
0100110011001011(bin) = 19659(dec),3/10,10,1,11
0010011001100101(bin) = 9829(dec),3/20,20,11,5
1010011001100110(bin) = 42598(dec),13/20,20,11,5
1000110011001111(bin) = 36047(dec),11/20,20,11,5
0011001100100110(bin) = 13094(dec),1/5,5,1,5
1001100110011001(bin) = 39321(dec),3/5,5,1,5
1111001100101110(bin) = 62254(dec),19/20,20,11,5
1100110011000110(bin) = 52422(dec),4/5,5,1,5
0000110011010001(bin) = 3281(dec),1/20,20,11,5
0010011001100001(bin) = 9825(dec),3/20,20,11,5
1011001100110011(bin) = 45875(dec),7/10,10,1,11
1010011001100011(bin) = 42595(dec),13/20,20,11,5
0001100110011010(bin) = 6554(dec),1/10,10,1,11
1101100110100100(bin) = 55716(dec),17/20,20,11,5
1110011001100110(bin) = 58982(dec),9/10,10,1,11
0011001100101100(bin) = 13100(dec),1/5,5,1,5
1101100110011001(bin) = 55705(dec),17/20,20,11,5
0110011001100110(bin) = 26214(dec),2/5,5,1,5
0100110011010000(bin) = 19664(dec),3/10,10,1,11
1101100110001011(bin) = 55691(dec),17/20,20,11,5
0000110011001110(bin) = 3278(dec),1/20,20,11,5
0010011001100110(bin) = 9830(dec),3/20,20,11,5
0101100110011111(bin) = 22943(dec),7/20,20,11,5
0100000000000000(bin) = 16384(dec),1/4,4,1,5
0111001100111010(bin) = 29498(dec),9/20,20,11,5
0000110011001101(bin) = 3277(dec),1/20,20,11,5
1001100110010110(bin) = 39318(dec),3/5,5,1,5
1100000000000000(bin) = 49152(dec),3/4,4,1,5
1111001100110101(bin) = 62261(dec),19/20,20,11,5
0110011001100010(bin) = 26210(dec),2/5,5,1,5
0001100110000100(bin) = 6532(dec),1/10,10,1,11
1001100110011010(bin) = 39322(dec),3/5,5,1,5
0010011001000101(bin) = 9797(dec),3/20,20,11,5
0001100110010110(bin) = 6550(dec),1/10,10,1,11
1010011010000110(bin) = 42630(dec),13/20,20,11,5
1011001011110111(bin) = 45815(dec),7/10,10,1,11
1000110011010100(bin) = 36052(dec),11/20,20,11,5
0011001100110011(bin) = 13107(dec),1/5,5,1,5
0101110100101010(bin) = 23850(dec),4/11,11,1,11
0010011001100100(bin) = 9828(dec),3/20,20,11,5
0011001100110101(bin) = 13109(dec),1/5,5,1,5
0001100110011001(bin) = 6553(dec),1/10,10,1,11
0110011001110001(bin) = 26225(dec),2/5,5,1,5
1110011001100111(bin) = 58983(dec),9/10,10,1,11
1011001100110010(bin) = 45874(dec),7/10,10,1,11
1010011001101011(bin) = 42603(dec),13/20,20,11,5
0110011001101101(bin) = 26221(dec),2/5,5,1,5
0110011001011110(bin) = 26206(dec),2/5,5,1,5
1100110011001000(bin) = 52424(dec),4/5,5,1,5
1110011001101011(bin) = 58987(dec),9/10,10,1,11
0000010011001010(bin) = 1226(dec),1/53,53,1,5
0000010011001011(bin) = 1227(dec),1/53,53,1,5
0000010011001100(bin) = 1228(dec),1/53,53,1,5
0000010011001101(bin) = 1229(dec),1/53,53,1,5
0000010011001110(bin) = 1230(dec),1/53,53,1,5
0000010011001111(bin) = 1231(dec),1/53,53,1,5
0000010011010000(bin) = 1232(dec),1/53,53,1,5
0000010011010001(bin) = 1233(dec),1/53,53,1,5
0000010011010010(bin) = 1234(dec),1/53,53,1,5
0000010011010011(bin) = 1235(dec),1/53,53,1,5
0000010011010100(bin) = 1236(dec),1/53,53,1,5
0000010011010101(bin) = 1237(dec),1/53,53,1,5
0000010011010110(bin) = 1238(dec),1/53,53,1,5
0000010011010111(bin) = 1239(dec),1/53,53,1,5
0000010011011000(bin) = 1240(dec),1/53,53,1,5
0000010011011001(bin) = 1241(dec),1/53,53,1,5
0000010011011010(bin) = 1242(dec),1/53,53,1,5
0000010011011011(bin) = 1243(dec),1/53,53,1,5
0000010011011100(bin) = 1244(dec),1/53,53,1,5
0000010011011101(bin) = 1245(dec),1/53,53,1,5
0000010011011110(bin) = 1246(dec),1/53,53,1,5
0000010011011111(bin) = 1247(dec),1/53,53,1,5
0000010011100000(bin) = 1248(dec),1/53,53,1,5
0000010011100001(bin) = 1249(dec),1/52,52,1,5
0000010011100010(bin) = 1250(dec),1/52,52,1,5
0000010011100011(bin) = 1251(dec),1/52,52,1,5
0000010011100100(bin) = 1252(dec),1/52,52,1,5
0000010011100101(bin) = 1253(dec),1/52,52,1,5
0000010011100110(bin) = 1254(dec),1/52,52,1,5
0000010011100111(bin) = 1255(dec),1/52,52,1,5
0000010011101000(bin) = 1256(dec),1/52,52,1,5
0000010011101001(bin) = 1257(dec),1/52,52,1,5
0000010011101010(bin) = 1258(dec),1/52,52,1,5
0000010011101011(bin) = 1259(dec),1/52,52,1,5
0000010011101100(bin) = 1260(dec),1/52,52,1,5
0000010011101101(bin) = 1261(dec),1/52,52,1,5
0000010011101110(bin) = 1262(dec),1/52,52,1,5
0000010011101111(bin) = 1263(dec),1/52,52,1,5
0000010011110000(bin) = 1264(dec),1/52,52,1,5
0000010011110001(bin) = 1265(dec),1/52,52,1,5
0000010011110010(bin) = 1266(dec),1/52,52,1,5
0000010011110011(bin) = 1267(dec),1/52,52,1,5
0000010011110100(bin) = 1268(dec),1/52,52,1,5
0000010011110101(bin) = 1269(dec),1/52,52,1,5
0000010011110110(bin) = 1270(dec),1/52,52,1,5
0000010011110111(bin) = 1271(dec),1/52,52,1,5
0000010011111000(bin) = 1272(dec),1/52,52,1,5
0000010011111001(bin) = 1273(dec),1/51,51,1,11
0000010011111010(bin) = 1274(dec),1/51,51,1,11
0000010011111011(bin) = 1275(dec),1/51,51,1,11
0000010011111100(bin) = 1276(dec),1/51,51,1,11
0000010011111101(bin) = 1277(dec),1/51,51,1,11
0000010011111110(bin) = 1278(dec),1/51,51,1,11
0000010011111111(bin) = 1279(dec),1/51,51,1,11
0000010100000000(bin) = 1280(dec),1/51,51,1,11
0000010100000001(bin) = 1281(dec),1/51,51,1,11
0000010100000010(bin) = 1282(dec),1/51,51,1,11
0000010100000011(bin) = 1283(dec),1/51,51,1,11
0000010100000100(bin) = 1284(dec),1/51,51,1,11
0000010100000101(bin) = 1285(dec),1/51,51,1,11
0000010100000110(bin) = 1286(dec),1/51,51,1,11
0000010100000111(bin) = 1287(dec),1/51,51,1,11
0000010100001000(bin) = 1288(dec),1/51,51,1,11
0000010100001001(bin) = 1289(dec),1/51,51,1,11
0000010100001010(bin) = 1290(dec),1/51,51,1,11
0000010100001011(bin) = 1291(dec),1/51,51,1,11
0000010100001100(bin) = 1292(dec),1/51,51,1,11
0000010100001101(bin) = 1293(dec),1/51,51,1,11
0000010100001110(bin) = 1294(dec),1/51,51,1,11
0000010100001111(bin) = 1295(dec),1/51,51,1,11
0000010100010000(bin) = 1296(dec),1/51,51,1,11
0000010100010001(bin) = 1297(dec),1/51,51,1,11
0000010100010010(bin) = 1298(dec),1/50,50,1,11
0000010100010011(bin) = 1299(dec),1/50,50,1,11
0000010100010100(bin) = 1300(dec),1/50,50,1,11
0000010100010101(bin) = 1301(dec),1/50,50,1,11
0000010100010110(bin) = 1302(dec),1/50,50,1,11
0000010100010111(bin) = 1303(dec),1/50,50,1,11
0000010100011000(bin) = 1304(dec),1/50,50,1,11
0000010100011001(bin) = 1305(dec),1/50,50,1,11
0000010100011010(bin) = 1306(dec),1/50,50,1,11
0000010100011011(bin) = 1307(dec),1/50,50,1,11
0000010100011100(bin) = 1308(dec),1/50,50,1,11
0000010100011101(bin) = 1309(dec),1/50,50,1,11
0000010100011110(bin) = 1310(dec),1/50,50,1,11
0000010100011111(bin) = 1311(dec),1/50,50,1,11
0000010100100000(bin) = 1312(dec),1/50,50,1,11
0000010100100001(bin) = 1313(dec),1/50,50,1,11
0000010100100010(bin) = 1314(dec),1/50,50,1,11
0000010100100011(bin) = 1315(dec),1/50,50,1,11
0000010100100100(bin) = 1316(dec),1/50,50,1,11
0000010100100101(bin) = 1317(dec),1/50,50,1,11
0000010100100110(bin) = 1318(dec),1/50,50,1,11
0000010100100111(bin) = 1319(dec),1/50,50,1,11
0000010100101000(bin) = 1320(dec),1/50,50,1,11
0000010100101001(bin) = 1321(dec),1/50,50,1,11
0000010100101010(bin) = 1322(dec),1/50,50,1,11
0000010100101011(bin) = 1323(dec),1/50,50,1,11
0000010100101100(bin) = 1324(dec),1/50,50,1,11
0000010100101101(bin) = 1325(dec),1/49,49,5,1
0000010100101110(bin) = 1326(dec),1/49,49,5,1
0000010100101111(bin) = 1327(dec),1/49,49,5,1
0000010100110000(bin) = 1328(dec),1/49,49,5,1
0000010100110001(bin) = 1329(dec),1/49,49,5,1
0000010100110010(bin) = 1330(dec),1/49,49,5,1
0000010100110011(bin) = 1331(dec),1/49,49,5,1
0000010100110100(bin) = 1332(dec),1/49,49,5,1
0000010100110101(bin) = 1333(dec),1/49,49,5,1
0000010100110110(bin) = 1334(dec),1/49,49,5,1
0000010100110111(bin) = 1335(dec),1/49,49,5,1
0000010100111000(bin) = 1336(dec),1/49,49,5,1
0000010100111001(bin) = 1337(dec),1/49,49,5,1
0000010100111010(bin) = 1338(dec),1/49,49,5,1
0000010100111011(bin) = 1339(dec),1/49,49,5,1
0000010100111100(bin) = 1340(dec),1/49,49,5,1
0000010100111101(bin) = 1341(dec),1/49,49,5,1
0000010100111110(bin) = 1342(dec),1/49,49,5,1
0000010100111111(bin) = 1343(dec),1/49,49,5,1
