Register Output,Fraction,Guess for r,guess1,guess2
1101100110010011(bin) = 55699(dec),17/20,20,11,5
1111001100100111(bin) = 62247(dec),19/20,20,11,5
1011001100101001(bin) = 45865(dec),7/10,10,1,11
1101100110010000(bin) = 55696(dec),17/20,20,11,5
1011001100100111(bin) = 45863(dec),7/10,10,1,11
0111001100111001(bin) = 29497(dec),9/20,20,11,5
1000110011000100(bin) = 36036(dec),11/20,20,11,5
0100110011011001(bin) = 19673(dec),3/10,10,1,11
1101100110101010(bin) = 55722(dec),17/20,20,11,5
1110011001110011(bin) = 58995(dec),9/10,10,1,11
0101100110000110(bin) = 22918(dec),7/20,20,11,5
0010011001111010(bin) = 9850(dec),3/20,20,11,5
1001100110110101(bin) = 39349(dec),3/5,5,1,5
1010011001010011(bin) = 42579(dec),13/20,20,11,5
0101100110001111(bin) = 22927(dec),7/20,20,11,5
1011001100101011(bin) = 45867(dec),7/10,10,1,11
0101100110100110(bin) = 22950(dec),7/20,20,11,5
0111001101000000(bin) = 29504(dec),9/20,20,11,5
1001100101101011(bin) = 39275(dec),3/5,5,1,5
1101100101010000(bin) = 55632(dec),45/53,53,1,5
1101100101100111(bin) = 55655(dec),45/53,53,1,5
1100110010001101(bin) = 52365(dec),4/5,5,1,5
0010011010000000(bin) = 9856(dec),3/20,20,11,5
1110011010000011(bin) = 59011(dec),9/10,10,1,11
0100110011001000(bin) = 19656(dec),3/10,10,1,11
0011001101010010(bin) = 13138(dec),1/5,5,1,5
1001100110001100(bin) = 39308(dec),3/5,5,1,5
1101100110100101(bin) = 55717(dec),17/20,20,11,5
1110011001110111(bin) = 58999(dec),9/10,10,1,11
0110011001111010(bin) = 26234(dec),2/5,5,1,5
1100110010110011(bin) = 52403(dec),4/5,5,1,5
1101100110001111(bin) = 55695(dec),17/20,20,11,5
1010011001011111(bin) = 42591(dec),13/20,20,11,5
1100110011010011(bin) = 52435(dec),4/5,5,1,5
1000110011000011(bin) = 36035(dec),11/20,20,11,5
0000110000010010(bin) = 3090(dec),1/21,21,11,5
1011001100111000(bin) = 45880(dec),7/10,10,1,11
1011001100111110(bin) = 45886(dec),7/10,10,1,11
