Register Output,Fraction,Guess for r,guess1,guess2
0110100(bin) =  52(dec),13/32,32,5,1
0100011(bin) =  35(dec),3/11,11,1,11
0101111(bin) =  47(dec),18/49,49,5,1
1011111(bin) =  95(dec),23/31,31,1,11
1010111(bin) =  87(dec),17/25,25,5,1
1000100(bin) =  68(dec),17/32,32,5,1
1001000(bin) =  72(dec),9/16,16,5,1
0011000(bin) =  24(dec),3/16,16,5,1
1111000(bin) = 120(dec),15/16,16,5,1
0101000(bin) =  40(dec),5/16,16,5,1
0001100(bin) =  12(dec),3/32,32,5,1
0101001(bin) =  41(dec),8/25,25,5,1
1011110(bin) =  94(dec),36/49,49,5,1
1110110(bin) = 118(dec),47/51,51,1,11
0100000(bin) =  32(dec),1/4,4,1,5
0111110(bin) =  62(dec),16/33,33,5,1
0010000(bin) =  16(dec),1/8,8,5,1
0100110(bin) =  38(dec),11/37,37,1,5
1001010(bin) =  74(dec),26/45,45,1,5
0111011(bin) =  59(dec),6/13,13,1,5
1101000(bin) = 104(dec),13/16,16,5,1
0100101(bin) =  37(dec),13/45,45,1,5
0111001(bin) =  57(dec),4/9,9,5,1
1010001(bin) =  81(dec),31/49,49,5,1
1101100(bin) = 108(dec),27/32,32,5,1
0010010(bin) =  18(dec),7/50,50,1,11
1011010(bin) =  90(dec),26/37,37,1,5
0101100(bin) =  44(dec),11/32,32,5,1
1101110(bin) = 110(dec),43/50,50,1,11
0100010(bin) =  34(dec),13/49,49,5,1
1011000(bin) =  88(dec),11/16,16,5,1
1110100(bin) = 116(dec),29/32,32,5,1
1010011(bin) =  83(dec),24/37,37,1,5
1001101(bin) =  77(dec),3/5,5,1,5
0110011(bin) =  51(dec),2/5,5,1,5
0101101(bin) =  45(dec),13/37,37,1,5
1000111(bin) =  71(dec),5/9,9,5,1
1000110(bin) =  70(dec),29/53,53,1,5
0111100(bin) =  60(dec),15/32,32,5,1
0001000(bin) =   8(dec),1/16,16,5,1
0111010(bin) =  58(dec),24/53,53,1,5
0000101(bin) =   5(dec),2/51,51,1,11
1011011(bin) =  91(dec),32/45,45,1,5
1110011(bin) = 115(dec),44/49,49,5,1
0100100(bin) =  36(dec),9/32,32,5,1
1100000(bin) =  96(dec),3/4,4,1,5
0001101(bin) =  13(dec),5/49,49,5,1
1011101(bin) =  93(dec),8/11,11,1,11
1010100(bin) =  84(dec),21/32,32,5,1
1000101(bin) =  69(dec),7/13,13,1,5
0001010(bin) =  10(dec),4/51,51,1,11
0000100(bin) =   4(dec),1/32,32,5,1
0001111(bin) =  15(dec),2/17,17,5,1
0010100(bin) =  20(dec),5/32,32,5,1
0011100(bin) =  28(dec),7/32,32,5,1
0011101(bin) =  29(dec),12/53,53,1,5
0011111(bin) =  31(dec),8/33,33,5,1
0100001(bin) =  33(dec),8/31,31,1,11
0110000(bin) =  48(dec),3/8,8,5,1
0110101(bin) =  53(dec),12/29,29,1,5
0110110(bin) =  54(dec),19/45,45,1,5
0111000(bin) =  56(dec),7/16,16,5,1
0111101(bin) =  61(dec),10/21,21,11,5
1000010(bin) =  66(dec),17/33,33,5,1
1000011(bin) =  67(dec),11/21,21,11,5
1001011(bin) =  75(dec),17/29,29,1,5
1001100(bin) =  76(dec),19/32,32,5,1
1010000(bin) =  80(dec),5/8,8,5,1
1011100(bin) =  92(dec),23/32,32,5,1
1100001(bin) =  97(dec),25/33,33,5,1
1100011(bin) =  99(dec),41/53,53,1,5
1100100(bin) = 100(dec),25/32,32,5,1
1110000(bin) = 112(dec),7/8,8,5,1
1110001(bin) = 113(dec),15/17,17,5,1
1111011(bin) = 123(dec),49/51,51,1,11
1111100(bin) = 124(dec),31/32,32,5,1
