Register Output,Fraction,Guess for r,guess1,guess2,iterations
110011001001000(bin) = 26184(dec),4/5,5,1,5,1
011100110000111(bin) = 14727(dec),22/49,49,5,1,1
011100110001101(bin) = 14733(dec),9/20,20,11,5,1
001100110100100(bin) = 6564(dec),1/5,5,1,5,1
111001100111000(bin) = 29496(dec),9/10,10,1,11,1
101100110010001(bin) = 22929(dec),7/10,10,1,11,1
000110010111100(bin) = 3260(dec),1/10,10,1,11,1
110110011001001(bin) = 27849(dec),17/20,20,11,5,1
000011001101110(bin) = 1646(dec),1/20,20,11,5,1
101001100110000(bin) = 21296(dec),13/20,20,11,5,1
010110011010101(bin) = 11477(dec),7/20,20,11,5,1
110110011010110(bin) = 27862(dec),17/20,20,11,5,1
000110011010100(bin) = 3284(dec),1/10,10,1,11,2
000011001110110(bin) = 1654(dec),1/20,20,11,5,1
110110011010001(bin) = 27857(dec),17/20,20,11,5,2
110110011000110(bin) = 27846(dec),17/20,20,11,5,1
111001100111001(bin) = 29497(dec),9/10,10,1,11,1
010011001011110(bin) = 9822(dec),3/10,10,1,11,1
011100110001110(bin) = 14734(dec),9/20,20,11,5,2
010011001011010(bin) = 9818(dec),3/10,10,1,11,2
101100110110000(bin) = 22960(dec),7/10,10,1,11,1
000011001110001(bin) = 1649(dec),1/20,20,11,5,1
111100110001101(bin) = 31117(dec),19/20,20,11,5,1
100011001010101(bin) = 18005(dec),28/51,51,1,11,1
010011001011011(bin) = 9819(dec),3/10,10,1,11,1
111100110101100(bin) = 31148(dec),19/20,20,11,5,1
100011001010011(bin) = 18003(dec),28/51,51,1,11,1
111001100110000(bin) = 29488(dec),9/10,10,1,11,1
111001100110110(bin) = 29494(dec),9/10,10,1,11,1
010011001110110(bin) = 9846(dec),3/10,10,1,11,1
100110100011000(bin) = 19736(dec),32/53,53,1,5,1
001010000011111(bin) = 5151(dec),8/51,51,1,11,1
000011001010110(bin) = 1622(dec),1/20,20,11,5,1
000011101000010(bin) = 1858(dec),3/53,53,1,5,1
100011001111110(bin) = 18046(dec),27/49,49,5,1,1
001100110101110(bin) = 6574(dec),1/5,5,1,5,1
010110011010011(bin) = 11475(dec),7/20,20,11,5,2
111100110000111(bin) = 31111(dec),19/20,20,11,5,1
011001100110110(bin) = 13110(dec),2/5,5,1,5,1
001100110001010(bin) = 6538(dec),1/5,5,1,5,1
101100110101000(bin) = 22952(dec),7/10,10,1,11,1
100011000111100(bin) = 17980(dec),28/51,51,1,11,1
110011001101100(bin) = 26220(dec),4/5,5,1,5,1
010011010001010(bin) = 9866(dec),16/53,53,1,5,1
101100110001001(bin) = 22921(dec),7/10,10,1,11,1
000110011001111(bin) = 3279(dec),1/10,10,1,11,4
011100110100010(bin) = 14754(dec),9/20,20,11,5,1
100110010111100(bin) = 19644(dec),3/5,5,1,5,1
010011001111010(bin) = 9850(dec),3/10,10,1,11,1
010011001011100(bin) = 9820(dec),3/10,10,1,11,1
001100110100011(bin) = 6563(dec),1/5,5,1,5,1
000110011010001(bin) = 3281(dec),1/10,10,1,11,2
010011001100001(bin) = 9825(dec),3/10,10,1,11,2
110011001110000(bin) = 26224(dec),4/5,5,1,5,2
111100110010010(bin) = 31122(dec),19/20,20,11,5,1
010011001110101(bin) = 9845(dec),3/10,10,1,11,1
000011001100000(bin) = 1632(dec),1/20,20,11,5,2
001100110110001(bin) = 6577(dec),1/5,5,1,5,2
101001100111100(bin) = 21308(dec),13/20,20,11,5,1
010011001011111(bin) = 9823(dec),3/10,10,1,11,2
100011001010000(bin) = 18000(dec),28/51,51,1,11,1
011001100100111(bin) = 13095(dec),2/5,5,1,5,1
101100110010111(bin) = 22935(dec),7/10,10,1,11,9
110110011000100(bin) = 27844(dec),17/20,20,11,5,1
010011001101100(bin) = 9836(dec),3/10,10,1,11,3
011001101001011(bin) = 13131(dec),2/5,5,1,5,1
000110011010000(bin) = 3280(dec),1/10,10,1,11,2
