Register Output,Fraction,Guess for r,guess1,guess2,iterations
111100110100001(bin) = 31137(dec),19/20,20,11,5,1
110110011000111(bin) = 27847(dec),17/20,20,11,5,1
000011001011000(bin) = 1624(dec),1/20,20,11,5,1
010110011010010(bin) = 11474(dec),7/20,20,11,5,1
001100110001101(bin) = 6541(dec),1/5,5,1,5,1
001100110010001(bin) = 6545(dec),1/5,5,1,5,2
110011001100010(bin) = 26210(dec),4/5,5,1,5,6
111001100101111(bin) = 29487(dec),9/10,10,1,11,1
101001100111001(bin) = 21305(dec),13/20,20,11,5,1
000110011000111(bin) = 3271(dec),1/10,10,1,11,1
011100110010110(bin) = 14742(dec),9/20,20,11,5,3
011100110010001(bin) = 14737(dec),9/20,20,11,5,2
101001100101001(bin) = 21289(dec),13/20,20,11,5,2
000011001101111(bin) = 1647(dec),1/20,20,11,5,1
001001101001011(bin) = 4939(dec),8/53,53,1,5,1
100011001110000(bin) = 18032(dec),11/20,20,11,5,1
101001100110110(bin) = 21302(dec),13/20,20,11,5,4
011001100001000(bin) = 13064(dec),2/5,5,1,5,1
100011001100011(bin) = 18019(dec),11/20,20,11,5,4
010110011001010(bin) = 11466(dec),7/20,20,11,5,2
101100110100001(bin) = 22945(dec),7/10,10,1,11,2
101001101000001(bin) = 21313(dec),13/20,20,11,5,1
101100110100011(bin) = 22947(dec),7/10,10,1,11,1
000110011010010(bin) = 3282(dec),1/10,10,1,11,1
011100110010100(bin) = 14740(dec),9/20,20,11,5,3
001001100110001(bin) = 4913(dec),3/20,20,11,5,3
001001100111000(bin) = 4920(dec),3/20,20,11,5,1
111001100101011(bin) = 29483(dec),9/10,10,1,11,1
011100110101100(bin) = 14764(dec),23/51,51,1,11,2
101001100110101(bin) = 21301(dec),13/20,20,11,5,11
011100110100101(bin) = 14757(dec),9/20,20,11,5,1
001100110010101(bin) = 6549(dec),1/5,5,1,5,3
011100110010101(bin) = 14741(dec),9/20,20,11,5,1
010011011001111(bin) = 9935(dec),10/33,33,5,1,1
001001100111100(bin) = 4924(dec),3/20,20,11,5,1
100011001101101(bin) = 18029(dec),11/20,20,11,5,1
101100110100010(bin) = 22946(dec),7/10,10,1,11,2
001100110011111(bin) = 6559(dec),1/5,5,1,5,1
010011001100010(bin) = 9826(dec),3/10,10,1,11,4
110011001111010(bin) = 26234(dec),4/5,5,1,5,1
101001100100111(bin) = 21287(dec),13/20,20,11,5,1
111100110010011(bin) = 31123(dec),19/20,20,11,5,2
111001100101100(bin) = 29484(dec),9/10,10,1,11,1
111001100101110(bin) = 29486(dec),9/10,10,1,11,2
110110011011000(bin) = 27864(dec),17/20,20,11,5,1
001001100110010(bin) = 4914(dec),3/20,20,11,5,20
111100110001010(bin) = 31114(dec),19/20,20,11,5,1
110110011010011(bin) = 27859(dec),17/20,20,11,5,2
100110011001001(bin) = 19657(dec),3/5,5,1,5,2
000110011010011(bin) = 3283(dec),1/10,10,1,11,1
010110011001111(bin) = 11471(dec),7/20,20,11,5,9
100110011001110(bin) = 19662(dec),3/5,5,1,5,18
010110011000111(bin) = 11463(dec),7/20,20,11,5,1
001100110010011(bin) = 6547(dec),1/5,5,1,5,1
111001101000111(bin) = 29511(dec),9/10,10,1,11,1
100011001101010(bin) = 18026(dec),11/20,20,11,5,5
110011001100011(bin) = 26211(dec),4/5,5,1,5,5
100011001100010(bin) = 18018(dec),11/20,20,11,5,7
101100110001000(bin) = 22920(dec),7/10,10,1,11,1
010011001110000(bin) = 9840(dec),3/10,10,1,11,1
111001100111111(bin) = 29503(dec),9/10,10,1,11,1
100011001011110(bin) = 18014(dec),11/20,20,11,5,2
101100110001010(bin) = 22922(dec),7/10,10,1,11,2
111100110011110(bin) = 31134(dec),19/20,20,11,5,5
100011001001111(bin) = 17999(dec),28/51,51,1,11,1
100011001101011(bin) = 18027(dec),11/20,20,11,5,2
110000000000000(bin) = 24576(dec),3/4,4,1,5,780
011100110011011(bin) = 14747(dec),9/20,20,11,5,33
110011001101011(bin) = 26219(dec),4/5,5,1,5,6
111100110010100(bin) = 31124(dec),19/20,20,11,5,1
011001100111001(bin) = 13113(dec),2/5,5,1,5,1
010011001101010(bin) = 9834(dec),3/10,10,1,11,6
101001100101000(bin) = 21288(dec),13/20,20,11,5,1
011001100110111(bin) = 13111(dec),2/5,5,1,5,2
001001100110000(bin) = 4912(dec),3/20,20,11,5,2
010110011000000(bin) = 11456(dec),7/20,20,11,5,1
110011001100101(bin) = 26213(dec),4/5,5,1,5,39
101100110010100(bin) = 22932(dec),7/10,10,1,11,4
111100110100000(bin) = 31136(dec),19/20,20,11,5,4
001100110100101(bin) = 6565(dec),1/5,5,1,5,1
111001100110111(bin) = 29495(dec),9/10,10,1,11,5
001100101111110(bin) = 6526(dec),1/5,5,1,5,1
100011001011101(bin) = 18013(dec),11/20,20,11,5,1
011100110100000(bin) = 14752(dec),9/20,20,11,5,1
110011010010110(bin) = 26262(dec),4/5,5,1,5,1
101100110011010(bin) = 22938(dec),7/10,10,1,11,462
000110010011010(bin) = 3226(dec),5/51,51,1,11,1
110011001100001(bin) = 26209(dec),4/5,5,1,5,2
110011001101010(bin) = 26218(dec),4/5,5,1,5,3
110110011010101(bin) = 27861(dec),17/20,20,11,5,1
100110011001010(bin) = 19658(dec),3/5,5,1,5,3
011100110011000(bin) = 14744(dec),9/20,20,11,5,20
011100110100011(bin) = 14755(dec),9/20,20,11,5,1
010011001111110(bin) = 9854(dec),3/10,10,1,11,1
010011001001110(bin) = 9806(dec),3/10,10,1,11,1
001100110110000(bin) = 6576(dec),1/5,5,1,5,1
001001101001000(bin) = 4936(dec),8/53,53,1,5,1
101001100101111(bin) = 21295(dec),13/20,20,11,5,3
111001100001101(bin) = 29453(dec),44/49,49,5,1,1
011001100110001(bin) = 13105(dec),2/5,5,1,5,8
011001100111000(bin) = 13112(dec),2/5,5,1,5,1
010110011010001(bin) = 11473(dec),7/20,20,11,5,3
101001100110001(bin) = 21297(dec),13/20,20,11,5,7
010011001110011(bin) = 9843(dec),3/10,10,1,11,1
011100110010011(bin) = 14739(dec),9/20,20,11,5,1
001100110011101(bin) = 6557(dec),1/5,5,1,5,4
001100110100000(bin) = 6560(dec),1/5,5,1,5,3
110011001100110(bin) = 26214(dec),4/5,5,1,5,475
101001100111011(bin) = 21307(dec),13/20,20,11,5,1
010110011001001(bin) = 11465(dec),7/20,20,11,5,4
100110011000011(bin) = 19651(dec),3/5,5,1,5,2
111001100110010(bin) = 29490(dec),9/10,10,1,11,22
011100110101101(bin) = 14765(dec),23/51,51,1,11,1
011001101000010(bin) = 13122(dec),2/5,5,1,5,2
101100110010101(bin) = 22933(dec),7/10,10,1,11,3
001100110000000(bin) = 6528(dec),1/5,5,1,5,1
101001100100110(bin) = 21286(dec),13/20,20,11,5,1
100110011001000(bin) = 19656(dec),3/5,5,1,5,3
111100110011001(bin) = 31129(dec),19/20,20,11,5,217
100011001101110(bin) = 18030(dec),11/20,20,11,5,1
100011001011100(bin) = 18012(dec),11/20,20,11,5,1
110011001011000(bin) = 26200(dec),4/5,5,1,5,1
100011001100001(bin) = 18017(dec),11/20,20,11,5,2
111001100110001(bin) = 29489(dec),9/10,10,1,11,4
110011001100000(bin) = 26208(dec),4/5,5,1,5,5
100011001111001(bin) = 18041(dec),27/49,49,5,1,2
101100110011101(bin) = 22941(dec),7/10,10,1,11,9
001100110100001(bin) = 6561(dec),1/5,5,1,5,1
100011010001101(bin) = 18061(dec),27/49,49,5,1,1
011100110010111(bin) = 14743(dec),9/20,20,11,5,10
100110011101000(bin) = 19688(dec),3/5,5,1,5,1
111001100111101(bin) = 29501(dec),9/10,10,1,11,1
001100110011100(bin) = 6556(dec),1/5,5,1,5,5
101001100111000(bin) = 21304(dec),13/20,20,11,5,2
001100110111011(bin) = 6587(dec),1/5,5,1,5,1
001100110011110(bin) = 6558(dec),1/5,5,1,5,2
110011001011110(bin) = 26206(dec),4/5,5,1,5,1
110011001101101(bin) = 26221(dec),4/5,5,1,5,2
101100110101001(bin) = 22953(dec),7/10,10,1,11,1
011100110011111(bin) = 14751(dec),9/20,20,11,5,4
111001100110101(bin) = 29493(dec),9/10,10,1,11,10
101001100101110(bin) = 21294(dec),13/20,20,11,5,1
101001100111111(bin) = 21311(dec),13/20,20,11,5,1
011100110010010(bin) = 14738(dec),9/20,20,11,5,2
011100110011110(bin) = 14750(dec),9/20,20,11,5,5
101001100101101(bin) = 21293(dec),13/20,20,11,5,3
000011001011101(bin) = 1629(dec),1/20,20,11,5,1
100110011001111(bin) = 19663(dec),3/5,5,1,5,3
110110011001101(bin) = 27853(dec),17/20,20,11,5,743
011100101110010(bin) = 14706(dec),22/49,49,5,1,1
011001100110010(bin) = 13106(dec),2/5,5,1,5,27
010011001101101(bin) = 9837(dec),3/10,10,1,11,2
111100110001100(bin) = 31116(dec),19/20,20,11,5,1
111100110011111(bin) = 31135(dec),19/20,20,11,5,3
000011001101001(bin) = 1641(dec),1/20,20,11,5,13
101100110011001(bin) = 22937(dec),7/10,10,1,11,184
101100110010000(bin) = 22928(dec),7/10,10,1,11,1
010011001100011(bin) = 9827(dec),3/10,10,1,11,3
010011001110010(bin) = 9842(dec),3/10,10,1,11,1
000110011000101(bin) = 3269(dec),1/10,10,1,11,1
100011001101001(bin) = 18025(dec),11/20,20,11,5,10
010011001100111(bin) = 9831(dec),3/10,10,1,11,232
000011001101000(bin) = 1640(dec),1/20,20,11,5,32
000110011001001(bin) = 3273(dec),1/10,10,1,11,1
100011001100100(bin) = 18020(dec),11/20,20,11,5,23
111100110010111(bin) = 31127(dec),19/20,20,11,5,11
001001101001100(bin) = 4940(dec),8/53,53,1,5,1
010011001101001(bin) = 9833(dec),3/10,10,1,11,8
000011001100001(bin) = 1633(dec),1/20,20,11,5,7
110110011001110(bin) = 27854(dec),17/20,20,11,5,21
101100110010010(bin) = 22930(dec),7/10,10,1,11,4
010110011010100(bin) = 11476(dec),7/20,20,11,5,2
011001100110000(bin) = 13104(dec),2/5,5,1,5,2
000011001100010(bin) = 1634(dec),1/20,20,11,5,3
100011001100000(bin) = 18016(dec),11/20,20,11,5,8
000110011001000(bin) = 3272(dec),1/10,10,1,11,1
110011001110110(bin) = 26230(dec),4/5,5,1,5,1
110110011001011(bin) = 27851(dec),17/20,20,11,5,8
101100110011100(bin) = 22940(dec),7/10,10,1,11,13
110110010011101(bin) = 27805(dec),28/33,33,5,1,1
011100110010000(bin) = 14736(dec),9/20,20,11,5,1
001001100110111(bin) = 4919(dec),3/20,20,11,5,4
110110011001000(bin) = 27848(dec),17/20,20,11,5,3
001001100111001(bin) = 4921(dec),3/20,20,11,5,2
111100110011011(bin) = 31131(dec),19/20,20,11,5,41
100011001101100(bin) = 18028(dec),11/20,20,11,5,6
101100110010011(bin) = 22931(dec),7/10,10,1,11,3
011100110011100(bin) = 14748(dec),9/20,20,11,5,13
000011001101101(bin) = 1645(dec),1/20,20,11,5,2
010011001010101(bin) = 9813(dec),3/10,10,1,11,2
100110011010001(bin) = 19665(dec),3/5,5,1,5,2
011100100000000(bin) = 14592(dec),4/9,9,5,1,1
000011001011100(bin) = 1628(dec),1/20,20,11,5,1
111100110011101(bin) = 31133(dec),19/20,20,11,5,9
111100110101010(bin) = 31146(dec),19/20,20,11,5,1
101100110011011(bin) = 22939(dec),7/10,10,1,11,40
110011001100100(bin) = 26212(dec),4/5,5,1,5,17
000011001100100(bin) = 1636(dec),1/20,20,11,5,15
010011001100100(bin) = 9828(dec),3/10,10,1,11,9
011001100110101(bin) = 13109(dec),2/5,5,1,5,7
001100110011001(bin) = 6553(dec),1/5,5,1,5,217
010000000000000(bin) = 8192(dec),1/4,4,1,5,823
101100110011000(bin) = 22936(dec),7/10,10,1,11,28
011100110100100(bin) = 14756(dec),9/20,20,11,5,1
001100110101010(bin) = 6570(dec),1/5,5,1,5,1
100110011001100(bin) = 19660(dec),3/5,5,1,5,37
000110011001100(bin) = 3276(dec),1/10,10,1,11,42
001100101111100(bin) = 6524(dec),1/5,5,1,5,1
100110011001011(bin) = 19659(dec),3/5,5,1,5,14
010011001100101(bin) = 9829(dec),3/10,10,1,11,38
001001100101111(bin) = 4911(dec),3/20,20,11,5,2
100110011001101(bin) = 19661(dec),3/5,5,1,5,712
100110011000100(bin) = 19652(dec),3/5,5,1,5,2
100110011011001(bin) = 19673(dec),3/5,5,1,5,2
101100110000110(bin) = 22918(dec),7/10,10,1,11,1
101001100110010(bin) = 21298(dec),13/20,20,11,5,15
110011001101000(bin) = 26216(dec),4/5,5,1,5,30
010011001101011(bin) = 9835(dec),3/10,10,1,11,9
000110010101000(bin) = 3240(dec),5/51,51,1,11,1
111100110010000(bin) = 31120(dec),19/20,20,11,5,1
010011001101000(bin) = 9832(dec),3/10,10,1,11,36
000011001010100(bin) = 1620(dec),1/20,20,11,5,1
011001100111100(bin) = 13116(dec),2/5,5,1,5,1
000011001101010(bin) = 1642(dec),1/20,20,11,5,8
000011001101011(bin) = 1643(dec),1/20,20,11,5,4
001100110100111(bin) = 6567(dec),1/5,5,1,5,1
110011001001010(bin) = 26186(dec),4/5,5,1,5,1
011100101111110(bin) = 14718(dec),22/49,49,5,1,1
100011001101000(bin) = 18024(dec),11/20,20,11,5,16
001001100110101(bin) = 4917(dec),3/20,20,11,5,10
001100110011011(bin) = 6555(dec),1/5,5,1,5,39
000011001100110(bin) = 1638(dec),1/20,20,11,5,459
111001100110100(bin) = 29492(dec),9/10,10,1,11,41
010011001100000(bin) = 9824(dec),3/10,10,1,11,1
101100110100000(bin) = 22944(dec),7/10,10,1,11,1
100110011010011(bin) = 19667(dec),3/5,5,1,5,3
010110011001100(bin) = 11468(dec),7/20,20,11,5,41
101001100101011(bin) = 21291(dec),13/20,20,11,5,1
110110011001111(bin) = 27855(dec),17/20,20,11,5,7
000110011000110(bin) = 3270(dec),1/10,10,1,11,1
111100110010110(bin) = 31126(dec),19/20,20,11,5,7
100011001100111(bin) = 18023(dec),11/20,20,11,5,230
100011001110001(bin) = 18033(dec),11/20,20,11,5,1
110110011001100(bin) = 27852(dec),17/20,20,11,5,45
011100110011101(bin) = 14749(dec),9/20,20,11,5,10
100011001111011(bin) = 18043(dec),27/49,49,5,1,1
111100110101101(bin) = 31149(dec),19/20,20,11,5,1
100110011010000(bin) = 19664(dec),3/5,5,1,5,4
000110011001110(bin) = 3278(dec),1/10,10,1,11,13
101100011010110(bin) = 22742(dec),34/49,49,5,1,1
011100110011001(bin) = 14745(dec),9/20,20,11,5,204
110011001100111(bin) = 26215(dec),4/5,5,1,5,217
000011001101100(bin) = 1644(dec),1/20,20,11,5,6
110011001011111(bin) = 26207(dec),4/5,5,1,5,4
101100110011110(bin) = 22942(dec),7/10,10,1,11,4
001100110010100(bin) = 6548(dec),1/5,5,1,5,3
000011001100011(bin) = 1635(dec),1/20,20,11,5,7
010110011001110(bin) = 11470(dec),7/20,20,11,5,24
101100110010110(bin) = 22934(dec),7/10,10,1,11,11
110110011001010(bin) = 27850(dec),17/20,20,11,5,3
110011001101001(bin) = 26217(dec),4/5,5,1,5,13
111100110011010(bin) = 31130(dec),19/20,20,11,5,480
000110011001010(bin) = 3274(dec),1/10,10,1,11,4
011100110011010(bin) = 14746(dec),9/20,20,11,5,428
100010110111100(bin) = 17852(dec),6/11,11,1,11,1
010110011001011(bin) = 11467(dec),7/20,20,11,5,9
101100110011111(bin) = 22943(dec),7/10,10,1,11,6
101100110101010(bin) = 22954(dec),7/10,10,1,11,2
111100110010101(bin) = 31125(dec),19/20,20,11,5,1
110011000111001(bin) = 26169(dec),4/5,5,1,5,1
001100110011000(bin) = 6552(dec),1/5,5,1,5,22
000011001100101(bin) = 1637(dec),1/20,20,11,5,31
100011001010111(bin) = 18007(dec),11/20,20,11,5,1
111001100110011(bin) = 29491(dec),9/10,10,1,11,714
100011001110011(bin) = 18035(dec),11/20,20,11,5,2
110110011010000(bin) = 27856(dec),17/20,20,11,5,3
001100100100100(bin) = 6436(dec),10/51,51,1,11,1
011001100110011(bin) = 13107(dec),2/5,5,1,5,694
001100110010110(bin) = 6550(dec),1/5,5,1,5,8
000011001110000(bin) = 1648(dec),1/20,20,11,5,1
011001100110100(bin) = 13108(dec),2/5,5,1,5,49
000110011001011(bin) = 3275(dec),1/10,10,1,11,8
010110011001101(bin) = 11469(dec),7/20,20,11,5,692
100110011011010(bin) = 19674(dec),3/5,5,1,5,1
100011010010010(bin) = 18066(dec),27/49,49,5,1,1
101001100110011(bin) = 21299(dec),13/20,20,11,5,757
000011001011111(bin) = 1631(dec),1/20,20,11,5,1
001100110010111(bin) = 6551(dec),1/5,5,1,5,14
001001100110011(bin) = 4915(dec),3/20,20,11,5,738
001100110011010(bin) = 6554(dec),1/5,5,1,5,464
001001100110110(bin) = 4918(dec),3/20,20,11,5,5
101001100011100(bin) = 21276(dec),24/37,37,1,5,1
001001100110100(bin) = 4916(dec),3/20,20,11,5,44
000011001100111(bin) = 1639(dec),1/20,20,11,5,203
000110011001101(bin) = 3277(dec),1/10,10,1,11,721
101001100110100(bin) = 21300(dec),13/20,20,11,5,46
100011001100110(bin) = 18022(dec),11/20,20,11,5,504
010011001100110(bin) = 9830(dec),3/10,10,1,11,474
100011001100101(bin) = 18021(dec),11/20,20,11,5,32
111100110011000(bin) = 31128(dec),19/20,20,11,5,37
110011010010011(bin) = 26259(dec),4/5,5,1,5,1
111100110011100(bin) = 31132(dec),19/20,20,11,5,12
100011001110100(bin) = 18036(dec),11/20,20,11,5,1
000001001100101(bin) = 613(dec),1/53,53,1,5,0
000001001100110(bin) = 614(dec),1/53,53,1,5,0
000001001100111(bin) = 615(dec),1/53,53,1,5,0
000001001101000(bin) = 616(dec),1/53,53,1,5,0
000001001101001(bin) = 617(dec),1/53,53,1,5,0
000001001101010(bin) = 618(dec),1/53,53,1,5,0
000001001101011(bin) = 619(dec),1/53,53,1,5,0
000001001101100(bin) = 620(dec),1/53,53,1,5,0
000001001101101(bin) = 621(dec),1/53,53,1,5,0
000001001101110(bin) = 622(dec),1/53,53,1,5,0
000001001101111(bin) = 623(dec),1/53,53,1,5,0
000001001110000(bin) = 624(dec),1/53,53,1,5,0
000001001110001(bin) = 625(dec),1/52,52,1,5,0
000001001110010(bin) = 626(dec),1/52,52,1,5,0
000001001110011(bin) = 627(dec),1/52,52,1,5,0
000001001110100(bin) = 628(dec),1/52,52,1,5,0
000001001110101(bin) = 629(dec),1/52,52,1,5,0
000001001110110(bin) = 630(dec),1/52,52,1,5,0
000001001110111(bin) = 631(dec),1/52,52,1,5,0
000001001111000(bin) = 632(dec),1/52,52,1,5,0
000001001111001(bin) = 633(dec),1/52,52,1,5,0
000001001111010(bin) = 634(dec),1/52,52,1,5,0
000001001111011(bin) = 635(dec),1/52,52,1,5,0
000001001111100(bin) = 636(dec),1/52,52,1,5,0
000001001111101(bin) = 637(dec),1/51,51,1,11,0
000001001111110(bin) = 638(dec),1/51,51,1,11,0
000001001111111(bin) = 639(dec),1/51,51,1,11,0
000001010000000(bin) = 640(dec),1/51,51,1,11,0
000001010000001(bin) = 641(dec),1/51,51,1,11,0
000001010000010(bin) = 642(dec),1/51,51,1,11,0
000001010000011(bin) = 643(dec),1/51,51,1,11,0
000001010000100(bin) = 644(dec),1/51,51,1,11,0
000001010000101(bin) = 645(dec),1/51,51,1,11,0
000001010000110(bin) = 646(dec),1/51,51,1,11,0
000001010000111(bin) = 647(dec),1/51,51,1,11,0
000001010001000(bin) = 648(dec),1/51,51,1,11,0
000001010001001(bin) = 649(dec),1/50,50,1,11,0
000001010001010(bin) = 650(dec),1/50,50,1,11,0
000001010001011(bin) = 651(dec),1/50,50,1,11,0
000001010001100(bin) = 652(dec),1/50,50,1,11,0
000001010001101(bin) = 653(dec),1/50,50,1,11,0
000001010001110(bin) = 654(dec),1/50,50,1,11,0
000001010001111(bin) = 655(dec),1/50,50,1,11,0
000001010010000(bin) = 656(dec),1/50,50,1,11,0
000001010010001(bin) = 657(dec),1/50,50,1,11,0
000001010010010(bin) = 658(dec),1/50,50,1,11,0
000001010010011(bin) = 659(dec),1/50,50,1,11,0
000001010010100(bin) = 660(dec),1/50,50,1,11,0
000001010010101(bin) = 661(dec),1/50,50,1,11,0
000001010010110(bin) = 662(dec),1/50,50,1,11,0
000001010010111(bin) = 663(dec),1/49,49,5,1,0
000001010011000(bin) = 664(dec),1/49,49,5,1,0
000001010011001(bin) = 665(dec),1/49,49,5,1,0
000001010011010(bin) = 666(dec),1/49,49,5,1,0
000001010011011(bin) = 667(dec),1/49,49,5,1,0
000001010011100(bin) = 668(dec),1/49,49,5,1,0
000001010011101(bin) = 669(dec),1/49,49,5,1,0
000001010011110(bin) = 670(dec),1/49,49,5,1,0
000001010011111(bin) = 671(dec),1/49,49,5,1,0
000001010100000(bin) = 672(dec),1/49,49,5,1,0
000001010100001(bin) = 673(dec),1/49,49,5,1,0
000001010100010(bin) = 674(dec),1/49,49,5,1,0
000001010100011(bin) = 675(dec),1/49,49,5,1,0
000001010100100(bin) = 676(dec),1/48,48,5,1,0
000001010100101(bin) = 677(dec),1/48,48,5,1,0
000001010100110(bin) = 678(dec),1/48,48,5,1,0
000001010100111(bin) = 679(dec),1/48,48,5,1,0
000001010101000(bin) = 680(dec),1/48,48,5,1,0
000001010101001(bin) = 681(dec),1/48,48,5,1,0
000001010101010(bin) = 682(dec),1/48,48,5,1,0
000001010101011(bin) = 683(dec),1/48,48,5,1,0
000001010101100(bin) = 684(dec),1/48,48,5,1,0
000001010101101(bin) = 685(dec),1/48,48,5,1,0
000001010101110(bin) = 686(dec),1/48,48,5,1,0
000001010101111(bin) = 687(dec),1/48,48,5,1,0
000001010110000(bin) = 688(dec),1/48,48,5,1,0
000001010110001(bin) = 689(dec),1/48,48,5,1,0
000001011010001(bin) = 721(dec),1/45,45,1,5,0
000001011010010(bin) = 722(dec),1/45,45,1,5,0
000001011010011(bin) = 723(dec),1/45,45,1,5,0
000001011010100(bin) = 724(dec),1/45,45,1,5,0
000001011010101(bin) = 725(dec),1/45,45,1,5,0
000001011010110(bin) = 726(dec),1/45,45,1,5,0
000001011010111(bin) = 727(dec),1/45,45,1,5,0
000001011011000(bin) = 728(dec),1/45,45,1,5,0
000001011011001(bin) = 729(dec),1/45,45,1,5,0
000001011011010(bin) = 730(dec),1/45,45,1,5,0
000001011011011(bin) = 731(dec),1/45,45,1,5,0
000001011011100(bin) = 732(dec),1/45,45,1,5,0
000001011011101(bin) = 733(dec),1/45,45,1,5,0
000001011011110(bin) = 734(dec),1/45,45,1,5,0
000001011011111(bin) = 735(dec),1/45,45,1,5,0
000001011100000(bin) = 736(dec),1/45,45,1,5,0
000001011100001(bin) = 737(dec),1/44,44,1,5,0
000001011100010(bin) = 738(dec),1/44,44,1,5,0
000001011100011(bin) = 739(dec),1/44,44,1,5,0
000001011100100(bin) = 740(dec),1/44,44,1,5,0
000001011100101(bin) = 741(dec),1/44,44,1,5,0
000001011100110(bin) = 742(dec),1/44,44,1,5,0
000001011100111(bin) = 743(dec),1/44,44,1,5,0
000001011101000(bin) = 744(dec),1/44,44,1,5,0
000001011101001(bin) = 745(dec),1/44,44,1,5,0
000001011101010(bin) = 746(dec),1/44,44,1,5,0
000001011101011(bin) = 747(dec),1/44,44,1,5,0
000001011101100(bin) = 748(dec),1/44,44,1,5,0
000001011101101(bin) = 749(dec),1/44,44,1,5,0
000001011101110(bin) = 750(dec),1/44,44,1,5,0
000001011101111(bin) = 751(dec),1/44,44,1,5,0
000001011110000(bin) = 752(dec),1/44,44,1,5,0
000001011110001(bin) = 753(dec),1/44,44,1,5,0
000001101101010(bin) = 874(dec),1/37,37,1,5,0
000001101101011(bin) = 875(dec),1/37,37,1,5,0
000001101101100(bin) = 876(dec),1/37,37,1,5,0
000001101101101(bin) = 877(dec),1/37,37,1,5,0
