Register Output,Fraction,Guess for r,guess1,guess2,iterations
0000110111(bin) =  55(dec),2/37,37,1,5,1
1111000011(bin) = 963(dec),47/50,50,1,11,1
1101110010(bin) = 882(dec),31/36,36,1,5,1
0101100110(bin) = 358(dec),7/20,20,11,5,492
0001100110(bin) = 102(dec),1/10,10,1,11,448
0010011110(bin) = 158(dec),2/13,13,1,5,3
1010011101(bin) = 669(dec),32/49,49,5,1,8
1010010100(bin) = 660(dec),29/45,45,1,5,3
1110011000(bin) = 920(dec),44/49,49,5,1,20
0001010011(bin) =  83(dec),3/37,37,1,5,1
1110011111(bin) = 927(dec),48/53,53,1,5,4
1010000001(bin) = 641(dec),5/8,8,5,1,1
1100101100(bin) = 812(dec),23/29,29,1,5,2
1101100011(bin) = 867(dec),11/13,13,1,5,6
0010001110(bin) = 142(dec),5/36,36,1,5,1
1111001001(bin) = 969(dec),35/37,37,1,5,3
1001101101(bin) = 621(dec),20/33,33,5,1,3
0001101111(bin) = 111(dec),4/37,37,1,5,1
0011000111(bin) = 199(dec),7/36,36,1,5,2
0101110101(bin) = 373(dec),4/11,11,1,11,1
1101100110(bin) = 870(dec),17/20,20,11,5,458
1000110010(bin) = 562(dec),28/51,51,1,11,26
1100000000(bin) = 768(dec),3/4,4,1,5,852
1010011000(bin) = 664(dec),24/37,37,1,5,24
0010010000(bin) = 144(dec),7/50,50,1,11,3
0101001001(bin) = 329(dec),9/28,28,1,5,2
0000110001(bin) =  49(dec),1/21,21,11,5,6
0001100101(bin) = 101(dec),5/51,51,1,11,43
0111101111(bin) = 495(dec),15/31,31,1,11,1
1101000000(bin) = 832(dec),13/16,16,5,1,1
1110101010(bin) = 938(dec),11/12,12,1,5,1
1110010101(bin) = 917(dec),43/48,48,5,1,2
0100111010(bin) = 314(dec),15/49,49,5,1,1
1001011110(bin) = 606(dec),29/49,49,5,1,1
1011001101(bin) = 717(dec),7/10,10,1,11,693
1000111000(bin) = 568(dec),5/9,9,5,1,1
0101100111(bin) = 359(dec),7/20,20,11,5,181
0101101001(bin) = 361(dec),6/17,17,5,1,11
1011001011(bin) = 715(dec),37/53,53,1,5,9
0001101010(bin) = 106(dec),3/29,29,1,5,6
0000111100(bin) =  60(dec),1/17,17,5,1,1
0111110010(bin) = 498(dec),18/37,37,1,5,1
0110000001(bin) = 385(dec),3/8,8,5,1,1
0010001010(bin) = 138(dec),7/52,52,1,5,2
0100110100(bin) = 308(dec),3/10,10,1,11,47
1011010010(bin) = 722(dec),31/44,44,1,5,3
0110010110(bin) = 406(dec),21/53,53,1,5,6
1010001010(bin) = 650(dec),33/52,52,1,5,1
0101110001(bin) = 369(dec),9/25,25,5,1,1
0011000010(bin) = 194(dec),7/37,37,1,5,1
1101011100(bin) = 860(dec),21/25,25,5,1,1
0100110011(bin) = 307(dec),3/10,10,1,11,716
0101100000(bin) = 352(dec),11/32,32,5,1,1
0111010000(bin) = 464(dec),24/53,53,1,5,4
0011001001(bin) = 201(dec),10/51,51,1,11,2
0110011100(bin) = 412(dec),21/52,52,1,5,14
0000101010(bin) =  42(dec),2/49,49,5,1,1
0110100000(bin) = 416(dec),13/32,32,5,1,3
0110011000(bin) = 408(dec),2/5,5,1,5,23
0111001011(bin) = 459(dec),13/29,29,1,5,9
0000111010(bin) =  58(dec),3/53,53,1,5,1
1100110100(bin) = 820(dec),4/5,5,1,5,40
1001100001(bin) = 609(dec),22/37,37,1,5,5
0110111010(bin) = 442(dec),19/44,44,1,5,1
1010011111(bin) = 671(dec),19/29,29,1,5,2
0001101011(bin) = 107(dec),5/48,48,5,1,3
1000101010(bin) = 554(dec),20/37,37,1,5,1
0001010110(bin) =  86(dec),1/12,12,1,5,1
1111010101(bin) = 981(dec),23/24,24,5,1,1
1101011001(bin) = 857(dec),41/49,49,5,1,3
1001101001(bin) = 617(dec),32/53,53,1,5,11
1100110101(bin) = 821(dec),4/5,5,1,5,11
1000110101(bin) = 565(dec),16/29,29,1,5,13
1000100101(bin) = 549(dec),15/28,28,1,5,1
0111001110(bin) = 462(dec),23/51,51,1,11,20
1011010111(bin) = 727(dec),22/31,31,1,11,1
1001100011(bin) = 611(dec),31/52,52,1,5,11
0100011111(bin) = 287(dec),7/25,25,5,1,1
1111001111(bin) = 975(dec),20/21,21,11,5,9
0100000000(bin) = 256(dec),1/4,4,1,5,837
0010011111(bin) = 159(dec),7/45,45,1,5,3
1010001110(bin) = 654(dec),23/36,36,1,5,1
1101100101(bin) = 869(dec),28/33,33,5,1,45
1110111010(bin) = 954(dec),41/44,44,1,5,1
0001100010(bin) =  98(dec),5/52,52,1,5,4
1011010000(bin) = 720(dec),26/37,37,1,5,3
1011001100(bin) = 716(dec),7/10,10,1,11,39
0001001110(bin) =  78(dec),4/53,53,1,5,1
1110011011(bin) = 923(dec),46/51,51,1,11,44
0101101100(bin) = 364(dec),16/45,45,1,5,1
1110011010(bin) = 922(dec),9/10,10,1,11,451
0011001010(bin) = 202(dec),10/51,51,1,11,3
0011001101(bin) = 205(dec),1/5,5,1,5,675
1011010011(bin) = 723(dec),12/17,17,5,1,1
0001110011(bin) = 115(dec),6/53,53,1,5,3
1001101000(bin) = 616(dec),3/5,5,1,5,34
1110010001(bin) = 913(dec),33/37,37,1,5,1
1000110011(bin) = 563(dec),11/20,20,11,5,721
1011110010(bin) = 754(dec),39/53,53,1,5,1
1101011011(bin) = 859(dec),26/31,31,1,11,1
1110011101(bin) = 925(dec),28/31,31,1,11,4
0111001100(bin) = 460(dec),22/49,49,5,1,50
0011001110(bin) = 206(dec),1/5,5,1,5,24
1100111001(bin) = 825(dec),29/36,36,1,5,1
0110011001(bin) = 409(dec),2/5,5,1,5,188
0111010001(bin) = 465(dec),5/11,11,1,11,1
0010011010(bin) = 154(dec),3/20,20,11,5,492
1010100110(bin) = 678(dec),35/53,53,1,5,1
0001100011(bin) =  99(dec),3/31,31,1,11,7
0100110101(bin) = 309(dec),16/53,53,1,5,14
0110010111(bin) = 407(dec),21/53,53,1,5,4
1001100111(bin) = 615(dec),3/5,5,1,5,212
0110011011(bin) = 411(dec),2/5,5,1,5,45
0110011010(bin) = 410(dec),2/5,5,1,5,490
1000110100(bin) = 564(dec),27/49,49,5,1,49
0001101000(bin) = 104(dec),5/49,49,5,1,33
0010110100(bin) = 180(dec),3/17,17,5,1,1
0001100111(bin) = 103(dec),1/10,10,1,11,215
1110110000(bin) = 944(dec),47/51,51,1,11,1
1110011001(bin) = 921(dec),9/10,10,1,11,219
0111001101(bin) = 461(dec),9/20,20,11,5,736
0110011101(bin) = 413(dec),21/52,52,1,5,6
1001110100(bin) = 628(dec),27/44,44,1,5,2
0011001011(bin) = 203(dec),1/5,5,1,5,4
0010011011(bin) = 155(dec),5/33,33,5,1,39
1101110101(bin) = 885(dec),32/37,37,1,5,1
0000110011(bin) =  51(dec),1/20,20,11,5,723
1111010010(bin) = 978(dec),43/45,45,1,5,1
0001100000(bin) =  96(dec),3/32,32,5,1,4
1010011001(bin) = 665(dec),13/20,20,11,5,214
1001100110(bin) = 614(dec),3/5,5,1,5,456
1100001010(bin) = 778(dec),19/25,25,5,1,1
1101100010(bin) = 866(dec),11/13,13,1,5,5
1010011010(bin) = 666(dec),13/20,20,11,5,440
0100101101(bin) = 301(dec),5/17,17,5,1,1
1000101110(bin) = 558(dec),6/11,11,1,11,2
1001100101(bin) = 613(dec),3/5,5,1,5,41
1110100101(bin) = 933(dec),41/45,45,1,5,1
1100110011(bin) = 819(dec),4/5,5,1,5,706
1111001101(bin) = 973(dec),19/20,20,11,5,719
1100110110(bin) = 822(dec),41/51,51,1,11,7
1100110010(bin) = 818(dec),4/5,5,1,5,24
1101011111(bin) = 863(dec),43/51,51,1,11,1
0101101000(bin) = 360(dec),13/37,37,1,5,27
1101100000(bin) = 864(dec),27/32,32,5,1,4
0101100011(bin) = 355(dec),17/49,49,5,1,7
1000101111(bin) = 559(dec),6/11,11,1,11,1
0101100001(bin) = 353(dec),10/29,29,1,5,7
0000010100(bin) =  20(dec),1/51,51,1,11,0
0000010101(bin) =  21(dec),1/49,49,5,1,0
0000010111(bin) =  23(dec),1/45,45,1,5,0
0000011100(bin) =  28(dec),1/37,37,1,5,0
0000011111(bin) =  31(dec),1/33,33,5,1,0
0000100001(bin) =  33(dec),1/31,31,1,11,0
0000100010(bin) =  34(dec),1/30,30,1,11,0
0000100011(bin) =  35(dec),1/29,29,1,5,0
0000100111(bin) =  39(dec),2/53,53,1,5,0
0000101000(bin) =  40(dec),2/51,51,1,11,0
0000101001(bin) =  41(dec),1/25,25,5,1,0
0000101011(bin) =  43(dec),1/24,24,5,1,0
0000111011(bin) =  59(dec),3/52,52,1,5,0
0000111110(bin) =  62(dec),2/33,33,5,1,0
0001000000(bin) =  64(dec),1/16,16,5,1,0
0001000010(bin) =  66(dec),2/31,31,1,11,0
0001000110(bin) =  70(dec),3/44,44,1,5,0
0001000111(bin) =  71(dec),2/29,29,1,5,0
0001001111(bin) =  79(dec),1/13,13,1,5,0
0001010000(bin) =  80(dec),4/51,51,1,11,0
0001010010(bin) =  82(dec),2/25,25,5,1,0
0001010100(bin) =  84(dec),4/49,49,5,1,0
0001010101(bin) =  85(dec),1/12,12,1,5,0
0001011100(bin) =  92(dec),4/45,45,1,5,0
0001011101(bin) =  93(dec),1/11,11,1,11,0
0001110001(bin) = 113(dec),1/9,9,5,1,0
0001110100(bin) = 116(dec),6/53,53,1,5,0
0001111000(bin) = 120(dec),2/17,17,5,1,0
0001111001(bin) = 121(dec),2/17,17,5,1,0
0001111011(bin) = 123(dec),3/25,25,5,1,0
0001111100(bin) = 124(dec),4/33,33,5,1,0
0001111110(bin) = 126(dec),6/49,49,5,1,0
0001111111(bin) = 127(dec),1/8,8,5,1,0
0010000001(bin) = 129(dec),1/8,8,5,1,0
0010000100(bin) = 132(dec),4/31,31,1,11,0
0010000111(bin) = 135(dec),7/53,53,1,5,0
0010001011(bin) = 139(dec),5/37,37,1,5,0
0010001101(bin) = 141(dec),4/29,29,1,5,0
0010100001(bin) = 161(dec),8/51,51,1,11,0
0010100011(bin) = 163(dec),7/44,44,1,5,0
0010100100(bin) = 164(dec),4/25,25,5,1,0
0010100101(bin) = 165(dec),5/31,31,1,11,0
0010100110(bin) = 166(dec),6/37,37,1,5,0
0010101101(bin) = 173(dec),9/53,53,1,5,0
0010101110(bin) = 174(dec),9/53,53,1,5,0
0010110001(bin) = 177(dec),9/52,52,1,5,0
0010110101(bin) = 181(dec),3/17,17,5,1,0
0010110110(bin) = 182(dec),8/45,45,1,5,0
0010110111(bin) = 183(dec),5/28,28,1,5,0
0010111001(bin) = 185(dec),9/50,50,1,11,0
0010111010(bin) = 186(dec),2/11,11,1,11,0
0010111011(bin) = 187(dec),2/11,11,1,11,0
0011000000(bin) = 192(dec),3/16,16,5,1,0
0011000001(bin) = 193(dec),10/53,53,1,5,0
0011000011(bin) = 195(dec),4/21,21,11,5,0
0011000110(bin) = 198(dec),6/31,31,1,11,0
0011010001(bin) = 209(dec),10/49,49,5,1,0
0011010100(bin) = 212(dec),6/29,29,1,5,0
0011011001(bin) = 217(dec),7/33,33,5,1,0
0011011101(bin) = 221(dec),11/51,51,1,11,0
0011011110(bin) = 222(dec),8/37,37,1,5,0
0011100000(bin) = 224(dec),7/32,32,5,1,0
0011100010(bin) = 226(dec),11/50,50,1,11,0
0011100011(bin) = 227(dec),2/9,9,5,1,0
0011100100(bin) = 228(dec),2/9,9,5,1,0
0011100101(bin) = 229(dec),11/49,49,5,1,0
0011100110(bin) = 230(dec),11/49,49,5,1,0
0011100111(bin) = 231(dec),7/31,31,1,11,0
0011101000(bin) = 232(dec),12/53,53,1,5,0
0011101011(bin) = 235(dec),11/48,48,5,1,0
0011101100(bin) = 236(dec),3/13,13,1,5,0
0011101101(bin) = 237(dec),3/13,13,1,5,0
0011101111(bin) = 239(dec),7/30,30,1,11,0
0011110001(bin) = 241(dec),4/17,17,5,1,0
0011110100(bin) = 244(dec),5/21,21,11,5,0
0011110110(bin) = 246(dec),6/25,25,5,1,0
0011110111(bin) = 247(dec),7/29,29,1,5,0
0011111000(bin) = 248(dec),8/33,33,5,1,0
0011111001(bin) = 249(dec),9/37,37,1,5,0
0011111011(bin) = 251(dec),13/53,53,1,5,0
0011111100(bin) = 252(dec),13/53,53,1,5,0
0011111101(bin) = 253(dec),13/53,53,1,5,0
0011111110(bin) = 254(dec),1/4,4,1,5,0
0011111111(bin) = 255(dec),1/4,4,1,5,0
0100000001(bin) = 257(dec),1/4,4,1,5,0
0100000010(bin) = 258(dec),1/4,4,1,5,0
0100000101(bin) = 261(dec),13/51,51,1,11,0
0100001000(bin) = 264(dec),8/31,31,1,11,0
0100001010(bin) = 266(dec),13/50,50,1,11,0
0100001110(bin) = 270(dec),14/53,53,1,5,0
0100010000(bin) = 272(dec),13/49,49,5,1,0
0100010101(bin) = 277(dec),10/37,37,1,5,0
0100010110(bin) = 278(dec),13/48,48,5,1,0
0100010111(bin) = 279(dec),3/11,11,1,11,0
0100011000(bin) = 280(dec),3/11,11,1,11,0
0100011001(bin) = 281(dec),14/51,51,1,11,0
0100100000(bin) = 288(dec),9/32,32,5,1,0
0100100010(bin) = 290(dec),15/53,53,1,5,0
0100100011(bin) = 291(dec),15/53,53,1,5,0
0100100110(bin) = 294(dec),15/52,52,1,5,0
0100100111(bin) = 295(dec),15/52,52,1,5,0
0100101011(bin) = 299(dec),7/24,24,5,1,0
0100101110(bin) = 302(dec),13/44,44,1,5,0
0100110110(bin) = 310(dec),10/33,33,5,1,0
0100111001(bin) = 313(dec),11/36,36,1,5,0
0100111011(bin) = 315(dec),4/13,13,1,5,0
0100111110(bin) = 318(dec),9/29,29,1,5,0
0101000001(bin) = 321(dec),16/51,51,1,11,0
0101001000(bin) = 328(dec),8/25,25,5,1,0
0101001010(bin) = 330(dec),10/31,31,1,11,0
0101011001(bin) = 345(dec),18/53,53,1,5,0
0101011010(bin) = 346(dec),18/53,53,1,5,0
0101011011(bin) = 347(dec),18/53,53,1,5,0
0101110010(bin) = 370(dec),13/36,36,1,5,0
0101110110(bin) = 374(dec),19/52,52,1,5,0
0101111000(bin) = 376(dec),18/49,49,5,1,0
0101111110(bin) = 382(dec),19/51,51,1,11,0
0101111111(bin) = 383(dec),3/8,8,5,1,0
0110000000(bin) = 384(dec),3/8,8,5,1,0
0110000010(bin) = 386(dec),20/53,53,1,5,0
0110000011(bin) = 387(dec),17/45,45,1,5,0
0110000100(bin) = 388(dec),11/29,29,1,5,0
0110000110(bin) = 390(dec),8/21,21,11,5,0
0110001010(bin) = 394(dec),5/13,13,1,5,0
0110001011(bin) = 395(dec),17/44,44,1,5,0
0110001100(bin) = 396(dec),17/44,44,1,5,0
0110001101(bin) = 397(dec),19/49,49,5,1,0
0110100010(bin) = 418(dec),20/49,49,5,1,0
0110100101(bin) = 421(dec),7/17,17,5,1,0
0110101001(bin) = 425(dec),22/53,53,1,5,0
0110101010(bin) = 426(dec),5/12,12,1,5,0
0110101011(bin) = 427(dec),5/12,12,1,5,0
0110101110(bin) = 430(dec),21/50,50,1,11,0
0110110000(bin) = 432(dec),19/45,45,1,5,0
0110110010(bin) = 434(dec),14/33,33,5,1,0
0110111001(bin) = 441(dec),22/51,51,1,11,0
0110111011(bin) = 443(dec),16/37,37,1,5,0
0110111100(bin) = 444(dec),13/30,30,1,11,0
0111000000(bin) = 448(dec),7/16,16,5,1,0
0111000101(bin) = 453(dec),23/52,52,1,5,0
0111000110(bin) = 454(dec),23/52,52,1,5,0
0111000111(bin) = 455(dec),4/9,9,5,1,0
0111001000(bin) = 456(dec),4/9,9,5,1,0
0111010101(bin) = 469(dec),11/24,24,5,1,0
0111010110(bin) = 470(dec),17/37,37,1,5,0
0111010111(bin) = 471(dec),23/50,50,1,11,0
0111011000(bin) = 472(dec),6/13,13,1,5,0
0111011001(bin) = 473(dec),6/13,13,1,5,0
0111100000(bin) = 480(dec),15/32,32,5,1,0
0111100001(bin) = 481(dec),23/49,49,5,1,0
0111100010(bin) = 482(dec),8/17,17,5,1,0
0111100011(bin) = 483(dec),25/53,53,1,5,0
0111101000(bin) = 488(dec),10/21,21,11,5,0
0111101001(bin) = 489(dec),21/44,44,1,5,0
0111101011(bin) = 491(dec),23/48,48,5,1,0
0111101100(bin) = 492(dec),25/52,52,1,5,0
0111101110(bin) = 494(dec),14/29,29,1,5,0
0111110000(bin) = 496(dec),16/33,33,5,1,0
0111110110(bin) = 502(dec),25/51,51,1,11,0
1000001010(bin) = 522(dec),26/51,51,1,11,0
1000001110(bin) = 526(dec),19/37,37,1,5,0
1000010000(bin) = 528(dec),17/33,33,5,1,0
1000010001(bin) = 529(dec),16/31,31,1,11,0
1000010010(bin) = 530(dec),15/29,29,1,5,0
1000010100(bin) = 532(dec),27/52,52,1,5,0
1000010101(bin) = 533(dec),25/48,48,5,1,0
1000010111(bin) = 535(dec),23/44,44,1,5,0
1000011000(bin) = 536(dec),11/21,21,11,5,0
1000011101(bin) = 541(dec),28/53,53,1,5,0
1000011110(bin) = 542(dec),9/17,17,5,1,0
1000011111(bin) = 543(dec),26/49,49,5,1,0
1000100111(bin) = 551(dec),7/13,13,1,5,0
1000101000(bin) = 552(dec),7/13,13,1,5,0
1000101001(bin) = 553(dec),27/50,50,1,11,0
1000101011(bin) = 555(dec),13/24,24,5,1,0
1000111010(bin) = 570(dec),29/52,52,1,5,0
1000111011(bin) = 571(dec),29/52,52,1,5,0
1000111101(bin) = 573(dec),14/25,25,5,1,0
1001000000(bin) = 576(dec),9/16,16,5,1,0
1001000100(bin) = 580(dec),17/30,30,1,11,0
1001000101(bin) = 581(dec),21/37,37,1,5,0
1001000110(bin) = 582(dec),25/44,44,1,5,0
1001000111(bin) = 583(dec),29/51,51,1,11,0
1001001110(bin) = 590(dec),19/33,33,5,1,0
1001010000(bin) = 592(dec),26/45,45,1,5,0
1001010010(bin) = 594(dec),29/50,50,1,11,0
1001010101(bin) = 597(dec),7/12,12,1,5,0
1001010110(bin) = 598(dec),7/12,12,1,5,0
1001010111(bin) = 599(dec),31/53,53,1,5,0
1001011011(bin) = 603(dec),10/17,17,5,1,0
1001110011(bin) = 627(dec),30/49,49,5,1,0
1001110101(bin) = 629(dec),27/44,44,1,5,0
1001110110(bin) = 630(dec),8/13,13,1,5,0
1001111011(bin) = 635(dec),31/50,50,1,11,0
1001111100(bin) = 636(dec),18/29,29,1,5,0
1001111110(bin) = 638(dec),33/53,53,1,5,0
1001111111(bin) = 639(dec),5/8,8,5,1,0
1010000000(bin) = 640(dec),5/8,8,5,1,0
1010000010(bin) = 642(dec),32/51,51,1,11,0
1010001000(bin) = 648(dec),31/49,49,5,1,0
1010001100(bin) = 652(dec),7/11,11,1,11,0
1010001111(bin) = 655(dec),16/25,25,5,1,0
1010010001(bin) = 657(dec),34/53,53,1,5,0
1010100100(bin) = 676(dec),33/50,50,1,11,0
1010100111(bin) = 679(dec),35/53,53,1,5,0
1010110100(bin) = 692(dec),25/37,37,1,5,0
1010110110(bin) = 694(dec),21/31,31,1,11,0
1010110111(bin) = 695(dec),19/28,28,1,5,0
1010111000(bin) = 696(dec),17/25,25,5,1,0
1011000000(bin) = 704(dec),11/16,16,5,1,0
1011000001(bin) = 705(dec),31/45,45,1,5,0
1011000010(bin) = 706(dec),20/29,29,1,5,0
1011000110(bin) = 710(dec),34/49,49,5,1,0
1011000111(bin) = 711(dec),25/36,36,1,5,0
1011010101(bin) = 725(dec),17/24,24,5,1,0
1011011000(bin) = 728(dec),32/45,45,1,5,0
1011011001(bin) = 729(dec),37/52,52,1,5,0
1011011010(bin) = 730(dec),37/52,52,1,5,0
1011011101(bin) = 733(dec),38/53,53,1,5,0
1011011110(bin) = 734(dec),38/53,53,1,5,0
1011100000(bin) = 736(dec),23/32,32,5,1,0
1011100001(bin) = 737(dec),18/25,25,5,1,0
1011100111(bin) = 743(dec),37/51,51,1,11,0
1011101000(bin) = 744(dec),8/11,11,1,11,0
1011101001(bin) = 745(dec),8/11,11,1,11,0
1011101010(bin) = 746(dec),35/48,48,5,1,0
1011101011(bin) = 747(dec),27/37,37,1,5,0
1011110000(bin) = 752(dec),36/49,49,5,1,0
1011110110(bin) = 758(dec),37/50,50,1,11,0
1011111000(bin) = 760(dec),23/31,31,1,11,0
1011111011(bin) = 763(dec),38/51,51,1,11,0
1011111110(bin) = 766(dec),3/4,4,1,5,0
1011111111(bin) = 767(dec),3/4,4,1,5,0
1100000001(bin) = 769(dec),3/4,4,1,5,0
1100000010(bin) = 770(dec),3/4,4,1,5,0
1100000011(bin) = 771(dec),40/53,53,1,5,0
1100000100(bin) = 772(dec),40/53,53,1,5,0
1100000101(bin) = 773(dec),40/53,53,1,5,0
1100000111(bin) = 775(dec),28/37,37,1,5,0
1100001000(bin) = 776(dec),25/33,33,5,1,0
1100001001(bin) = 777(dec),22/29,29,1,5,0
1100001100(bin) = 780(dec),16/21,21,11,5,0
1100001111(bin) = 783(dec),13/17,17,5,1,0
1100010001(bin) = 785(dec),23/30,30,1,11,0
1100010011(bin) = 787(dec),10/13,13,1,5,0
1100010100(bin) = 788(dec),10/13,13,1,5,0
1100010101(bin) = 789(dec),37/48,48,5,1,0
1100011000(bin) = 792(dec),41/53,53,1,5,0
1100011001(bin) = 793(dec),24/31,31,1,11,0
1100011010(bin) = 794(dec),38/49,49,5,1,0
1100011011(bin) = 795(dec),38/49,49,5,1,0
1100011100(bin) = 796(dec),7/9,9,5,1,0
1100011101(bin) = 797(dec),7/9,9,5,1,0
1100011110(bin) = 798(dec),39/50,50,1,11,0
1100100000(bin) = 800(dec),25/32,32,5,1,0
1100100010(bin) = 802(dec),29/37,37,1,5,0
1100100011(bin) = 803(dec),40/51,51,1,11,0
1100101011(bin) = 811(dec),19/24,24,5,1,0
1100111101(bin) = 829(dec),17/21,21,11,5,0
1100111110(bin) = 830(dec),30/37,37,1,5,0
1100111111(bin) = 831(dec),43/53,53,1,5,0
1101000100(bin) = 836(dec),40/49,49,5,1,0
1101000101(bin) = 837(dec),9/11,11,1,11,0
1101000110(bin) = 838(dec),9/11,11,1,11,0
1101000111(bin) = 839(dec),41/50,50,1,11,0
1101001001(bin) = 841(dec),23/28,28,1,5,0
1101001010(bin) = 842(dec),37/45,45,1,5,0
1101001011(bin) = 843(dec),14/17,17,5,1,0
1101001100(bin) = 844(dec),14/17,17,5,1,0
1101001111(bin) = 847(dec),43/52,52,1,5,0
1101010010(bin) = 850(dec),44/53,53,1,5,0
1101010011(bin) = 851(dec),44/53,53,1,5,0
1101011101(bin) = 861(dec),37/44,44,1,5,0
1101110000(bin) = 880(dec),43/50,50,1,11,0
1101110110(bin) = 886(dec),45/52,52,1,5,0
1101111001(bin) = 889(dec),46/53,53,1,5,0
1101111100(bin) = 892(dec),27/31,31,1,11,0
1110000000(bin) = 896(dec),7/8,8,5,1,0
1110000001(bin) = 897(dec),7/8,8,5,1,0
1110000010(bin) = 898(dec),43/49,49,5,1,0
1110000100(bin) = 900(dec),29/33,33,5,1,0
1110000101(bin) = 901(dec),22/25,25,5,1,0
1110000111(bin) = 903(dec),15/17,17,5,1,0
1110001000(bin) = 904(dec),15/17,17,5,1,0
1110001100(bin) = 908(dec),47/53,53,1,5,0
1110001101(bin) = 909(dec),47/53,53,1,5,0
1110001110(bin) = 910(dec),8/9,9,5,1,0
1110001111(bin) = 911(dec),8/9,9,5,1,0
1110010010(bin) = 914(dec),25/28,28,1,5,0
1110100011(bin) = 931(dec),10/11,11,1,11,0
1110100100(bin) = 932(dec),41/45,45,1,5,0
1110101011(bin) = 939(dec),11/12,12,1,5,0
1110101100(bin) = 940(dec),45/49,49,5,1,0
1110101101(bin) = 941(dec),34/37,37,1,5,0
1110101110(bin) = 942(dec),23/25,25,5,1,0
1110110001(bin) = 945(dec),12/13,13,1,5,0
