Register Output,Fraction,Guess for r,guess1,guess2,iterations
1001111010(bin) = 634(dec),13/21,21,11,5,1
0101011100(bin) = 348(dec),17/50,50,1,11,1
0110011111(bin) = 415(dec),15/37,37,1,5,1
0110000101(bin) = 389(dec),19/50,50,1,11,1
0001011011(bin) =  91(dec),4/45,45,1,5,1
0101001100(bin) = 332(dec),12/37,37,1,5,1
0111000011(bin) = 451(dec),11/25,25,5,1,1
1111000110(bin) = 966(dec),50/53,53,1,5,1
1100100111(bin) = 807(dec),26/33,33,5,1,2
1101111111(bin) = 895(dec),7/8,8,5,1,1
0000111111(bin) =  63(dec),3/49,49,5,1,2
1110010110(bin) = 918(dec),26/29,29,1,5,5
1110011110(bin) = 926(dec),47/52,52,1,5,3
0100101000(bin) = 296(dec),13/45,45,1,5,1
0000100100(bin) =  36(dec),1/28,28,1,5,2
0000111101(bin) =  61(dec),3/50,50,1,11,1
1010100011(bin) = 675(dec),29/44,44,1,5,1
1001011010(bin) = 602(dec),10/17,17,5,1,1
0100101001(bin) = 297(dec),9/31,31,1,11,1
0010000000(bin) = 128(dec),1/8,8,5,1,1
0110010010(bin) = 402(dec),11/28,28,1,5,1
1010001011(bin) = 651(dec),7/11,11,1,11,1
1001011000(bin) = 600(dec),17/29,29,1,5,2
0110100110(bin) = 422(dec),7/17,17,5,1,1
0000100000(bin) =  32(dec),1/32,32,5,1,1
0001110010(bin) = 114(dec),1/9,9,5,1,2
0100111111(bin) = 319(dec),14/45,45,1,5,1
0111011011(bin) = 475(dec),13/28,28,1,5,1
1101011010(bin) = 858(dec),31/37,37,1,5,2
1011000101(bin) = 709(dec),9/13,13,1,5,1
0010100111(bin) = 167(dec),8/49,49,5,1,1
1110100000(bin) = 928(dec),29/32,32,5,1,3
0110101000(bin) = 424(dec),12/29,29,1,5,1
0000101110(bin) =  46(dec),2/45,45,1,5,1
1010111111(bin) = 703(dec),35/51,51,1,11,2
1100111010(bin) = 826(dec),25/31,31,1,11,1
0001100001(bin) =  97(dec),5/53,53,1,5,4
1010010111(bin) = 663(dec),11/17,17,5,1,7
1000100000(bin) = 544(dec),17/32,32,5,1,1
1010100000(bin) = 672(dec),21/32,32,5,1,4
1111000100(bin) = 964(dec),16/17,17,5,1,1
1001100000(bin) = 608(dec),19/32,32,5,1,1
1011001010(bin) = 714(dec),23/33,33,5,1,2
0101011101(bin) = 349(dec),15/44,44,1,5,2
0111010010(bin) = 466(dec),5/11,11,1,11,1
1010100101(bin) = 677(dec),35/53,53,1,5,1
0101101010(bin) = 362(dec),6/17,17,5,1,6
0110010011(bin) = 403(dec),13/33,33,5,1,1
0010011101(bin) = 157(dec),2/13,13,1,5,6
0101000000(bin) = 320(dec),5/16,16,5,1,1
1101100001(bin) = 865(dec),38/45,45,1,5,2
1100110111(bin) = 823(dec),41/51,51,1,11,5
1100101111(bin) = 815(dec),39/49,49,5,1,3
0010111100(bin) = 188(dec),9/49,49,5,1,1
0010100000(bin) = 160(dec),5/32,32,5,1,1
0100110000(bin) = 304(dec),11/37,37,1,5,4
1001101010(bin) = 618(dec),32/53,53,1,5,4
0101101111(bin) = 367(dec),19/53,53,1,5,2
1001101110(bin) = 622(dec),17/28,28,1,5,1
1000110000(bin) = 560(dec),29/53,53,1,5,3
0001101110(bin) = 110(dec),3/28,28,1,5,1
1111010111(bin) = 983(dec),24/25,25,5,1,1
1001111101(bin) = 637(dec),28/45,45,1,5,1
1010010101(bin) = 661(dec),31/48,48,5,1,4
1010010110(bin) = 662(dec),11/17,17,5,1,6
0011010101(bin) = 213(dec),5/24,24,5,1,1
1101110011(bin) = 883(dec),25/29,29,1,5,1
0011001100(bin) = 204(dec),1/5,5,1,5,40
1001100100(bin) = 612(dec),31/52,52,1,5,13
0101101011(bin) = 363(dec),17/48,48,5,1,5
0101110100(bin) = 372(dec),4/11,11,1,11,5
1000111001(bin) = 569(dec),5/9,9,5,1,2
